var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0	0	0	10	3.25
5	0.15	0.0136031	0.00272331	0.02	9.98	3.23
5	0.2	0.05009	0.011718	0.07	9.93	3.18
5	0.25	0.0589629	0.0138718	0.08	9.92	3.17
5	0.3	0.0589629	0.0138718	0.08	9.92	3.17
5	0.35	0.074354	0.025042	0.13	9.87	3.14
5	0.4	0.127186	0.0550403	0.21	9.79	3.06
8	0.1	0.010709	0.000993964	0.02	9.98	3.03
8	0.15	0.0196087	0.00218799	0.03	9.97	3.02
8	0.2	0.0215711	0.0039737	0.05	9.95	3
8	0.25	0.0324224	0.0109297	0.09	9.91	2.96
8	0.3	0.0648841	0.0253059	0.17	9.83	2.89
8	0.35	0.0769712	0.0332973	0.27	9.73	2.81
8	0.4	0.0885912	0.0415575	0.33	9.67	2.76
11	0.1	0.0170841	0.00411936	0.07	9.93	5.29
11	0.15	0.0215328	0.00770717	0.13	9.87	5.23
11	0.2	0.0391094	0.0244934	0.28	9.72	5.09
11	0.25	0.0695103	0.0480433	0.6	9.4	4.77
11	0.3	0.0762349	0.06043	0.81	9.19	4.58
11	0.35	0.068289	0.0688421	1.23	8.77	4.2
11	0.4	0.0769072	0.0853703	1.7	8.3	3.86
14	0.1	0.0387015	0.0114592	0.22	9.78	8.39
14	0.15	0.0531522	0.0283585	0.53	9.47	8.08
14	0.2	0.0601711	0.0462142	0.92	9.08	7.69
14	0.25	0.0515264	0.0581253	1.38	8.62	7.23
14	0.3	0.0447334	0.07011	1.89	8.11	6.74
14	0.35	0.0403296	0.08164	2.43	7.57	6.27
14	0.4	0.0538596	0.0989679	2.97	7.03	5.91
17	0.1	0.0744285	0.0267848	0.81	9.19	16.74
17	0.15	0.0896321	0.05444	1.55	8.45	16
17	0.2	0.0853416	0.0850542	2.47	7.53	15.08
17	0.25	0.073854	0.112007	3.7	6.3	13.85
17	0.3	0.0695553	0.128795	4.63	5.37	12.96
17	0.35	0.0645804	0.150324	5.79	4.21	11.9
