var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0554355	0.0154697	0.27	3.73	7.95
5	0.15	0.105076	0.0456574	0.56	3.44	7.67
5	0.2	0.14697	0.0878027	1.02	2.98	7.26
5	0.25	0.177155	0.127569	1.4	2.6	6.93
5	0.3	0.188845	0.159021	1.76	2.24	6.67
5	0.35	0.191969	0.19411	2.23	1.77	6.34
5	0.4	0.193606	0.233984	2.76	1.24	6
8	0.1	0.119615	0.0322707	0.66	3.34	11.58
8	0.15	0.168655	0.0665748	1.24	2.76	11.01
8	0.2	0.212538	0.113264	1.79	2.21	10.49
8	0.25	0.213898	0.143792	2.48	1.52	9.85
8	0.3	0.210899	0.163469	2.93	1.07	9.46
8	0.35	0.205427	0.183265	3.32	0.68	9.14
8	0.4	0.201362	0.199768	3.6	0.4	8.92
11	0.1	0.156838	0.0398722	0.95	3.05	14.72
11	0.15	0.20441	0.078728	1.69	2.31	14
11	0.2	0.215318	0.108686	2.34	1.66	13.36
11	0.25	0.210556	0.133674	3.01	0.99	12.74
11	0.3	0.208435	0.151566	3.44	0.56	12.33
11	0.35	0.205195	0.16764	3.76	0.24	12.07
11	0.4	0.203857	0.176859	3.95	0.05	11.93
14	0.1	0.146178	0.0386713	0.98	3.02	18.28
14	0.15	0.206188	0.0844672	1.84	2.16	17.43
14	0.2	0.216807	0.116411	2.71	1.29	16.61
14	0.25	0.21182	0.136105	3.31	0.69	16.07
14	0.3	0.20917	0.14925	3.67	0.33	15.72
14	0.35	0.208259	0.157393	3.86	0.14	15.54
14	0.4	0.207549	0.163516	3.96	0.04	15.45
17	0.1	0.161412	0.0430137	1.22	2.78	20.89
17	0.15	0.20979	0.0844662	2.17	1.83	19.96
17	0.2	0.214322	0.110693	2.92	1.08	19.25
17	0.25	0.210099	0.12871	3.47	0.53	18.72
17	0.3	0.207575	0.138713	3.79	0.21	18.42
17	0.35	0.20674	0.145942	3.94	0.06	18.27
17	0.4	0.206489	0.147461	3.97	0.03	18.25
20	0.1	0.190928	0.051098	1.21	2.79	23.32
20	0.15	0.211959	0.0857122	2.23	1.77	22.33
20	0.2	0.215708	0.115056	3.09	0.91	21.48
20	0.25	0.210731	0.127984	3.57	0.43	21.03
20	0.3	0.209038	0.138528	3.85	0.15	20.76
20	0.35	0.208288	0.143115	3.95	0.05	20.66
20	0.4	0.208095	0.146417	4	0	20.61
23	0.1	0.167444	0.040131	1.27	2.73	25.49
23	0.15	0.208251	0.0871909	2.37	1.63	24.39
23	0.2	0.211374	0.108146	3.03	0.97	23.74
23	0.25	0.206214	0.124784	3.58	0.42	23.23
23	0.3	0.205163	0.135609	3.87	0.13	22.94
23	0.35	0.204875	0.139759	3.96	0.04	22.86
23	0.4	0.204849	0.141735	3.99	0.01	22.85
26	0.1	0.174637	0.0466513	1.47	2.53	26.99
26	0.15	0.210447	0.0884293	2.57	1.43	25.91
26	0.2	0.212709	0.106797	3.23	0.77	25.26
26	0.25	0.20898	0.118174	3.62	0.38	24.87
26	0.3	0.206637	0.128501	3.9	0.1	24.6
26	0.35	0.205614	0.13206	3.98	0.02	24.52
26	0.4	0.205549	0.133032	4	0	24.5
29	0.1	0.185483	0.0460315	1.46	2.54	30.08
29	0.15	0.21122	0.0824245	2.49	1.51	29.06
29	0.2	0.206879	0.103605	3.24	0.76	28.37
29	0.25	0.20664	0.123062	3.84	0.16	27.79
29	0.3	0.206224	0.127227	3.93	0.07	27.7
29	0.35	0.205724	0.129263	3.97	0.03	27.66
29	0.4	0.205539	0.130434	3.99	0.01	27.64
32	0.1	0.179524	0.0441992	1.41	2.59	32.4
32	0.15	0.215509	0.0867187	2.64	1.36	31.22
32	0.2	0.217539	0.105247	3.26	0.74	30.61
32	0.25	0.214354	0.118581	3.71	0.29	30.17
32	0.3	0.213025	0.125919	3.93	0.07	29.96
32	0.35	0.212724	0.129759	4	0	29.89
32	0.4	0.212724	0.129759	4	0	29.89
35	0.1	0.190442	0.045864	1.49	2.51	34.69
35	0.15	0.211391	0.079914	2.41	1.59	33.79
35	0.2	0.20844	0.104638	3.32	0.68	32.89
35	0.25	0.205689	0.118635	3.76	0.24	32.45
