var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0604977	0.0153287	0.27	3.73	7.48
5	0.15	0.0982539	0.0404546	0.51	3.49	7.25
5	0.2	0.1496	0.089264	0.99	3.01	6.81
5	0.25	0.171623	0.122697	1.38	2.62	6.51
5	0.3	0.186916	0.158476	1.75	2.25	6.23
5	0.35	0.191697	0.196607	2.34	1.66	5.81
5	0.4	0.196661	0.234281	2.76	1.24	5.5
8	0.1	0.121191	0.0302099	0.76	3.24	10.87
8	0.15	0.174858	0.0701026	1.37	2.63	10.28
8	0.2	0.200045	0.104721	1.84	2.16	9.83
8	0.25	0.197998	0.127942	2.34	1.66	9.4
8	0.3	0.1956	0.160262	2.91	1.09	8.86
8	0.35	0.191606	0.180166	3.3	0.7	8.55
8	0.4	0.188224	0.194404	3.57	0.43	8.35
11	0.1	0.141647	0.0368709	0.94	3.06	14.09
11	0.15	0.204569	0.0811435	1.66	2.34	13.39
11	0.2	0.214077	0.116173	2.46	1.54	12.6
11	0.25	0.205302	0.13329	2.98	1.02	12.16
11	0.3	0.19847	0.151203	3.42	0.58	11.77
11	0.35	0.194575	0.168893	3.79	0.21	11.45
11	0.4	0.194177	0.176189	3.93	0.07	11.32
14	0.1	0.164159	0.0415676	1.01	2.99	17.39
14	0.15	0.20698	0.0813417	1.89	2.11	16.53
14	0.2	0.219962	0.11511	2.71	1.29	15.74
14	0.25	0.212315	0.134216	3.29	0.71	15.19
14	0.3	0.209408	0.146472	3.64	0.36	14.85
14	0.35	0.208126	0.157366	3.87	0.13	14.65
14	0.4	0.207671	0.163569	3.97	0.03	14.58
17	0.1	0.175441	0.0421604	1.23	2.77	20.53
17	0.15	0.202514	0.0767305	2.17	1.83	19.6
17	0.2	0.213014	0.105142	2.81	1.19	18.96
17	0.25	0.20931	0.125999	3.38	0.62	18.4
17	0.3	0.205668	0.139785	3.77	0.23	18.03
17	0.35	0.204498	0.146604	3.93	0.07	17.87
17	0.4	0.204179	0.150083	3.99	0.01	17.82
20	0.1	0.171343	0.0461499	1.2	2.8	22.69
20	0.15	0.205956	0.0870746	2.3	1.7	21.62
20	0.2	0.209829	0.111398	3.06	0.94	20.91
20	0.25	0.20826	0.126929	3.53	0.47	20.44
20	0.3	0.20596	0.137721	3.82	0.18	20.15
20	0.35	0.204743	0.143516	3.95	0.05	20.02
20	0.4	0.204455	0.14576	3.99	0.01	19.98
23	0.1	0.183983	0.048533	1.4	2.6	24.84
23	0.15	0.197591	0.081354	2.39	1.61	23.86
23	0.2	0.207293	0.108197	3.05	0.95	23.2
23	0.25	0.202306	0.122169	3.52	0.48	22.74
23	0.3	0.20117	0.134356	3.86	0.14	22.42
23	0.35	0.200362	0.139115	3.97	0.03	22.32
23	0.4	0.200312	0.141035	4	0	22.3
26	0.1	0.186976	0.0453063	1.5	2.5	26.57
26	0.15	0.215481	0.0824973	2.5	1.5	25.58
26	0.2	0.213207	0.10527	3.23	0.77	24.86
26	0.25	0.209626	0.120593	3.72	0.28	24.38
26	0.3	0.208285	0.127775	3.9	0.1	24.2
26	0.35	0.207961	0.131559	3.99	0.01	24.11
26	0.4	0.207883	0.132347	4	0	24.1
29	0.1	0.165396	0.0424439	1.28	2.72	30
29	0.15	0.217765	0.0841491	2.2	1.8	29.1
29	0.2	0.218718	0.111996	3.14	0.86	28.23
29	0.25	0.214733	0.127654	3.69	0.31	27.7
29	0.3	0.213463	0.134871	3.9	0.1	27.51
29	0.35	0.212769	0.139404	3.98	0.02	27.43
29	0.4	0.212768	0.14058	4	0	27.41
32	0.1	0.188839	0.0491346	1.37	2.63	32.28
32	0.15	0.215385	0.0868848	2.52	1.48	31.18
32	0.2	0.218444	0.111707	3.32	0.68	30.41
32	0.25	0.215781	0.122868	3.75	0.25	29.98
32	0.3	0.214804	0.130372	3.94	0.06	29.8
32	0.35	0.214426	0.132768	4	0	29.74
32	0.4	0.214426	0.132768	4	0	29.74
35	0.1	0.183575	0.0446334	1.54	2.46	34.75
35	0.15	0.217538	0.0791354	2.47	1.53	33.82
35	0.2	0.219168	0.101691	3.22	0.78	33.09
35	0.25	0.216977	0.117355	3.7	0.3	32.64
35	0.3	0.21603	0.124077	3.9	0.1	32.45
35	0.35	0.215521	0.128748	3.99	0.01	32.36
35	0.4	0.215521	0.128748	3.99	0.01	32.36
38	0.1	0.184537	0.0473951	1.51	2.49	35.67
38	0.15	0.214511	0.0870545	2.72	1.28	34.5
38	0.2	0.212344	0.106976	3.42	0.58	33.82
38	0.25	0.208676	0.119402	3.88	0.12	33.38
38	0.3	0.208525	0.122898	3.99	0.01	33.27
38	0.35	0.208513	0.123197	4	0	33.26
38	0.4	0.208513	0.123197	4	0	33.26
41	0.1	0.191552	0.0464946	1.62	2.38	38.29
41	0.15	0.206482	0.0766797	2.63	1.37	37.29
41	0.2	0.205659	0.103938	3.5	0.5	36.44
41	0.25	0.203907	0.112309	3.81	0.19	36.14
41	0.3	0.20361	0.117289	3.93	0.07	36.02
41	0.35	0.203449	0.120212	3.99	0.01	35.96
41	0.4	0.203415	0.120967	4	0	35.95
44	0.1	0.178306	0.0442934	1.6	2.4	39.12
44	0.15	0.206669	0.0808801	2.7	1.3	38.05
44	0.2	0.209411	0.101355	3.37	0.63	37.39
44	0.25	0.208397	0.113257	3.75	0.25	37.05
44	0.3	0.20736	0.121123	3.94	0.06	36.86
44	0.35	0.207324	0.12436	4	0	36.8
44	0.4	0.207324	0.12436	4	0	36.8
47	0.1	0.191875	0.0446177	1.52	2.48	41.65
47	0.15	0.2117	0.0775165	2.58	1.42	40.61
47	0.2	0.20618	0.102836	3.46	0.54	39.76
47	0.25	0.203993	0.114345	3.84	0.16	39.38
47	0.3	0.203582	0.118518	3.95	0.05	39.28
47	0.35	0.203472	0.121166	4	0	39.23
47	0.4	0.203472	0.121166	4	0	39.23
50	0.1	0.182136	0.0459362	1.56	2.44	43.76
50	0.15	0.219043	0.083446	2.7	1.3	42.62
50	0.2	0.215495	0.105732	3.53	0.47	41.83
50	0.25	0.213503	0.115061	3.88	0.12	41.48
50	0.3	0.213426	0.117787	3.95	0.05	41.41
50	0.35	0.213372	0.120515	4	0	41.36
50	0.4	0.213372	0.120515	4	0	41.36
53	0.1	0.191407	0.0441695	1.66	2.34	44.59
53	0.15	0.210354	0.0801357	2.8	1.2	43.45
53	0.2	0.206175	0.0973341	3.45	0.55	42.81
53	0.25	0.204044	0.107851	3.77	0.23	42.5
53	0.3	0.203157	0.114783	3.94	0.06	42.33
53	0.35	0.203129	0.118132	4	0	42.27
53	0.4	0.203129	0.118132	4	0	42.27
56	0.1	0.198296	0.0459135	1.86	2.14	45.07
56	0.15	0.208216	0.075576	2.8	1.2	44.14
56	0.2	0.206945	0.0958353	3.58	0.42	43.37
56	0.25	0.206165	0.105469	3.85	0.15	43.1
56	0.3	0.205861	0.111121	3.99	0.01	42.97
56	0.35	0.205859	0.11181	4	0	42.96
56	0.4	0.205859	0.11181	4	0	42.96
59	0.1	0.182725	0.0416003	1.73	2.27	49.24
59	0.15	0.203979	0.073876	2.67	1.33	48.31
59	0.2	0.207485	0.0974715	3.41	0.59	47.57
59	0.25	0.204484	0.112179	3.89	0.11	47.12
59	0.3	0.20407	0.115784	3.98	0.02	47.03
59	0.35	0.203984	0.116784	4	0	47.01
59	0.4	0.203984	0.116784	4	0	47.01
62	0.1	0.197124	0.0476012	1.85	2.15	49.31
62	0.15	0.205421	0.0743318	2.77	1.23	48.4
62	0.2	0.20099	0.0971453	3.57	0.43	47.62
62	0.25	0.199867	0.107044	3.88	0.12	47.32
62	0.3	0.199466	0.111415	3.99	0.01	47.21
62	0.35	0.1994	0.111962	4	0	47.2
62	0.4	0.1994	0.111962	4	0	47.2
65	0.1	0.182091	0.0456121	1.76	2.24	49.58
65	0.15	0.193152	0.0786473	2.92	1.08	48.43
65	0.2	0.194728	0.0975013	3.6	0.4	47.78
65	0.25	0.193982	0.10428	3.82	0.18	47.56
65	0.3	0.193697	0.110799	3.98	0.02	47.41
65	0.35	0.193629	0.111861	4	0	47.39
65	0.4	0.193629	0.111861	4	0	47.39
68	0.1	0.188651	0.0493888	2.02	1.98	51.18
68	0.15	0.195592	0.0736822	2.97	1.03	50.27
68	0.2	0.197844	0.0932113	3.64	0.36	49.61
68	0.25	0.196492	0.100998	3.9	0.1	49.35
68	0.3	0.19632	0.104751	3.98	0.02	49.27
68	0.35	0.196259	0.105896	4	0	49.25
68	0.4	0.196259	0.105896	4	0	49.25
71	0.1	0.184815	0.0462806	1.9	2.1	50.91
71	0.15	0.201157	0.0759728	2.88	1.12	49.94
71	0.2	0.195487	0.0966225	3.68	0.32	49.15
71	0.25	0.194428	0.104687	3.95	0.05	48.88
71	0.3	0.194274	0.105893	3.99	0.01	48.84
71	0.35	0.194072	0.106544	4	0	48.83
71	0.4	0.194072	0.106544	4	0	48.83
74	0.1	0.193046	0.0473022	2.06	1.94	52.01
74	0.15	0.193931	0.0719792	3.06	0.94	51.02
74	0.2	0.190349	0.0875966	3.6	0.4	50.48
74	0.25	0.188817	0.098931	3.92	0.08	50.16
74	0.3	0.188633	0.10162	3.99	0.01	50.09
74	0.35	0.188592	0.10207	4	0	50.08
74	0.4	0.188592	0.10207	4	0	50.08
77	0.1	0.202228	0.0496679	1.99	2.01	52.92
77	0.15	0.206005	0.0736519	2.91	1.09	52.01
77	0.2	0.20333	0.0929037	3.59	0.41	51.35
77	0.25	0.202248	0.102848	3.91	0.09	51.03
77	0.3	0.202073	0.106009	3.98	0.02	50.96
77	0.35	0.202072	0.107264	4	0	50.94
77	0.4	0.202072	0.107264	4	0	50.94
80	0.1	0.194065	0.0448862	2.08	1.92	56.27
80	0.15	0.193601	0.0714801	3.21	0.79	55.17
80	0.2	0.191207	0.0890948	3.78	0.22	54.61
80	0.25	0.189791	0.0943031	3.96	0.04	54.43
80	0.3	0.189776	0.0963337	4	0	54.39
80	0.35	0.189776	0.0963337	4	0	54.39
80	0.4	0.189776	0.0963337	4	0	54.39
83	0.1	0.186506	0.0468894	1.94	2.06	57.12
83	0.15	0.200409	0.0769433	3.07	0.93	56.02
83	0.2	0.195397	0.0912307	3.65	0.35	55.45
83	0.25	0.194736	0.10023	3.92	0.08	55.18
83	0.3	0.194677	0.10306	3.99	0.01	55.12
83	0.35	0.194675	0.103573	4	0	55.11
83	0.4	0.194675	0.103573	4	0	55.11
86	0.1	0.184675	0.0404827	1.9	2.1	59.22
86	0.15	0.186787	0.0689264	2.87	1.13	58.26
86	0.2	0.18446	0.08977	3.61	0.39	57.56
86	0.25	0.182908	0.100991	3.92	0.08	57.26
86	0.3	0.182716	0.104187	3.99	0.01	57.2
86	0.35	0.182671	0.104675	4	0	57.19
86	0.4	0.182671	0.104675	4	0	57.19
89	0.1	0.184843	0.0433639	2.1	1.9	59.45
89	0.15	0.193329	0.0675225	3	1	58.57
89	0.2	0.191397	0.089165	3.68	0.32	57.91
89	0.25	0.190418	0.0976376	3.95	0.05	57.64
89	0.3	0.190248	0.0998899	4	0	57.59
89	0.35	0.190248	0.0998899	4	0	57.59
89	0.4	0.190248	0.0998899	4	0	57.59
92	0.1	0.169333	0.0404277	1.89	2.11	58.82
92	0.15	0.195561	0.0754061	2.86	1.14	57.85
92	0.2	0.192569	0.0935942	3.61	0.39	57.13
92	0.25	0.190875	0.103348	3.93	0.07	56.81
92	0.3	0.190627	0.106539	4	0	56.74
92	0.35	0.190627	0.106539	4	0	56.74
92	0.4	0.190627	0.106539	4	0	56.74
95	0.1	0.171386	0.0374463	1.95	2.05	61.65
95	0.15	0.191439	0.0713961	2.94	1.06	60.66
95	0.2	0.187423	0.0911589	3.69	0.31	59.92
95	0.25	0.186586	0.0993828	3.94	0.06	59.67
95	0.3	0.186529	0.102216	4	0	59.61
95	0.35	0.186529	0.102216	4	0	59.61
95	0.4	0.186529	0.102216	4	0	59.61
98	0.1	0.191935	0.0464545	2.01	1.99	62.04
98	0.15	0.198087	0.072681	2.94	1.06	61.12
