var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.166453	0.0250253	0.61	1.39	3.71
5	0.15	0.212564	0.045806	0.82	1.18	3.5
5	0.2	0.229222	0.061856	0.96	1.04	3.36
5	0.25	0.240447	0.0807889	1.11	0.89	3.21
5	0.3	0.257394	0.0977236	1.19	0.81	3.13
5	0.35	0.257004	0.117251	1.33	0.67	2.99
5	0.4	0.256051	0.136351	1.47	0.53	2.86
8	0.1	0.271776	0.0304636	1.02	0.98	4.88
8	0.15	0.291335	0.0450816	1.23	0.77	4.67
8	0.2	0.295498	0.0548557	1.36	0.64	4.54
8	0.25	0.288023	0.0722812	1.53	0.47	4.37
8	0.3	0.28439	0.0813475	1.63	0.37	4.28
8	0.35	0.279178	0.102771	1.78	0.22	4.13
8	0.4	0.280145	0.117863	1.86	0.14	4.05
11	0.1	0.275088	0.0343948	1.25	0.75	5.48
11	0.15	0.281498	0.0488316	1.5	0.5	5.23
11	0.2	0.276831	0.0609218	1.67	0.33	5.06
11	0.25	0.273674	0.0703437	1.78	0.22	4.95
11	0.3	0.27293	0.0734407	1.81	0.19	4.92
11	0.35	0.270293	0.0803563	1.86	0.14	4.87
11	0.4	0.266134	0.0942552	1.94	0.06	4.79
14	0.1	0.262644	0.0309511	1.3	0.7	6.86
14	0.15	0.266952	0.0470298	1.58	0.42	6.58
14	0.2	0.2607	0.0609272	1.78	0.22	6.38
14	0.25	0.256542	0.0714625	1.9	0.1	6.26
14	0.3	0.25539	0.0780808	1.96	0.04	6.2
14	0.35	0.254763	0.0842806	2	0	6.16
14	0.4	0.254763	0.0842806	2	0	6.16
17	0.1	0.286742	0.02797	1.39	0.61	8.05
17	0.15	0.28526	0.0409483	1.62	0.38	7.82
17	0.2	0.281959	0.0525579	1.77	0.23	7.67
17	0.25	0.277873	0.0647891	1.9	0.1	7.54
17	0.3	0.276574	0.0709917	1.95	0.05	7.49
17	0.35	0.276358	0.0749905	1.98	0.02	7.46
17	0.4	0.276135	0.076796	1.99	0.01	7.45
20	0.1	0.283891	0.0326839	1.56	0.44	8.43
20	0.15	0.279515	0.0426743	1.77	0.23	8.22
20	0.2	0.275251	0.050687	1.89	0.11	8.1
20	0.25	0.273089	0.0571163	1.96	0.04	8.03
20	0.3	0.272914	0.0605028	1.99	0.01	8
20	0.35	0.272566	0.0621244	2	0	7.99
20	0.4	0.272566	0.0621244	2	0	7.99
23	0.1	0.254174	0.0310869	1.53	0.47	8.98
23	0.15	0.247282	0.0431411	1.78	0.22	8.73
23	0.2	0.244561	0.051038	1.89	0.11	8.62
23	0.25	0.242714	0.0567723	1.95	0.05	8.56
23	0.3	0.242014	0.0580737	1.96	0.04	8.55
23	0.35	0.241778	0.0625542	1.99	0.01	8.52
23	0.4	0.241575	0.0640927	2	0	8.51
26	0.1	0.268776	0.0225036	1.4	0.6	11.52
26	0.15	0.266699	0.0338453	1.6	0.4	11.32
26	0.2	0.261241	0.053453	1.85	0.15	11.07
26	0.25	0.259454	0.0630308	1.96	0.04	10.96
26	0.3	0.258116	0.0678418	2	0	10.92
26	0.35	0.258116	0.0678418	2	0	10.92
