var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.139152	0.0403366	2.22	7.78	14.81
30	0.15	0.121315	0.0891728	5.1	4.9	12.42
30	0.2	0.115355	0.109953	6.48	3.52	11.4
30	0.25	0.107125	0.131335	8.09	1.91	10.3
30	0.3	0.103889	0.145989	9.07	0.93	9.73
30	0.35	0.10195	0.157252	9.7	0.3	9.35
30	0.4	0.101334	0.16062	9.88	0.12	9.26
32	0.1	0.134909	0.042911	2.69	7.31	15.03
32	0.15	0.134445	0.0822115	4.8	5.2	13.33
32	0.2	0.122213	0.106422	6.44	3.56	12.19
32	0.25	0.110914	0.129182	7.93	2.07	11.14
32	0.3	0.106041	0.14404	8.94	1.06	10.48
32	0.35	0.103553	0.154276	9.57	0.43	10.04
32	0.4	0.102777	0.159763	9.84	0.16	9.86
34	0.1	0.123229	0.0477553	3.76	6.24	14.35
34	0.15	0.125931	0.0779678	5.37	4.63	13.08
34	0.2	0.112529	0.10196	7.32	2.68	11.61
34	0.25	0.106173	0.119176	8.55	1.45	10.8
34	0.3	0.102875	0.130747	9.3	0.7	10.26
34	0.35	0.1015	0.138495	9.73	0.27	9.91
34	0.4	0.10103	0.142392	9.89	0.11	9.78
36	0.1	0.125302	0.0534593	3.44	6.56	13.48
36	0.15	0.119737	0.0792562	5.12	4.88	12.09
36	0.2	0.112126	0.104935	6.88	3.12	10.73
36	0.25	0.10395	0.123536	8.33	1.67	9.82
36	0.3	0.10139	0.137763	9.24	0.76	9.3
36	0.35	0.0997323	0.144857	9.66	0.34	9.09
36	0.4	0.0991584	0.150513	9.92	0.08	8.95
38	0.1	0.132647	0.0506927	3.23	6.77	13.33
38	0.15	0.123783	0.0848031	5.35	4.65	11.61
38	0.2	0.115862	0.107221	7.01	2.99	10.52
38	0.25	0.108951	0.124871	8.35	1.65	9.61
38	0.3	0.10565	0.138452	9.25	0.75	9.07
38	0.35	0.104035	0.146343	9.68	0.32	8.88
38	0.4	0.103397	0.150898	9.9	0.1	8.78
40	0.1	0.135215	0.0446237	2.78	7.22	14.1
40	0.15	0.125905	0.0810071	5	5	12.31
40	0.2	0.117772	0.109882	6.84	3.16	11.04
40	0.25	0.110678	0.128265	8.22	1.78	10.16
40	0.3	0.107503	0.141675	9.15	0.85	9.71
40	0.35	0.105959	0.148586	9.55	0.45	9.47
40	0.4	0.105321	0.154452	9.84	0.16	9.32
42	0.1	0.141169	0.0471633	3.07	6.93	12.64
42	0.15	0.125745	0.0807424	5.22	4.78	11.05
42	0.2	0.114182	0.105833	7.02	2.98	9.87
42	0.25	0.107631	0.124827	8.48	1.52	8.98
42	0.3	0.105208	0.135548	9.19	0.81	8.54
42	0.35	0.103756	0.145387	9.71	0.29	8.31
42	0.4	0.103214	0.149673	9.91	0.09	8.23
44	0.1	0.12195	0.0453377	3.34	6.66	12.29
44	0.15	0.124437	0.081077	5.42	4.58	10.81
44	0.2	0.112512	0.102928	7.12	2.88	9.67
44	0.25	0.106924	0.120769	8.48	1.52	8.85
44	0.3	0.104233	0.133551	9.33	0.67	8.35
44	0.35	0.102834	0.141996	9.81	0.19	8.08
44	0.4	0.102589	0.145132	9.95	0.05	8.02
46	0.1	0.129418	0.0555651	3.97	6.03	11.63
46	0.15	0.119486	0.0784416	5.86	4.14	10.22
46	0.2	0.110854	0.100943	7.53	2.47	9.15
46	0.25	0.106945	0.117214	8.77	1.23	8.47
46	0.3	0.10574	0.127624	9.46	0.54	8.08
46	0.35	0.10482	0.134393	9.83	0.17	7.92
46	0.4	0.10473	0.136978	9.94	0.06	7.9
48	0.1	0.135629	0.0521306	3.76	6.24	11.82
48	0.15	0.123951	0.0754823	5.36	4.64	10.68
48	0.2	0.114242	0.100615	7.2	2.8	9.54
48	0.25	0.109027	0.119574	8.56	1.44	8.71
48	0.3	0.106971	0.130512	9.26	0.74	8.37
48	0.35	0.105793	0.139756	9.78	0.22	8.11
48	0.4	0.105674	0.142161	9.9	0.1	8.03
50	0.1	0.13254	0.0503712	3.87	6.13	10.89
50	0.15	0.118372	0.0764102	5.95	4.05	9.47
50	0.2	0.111304	0.096935	7.44	2.56	8.54
50	0.25	0.106426	0.11499	8.74	1.26	7.77
50	0.3	0.105343	0.124285	9.32	0.68	7.44
50	0.35	0.103972	0.131485	9.69	0.31	7.24
50	0.4	0.103374	0.1351	9.85	0.15	7.16
52	0.1	0.130001	0.0469582	4.47	5.53	10.15
52	0.15	0.113851	0.0736443	6.54	3.46	8.72
52	0.2	0.108012	0.0905429	8.03	1.97	7.83
52	0.25	0.105148	0.104062	9.04	0.96	7.16
52	0.3	0.103764	0.113417	9.61	0.39	6.93
52	0.35	0.103147	0.118437	9.86	0.14	6.82
52	0.4	0.102774	0.121156	9.97	0.03	6.78
54	0.1	0.142908	0.0499807	4.18	5.82	10.18
54	0.15	0.128381	0.0764606	6.38	3.62	8.8
54	0.2	0.118908	0.0942212	7.79	2.21	8.01
54	0.25	0.115861	0.108328	8.73	1.27	7.51
54	0.3	0.112983	0.120579	9.47	0.53	7.04
54	0.35	0.112337	0.126849	9.78	0.22	6.91
54	0.4	0.112019	0.129367	9.9	0.1	6.86
56	0.1	0.119811	0.0498792	4.63	5.37	10.46
56	0.15	0.111892	0.0715258	6.27	3.73	9.32
56	0.2	0.112379	0.0919557	7.84	2.16	8.27
56	0.25	0.107343	0.106091	8.83	1.17	7.64
56	0.3	0.106318	0.117308	9.47	0.53	7.33
56	0.35	0.10532	0.123227	9.78	0.22	7.15
56	0.4	0.104689	0.126237	9.92	0.08	7.07
58	0.1	0.137554	0.0509367	4.82	5.18	8.91
58	0.15	0.129372	0.0718062	6.61	3.39	7.87
58	0.2	0.123495	0.0880997	7.94	2.06	7.16
58	0.25	0.120161	0.102192	8.97	1.03	6.6
58	0.3	0.11952	0.111381	9.51	0.49	6.39
58	0.35	0.118052	0.11693	9.79	0.21	6.22
58	0.4	0.117749	0.118976	9.89	0.11	6.19
60	0.1	0.129171	0.0529203	4.64	5.36	9.1
60	0.15	0.119655	0.0743213	6.39	3.61	8.08
60	0.2	0.116425	0.092515	7.83	2.17	7.24
60	0.25	0.112386	0.106907	8.76	1.24	6.69
60	0.3	0.110391	0.118102	9.45	0.55	6.37
60	0.35	0.109354	0.123055	9.71	0.29	6.23
60	0.4	0.109239	0.128404	9.93	0.07	6.15
62	0.1	0.13391	0.0507044	4.48	5.52	9.38
62	0.15	0.124218	0.0729543	6.39	3.61	8.14
62	0.2	0.118179	0.0944193	8.06	1.94	7.26
62	0.25	0.116228	0.106282	8.92	1.08	6.85
62	0.3	0.11402	0.116629	9.54	0.46	6.53
62	0.35	0.113015	0.122268	9.82	0.18	6.39
62	0.4	0.112271	0.124168	9.91	0.09	6.36
64	0.1	0.119728	0.0447395	5.09	4.91	8.43
64	0.15	0.117769	0.0681292	6.91	3.09	7.4
64	0.2	0.112861	0.0836874	8.14	1.86	6.79
64	0.25	0.111173	0.0965483	9.01	0.99	6.33
64	0.3	0.109531	0.108564	9.69	0.31	6.11
64	0.35	0.109357	0.112597	9.91	0.09	6.07
64	0.4	0.109073	0.114498	9.99	0.01	6.03
66	0.1	0.121378	0.047531	4.68	5.32	8.82
66	0.15	0.119872	0.070013	6.57	3.43	7.71
66	0.2	0.115041	0.0846122	7.73	2.27	7.06
66	0.25	0.112651	0.102874	8.84	1.16	6.55
66	0.3	0.111524	0.113472	9.47	0.53	6.26
66	0.35	0.110347	0.119636	9.79	0.21	6.12
66	0.4	0.109949	0.122626	9.91	0.09	6.08
68	0.1	0.122205	0.0471244	4.61	5.39	9.22
68	0.15	0.119238	0.0765757	7.01	2.99	7.7
68	0.2	0.114265	0.0910071	8.36	1.64	6.92
68	0.25	0.112078	0.100697	9.07	0.93	6.57
68	0.3	0.111536	0.108649	9.55	0.45	6.31
68	0.35	0.111348	0.11447	9.85	0.15	6.22
68	0.4	0.111478	0.116398	9.93	0.07	6.2
70	0.1	0.129477	0.0490431	5.06	4.94	8.59
70	0.15	0.120842	0.0702395	6.9	3.1	7.44
70	0.2	0.11688	0.0850718	8.22	1.78	6.84
70	0.25	0.113761	0.0969126	9.08	0.92	6.59
70	0.3	0.112735	0.106797	9.63	0.37	6.37
70	0.35	0.112322	0.11304	9.95	0.05	6.25
70	0.4	0.112196	0.113852	9.99	0.01	6.25
72	0.1	0.117789	0.048687	4.98	5.02	8.08
72	0.15	0.108765	0.0694243	6.9	3.1	6.9
72	0.2	0.105981	0.0839211	7.99	2.01	6.28
72	0.25	0.104124	0.0977083	8.9	1.1	5.85
72	0.3	0.104238	0.11062	9.64	0.36	5.64
72	0.35	0.103881	0.114544	9.85	0.15	5.54
72	0.4	0.103951	0.116548	9.93	0.07	5.49
74	0.1	0.135493	0.0497045	4.88	5.12	8.49
74	0.15	0.125599	0.0720579	6.76	3.24	7.41
74	0.2	0.120361	0.0887732	8.14	1.86	6.74
74	0.25	0.117128	0.101413	9.07	0.93	6.43
74	0.3	0.11634	0.109668	9.58	0.42	6.18
74	0.35	0.116851	0.114636	9.81	0.19	6.12
74	0.4	0.116917	0.117416	9.92	0.08	6.1
76	0.1	0.123544	0.0484323	5.01	4.99	8.16
76	0.15	0.119745	0.0664429	6.59	3.41	7.36
76	0.2	0.113638	0.0867243	8.11	1.89	6.65
76	0.25	0.111704	0.0995276	8.95	1.05	6.26
76	0.3	0.110758	0.108414	9.48	0.52	6.01
76	0.35	0.109919	0.115998	9.83	0.17	5.88
76	0.4	0.109702	0.117802	9.91	0.09	5.87
78	0.1	0.128363	0.0460934	5.29	4.71	7.49
78	0.15	0.125356	0.0664987	7.06	2.94	6.53
78	0.2	0.121344	0.0843339	8.49	1.51	5.87
78	0.25	0.118775	0.0939165	9.19	0.81	5.61
78	0.3	0.118129	0.10088	9.59	0.41	5.46
78	0.35	0.118069	0.106569	9.83	0.17	5.38
78	0.4	0.117958	0.108612	9.91	0.09	5.35
80	0.1	0.13317	0.0477645	5.08	4.92	7.86
80	0.15	0.129298	0.0710029	7.17	2.83	6.85
80	0.2	0.124005	0.0855615	8.38	1.62	6.15
80	0.25	0.122299	0.0962582	9.14	0.86	5.9
80	0.3	0.122392	0.104248	9.61	0.39	5.66
80	0.35	0.121497	0.109268	9.85	0.15	5.52
80	0.4	0.121409	0.110995	9.92	0.08	5.51
82	0.1	0.129375	0.0458164	5.44	4.56	7.71
82	0.15	0.120693	0.0645358	7.1	2.9	6.75
82	0.2	0.117624	0.0798259	8.36	1.64	6.11
82	0.25	0.114108	0.0921347	9.19	0.81	5.78
82	0.3	0.113157	0.0988945	9.58	0.42	5.56
82	0.35	0.112937	0.102821	9.78	0.22	5.52
82	0.4	0.112257	0.106702	9.92	0.08	5.43
84	0.1	0.122408	0.0502835	4.9	5.1	8.93
84	0.15	0.119273	0.0717118	6.7	3.3	7.72
84	0.2	0.113056	0.0881686	7.93	2.07	7.15
84	0.25	0.111467	0.103233	8.89	1.11	6.71
84	0.3	0.110641	0.111943	9.43	0.57	6.48
84	0.35	0.110732	0.118835	9.79	0.21	6.32
84	0.4	0.110172	0.1222	9.93	0.07	6.28
86	0.1	0.120571	0.0479583	5	5	8.84
86	0.15	0.115183	0.0699292	6.77	3.23	7.85
86	0.2	0.110407	0.0869905	8.11	1.89	7.1
86	0.25	0.109817	0.100262	9.05	0.95	6.7
86	0.3	0.108588	0.110662	9.65	0.35	6.46
86	0.35	0.108258	0.114723	9.87	0.13	6.37
86	0.4	0.10801	0.117489	9.98	0.02	6.31
88	0.1	0.124247	0.0479419	4.83	5.17	8.88
88	0.15	0.121571	0.0689508	6.6	3.4	7.79
88	0.2	0.117182	0.0860769	7.9	2.1	7.12
88	0.25	0.115876	0.101421	8.86	1.14	6.54
88	0.3	0.113629	0.111115	9.45	0.55	6.23
88	0.35	0.111899	0.11687	9.74	0.26	6.14
88	0.4	0.111477	0.121001	9.91	0.09	6.07
90	0.1	0.13141	0.0503435	4.81	5.19	7.97
90	0.15	0.125594	0.0692418	6.46	3.54	7.16
90	0.2	0.121873	0.0879405	7.86	2.14	6.5
90	0.25	0.119866	0.102288	8.83	1.17	6.11
90	0.3	0.118291	0.113434	9.5	0.5	5.87
90	0.35	0.117853	0.119072	9.78	0.22	5.79
90	0.4	0.117941	0.123097	9.94	0.06	5.77
92	0.1	0.135975	0.0489394	5.17	4.83	8.01
92	0.15	0.126992	0.0678968	6.77	3.23	7.02
92	0.2	0.123626	0.0857778	8.15	1.85	6.32
92	0.25	0.122078	0.0978834	9	1	5.92
92	0.3	0.120523	0.10699	9.53	0.47	5.68
92	0.35	0.120218	0.112793	9.8	0.2	5.57
92	0.4	0.119453	0.116241	9.94	0.06	5.51
94	0.1	0.13353	0.0459819	4.72	5.28	8.42
94	0.15	0.126924	0.0716138	6.81	3.19	7.14
94	0.2	0.120591	0.0901043	8.22	1.78	6.37
94	0.25	0.118754	0.0999189	8.88	1.12	6.03
94	0.3	0.11761	0.111683	9.55	0.45	5.76
94	0.35	0.116926	0.116518	9.8	0.2	5.69
94	0.4	0.116588	0.119528	9.92	0.08	5.66
96	0.1	0.125315	0.0466466	4.81	5.19	8.6
96	0.15	0.121195	0.071775	6.64	3.36	7.45
96	0.2	0.115193	0.0890332	8.03	1.97	6.73
96	0.25	0.114477	0.102665	8.99	1.01	6.32
96	0.3	0.113137	0.111602	9.49	0.51	6.08
96	0.35	0.112115	0.117767	9.8	0.2	5.94
96	0.4	0.111582	0.121521	9.97	0.03	5.85
98	0.1	0.127958	0.0523008	4.66	5.34	8.78
98	0.15	0.121578	0.0756573	6.71	3.29	7.56
98	0.2	0.116313	0.0909096	7.96	2.04	6.87
98	0.25	0.113925	0.105717	9.05	0.95	6.33
98	0.3	0.112537	0.114163	9.55	0.45	6.12
98	0.35	0.112347	0.120624	9.87	0.13	6.01
98	0.4	0.112151	0.122771	9.96	0.04	5.98
100	0.1	0.127479	0.0464626	4.72	5.28	8.97
100	0.15	0.120343	0.0720649	6.74	3.26	7.75
100	0.2	0.114411	0.0895552	8.2	1.8	6.85
100	0.25	0.112527	0.100861	9.04	0.96	6.42
100	0.3	0.111222	0.109426	9.54	0.46	6.21
100	0.35	0.110328	0.114836	9.81	0.19	6.09
100	0.4	0.10997	0.118051	9.95	0.05	6.05
102	0.1	0.136523	0.0487589	5.16	4.84	8.13
102	0.15	0.124281	0.0685006	6.97	3.03	7
102	0.2	0.120232	0.0848147	8.27	1.73	6.46
102	0.25	0.1179	0.0981008	9.19	0.81	6.14
102	0.3	0.116666	0.106567	9.67	0.33	5.98
102	0.35	0.116249	0.111525	9.91	0.09	5.92
102	0.4	0.116187	0.112745	9.96	0.04	5.91
104	0.1	0.119828	0.0511868	5.01	4.99	8.46
104	0.15	0.110826	0.0730052	7.07	2.93	7.28
104	0.2	0.107083	0.0859939	8.14	1.86	6.74
104	0.25	0.106259	0.0980522	9.02	0.98	6.34
104	0.3	0.105317	0.107474	9.56	0.44	6.14
104	0.35	0.104783	0.113826	9.84	0.16	6.06
104	0.4	0.104802	0.116124	9.94	0.06	6.02
106	0.1	0.118467	0.0517856	4.8	5.2	8.54
106	0.15	0.118236	0.0738472	6.61	3.39	7.42
106	0.2	0.112888	0.0907643	7.89	2.11	6.66
106	0.25	0.109634	0.106088	8.94	1.06	6.18
106	0.3	0.108431	0.115509	9.5	0.5	5.93
106	0.35	0.107623	0.122751	9.87	0.13	5.77
106	0.4	0.108252	0.125808	10	0	5.73
108	0.1	0.128633	0.0510615	4.72	5.28	8.01
108	0.15	0.125143	0.0725446	6.57	3.43	6.9
108	0.2	0.119581	0.0898444	7.82	2.18	6.14
108	0.25	0.117024	0.104435	8.8	1.2	5.62
108	0.3	0.115388	0.117891	9.61	0.39	5.34
108	0.35	0.114968	0.121877	9.82	0.18	5.26
108	0.4	0.114801	0.124091	9.92	0.08	5.23
110	0.1	0.134608	0.0491374	4.59	5.41	9.02
110	0.15	0.121555	0.0740771	6.57	3.43	7.78
110	0.2	0.11855	0.0900567	7.94	2.06	6.99
110	0.25	0.117461	0.104219	8.89	1.11	6.46
110	0.3	0.116253	0.114984	9.56	0.44	6.14
110	0.35	0.115528	0.119798	9.8	0.2	6.03
110	0.4	0.115322	0.122818	9.93	0.07	5.97
112	0.1	0.124847	0.0477573	4.59	5.41	8.64
112	0.15	0.124559	0.0734023	6.48	3.52	7.42
112	0.2	0.120515	0.0903547	7.89	2.11	6.54
112	0.25	0.11811	0.105627	9.05	0.95	6.04
