var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.0319859	0.0181801	0.39	9.61	29.33
30	0.15	0.0833174	0.100916	2.25	7.75	27.49
30	0.2	0.0879523	0.133412	3.89	6.11	26.13
30	0.25	0.0846504	0.174567	6.86	3.14	23.62
30	0.3	0.0828486	0.194609	8.52	1.48	22.27
30	0.35	0.0806605	0.208715	9.65	0.35	21.37
30	0.4	0.0802212	0.212668	9.91	0.09	21.17
33	0.1	0.045496	0.0362113	0.69	9.31	32.58
33	0.15	0.0725023	0.0809093	1.67	8.33	31.61
33	0.2	0.0908964	0.144942	4.01	5.99	29.44
33	0.25	0.0879844	0.176112	6.39	3.61	27.39
33	0.3	0.0846407	0.198135	8.51	1.49	25.69
33	0.35	0.0828846	0.212076	9.63	0.37	24.76
33	0.4	0.082506	0.215784	9.89	0.11	24.58
36	0.1	0.0483082	0.0373146	0.76	9.24	31.9
36	0.15	0.0770265	0.0931809	2.35	7.65	30.36
36	0.2	0.0888009	0.144523	4.58	5.42	28.39
36	0.25	0.0860338	0.170788	6.76	3.24	26.49
36	0.3	0.0816805	0.192927	8.79	1.21	24.78
36	0.35	0.0799334	0.203873	9.66	0.34	24.09
36	0.4	0.0795868	0.208702	9.97	0.03	23.89
39	0.1	0.0340541	0.0238531	0.46	9.54	34.14
39	0.15	0.0797534	0.0921764	1.91	8.09	32.72
39	0.2	0.0882898	0.141951	3.96	6.04	30.93
39	0.25	0.0858277	0.179285	6.74	3.26	28.49
39	0.3	0.0819648	0.199796	8.76	1.24	26.76
39	0.35	0.0803216	0.209954	9.57	0.43	26.05
39	0.4	0.0797862	0.214876	9.89	0.11	25.79
42	0.1	0.0327328	0.0240192	0.57	9.43	35.71
42	0.15	0.0741094	0.0871844	1.88	8.12	34.45
42	0.2	0.0899808	0.14726	4.26	5.74	32.24
42	0.25	0.0858444	0.177102	6.9	3.1	29.96
42	0.3	0.0822119	0.19645	8.84	1.16	28.38
42	0.35	0.080593	0.207716	9.72	0.28	27.66
42	0.4	0.0800976	0.211217	9.97	0.03	27.47
45	0.1	0.0327776	0.0261932	0.48	9.52	37.09
45	0.15	0.07311	0.0885428	1.71	8.29	35.88
45	0.2	0.0879963	0.142424	3.93	6.07	33.77
45	0.25	0.0865286	0.180238	6.8	3.2	31.26
45	0.3	0.0827031	0.20162	8.84	1.16	29.55
45	0.35	0.0812821	0.211657	9.73	0.27	28.81
45	0.4	0.0808828	0.214132	9.89	0.11	28.69
48	0.1	0.0409133	0.0295045	0.53	9.47	36.81
48	0.15	0.0752542	0.0887495	1.95	8.05	35.48
48	0.2	0.0912528	0.149804	4.48	5.52	33.1
48	0.25	0.0855859	0.17632	7.09	2.91	30.85
48	0.3	0.0818902	0.19498	8.97	1.03	29.28
48	0.35	0.0806217	0.206249	9.85	0.15	28.57
48	0.4	0.0803468	0.207961	9.96	0.04	28.5
51	0.1	0.0341163	0.0257881	0.51	9.49	38.04
51	0.15	0.0808536	0.0971467	2.13	7.87	36.47
51	0.2	0.0893472	0.143595	4.52	5.48	34.29
51	0.25	0.0864933	0.174571	6.93	3.07	32.12
51	0.3	0.082779	0.196978	9.09	0.91	30.38
51	0.35	0.0813759	0.204788	9.77	0.23	29.79
51	0.4	0.0811414	0.207382	9.96	0.04	29.63
54	0.1	0.0563295	0.0400683	0.84	9.16	37.23
54	0.15	0.0806735	0.0883575	2.18	7.82	35.94
54	0.2	0.0907851	0.145743	4.9	5.1	33.37
54	0.25	0.0854333	0.171242	7.42	2.58	31.2
54	0.3	0.0812413	0.190091	9.2	0.8	29.68
54	0.35	0.080112	0.197735	9.8	0.2	29.23
54	0.4	0.0796927	0.200381	9.98	0.02	29.1
57	0.1	0.0423112	0.0325491	0.72	9.28	37.29
57	0.15	0.0779273	0.0946734	2.27	7.73	35.8
57	0.2	0.0887901	0.142893	4.47	5.53	33.82
57	0.25	0.0853809	0.175029	7.2	2.8	31.49
57	0.3	0.0824055	0.193407	8.96	1.04	30.12
57	0.35	0.0806312	0.203312	9.79	0.21	29.45
57	0.4	0.08044	0.206726	10	0	29.33
60	0.1	0.0445622	0.032845	0.67	9.33	38.78
60	0.15	0.0800052	0.0958463	2.41	7.59	37.11
60	0.2	0.0884637	0.140994	4.64	5.36	35.08
60	0.25	0.0850774	0.172266	7.24	2.76	32.85
60	0.3	0.0815367	0.191679	9.05	0.95	31.41
60	0.35	0.0806532	0.199476	9.66	0.34	30.94
60	0.4	0.080221	0.203204	9.91	0.09	30.74
63	0.1	0.0465467	0.0345584	0.74	9.26	38.31
63	0.15	0.0839236	0.0979377	2.48	7.52	36.63
63	0.2	0.0884877	0.142148	5.11	4.89	34.22
63	0.25	0.0849106	0.169672	7.55	2.45	32.04
63	0.3	0.0824375	0.185167	8.98	1.02	30.81
63	0.35	0.0808169	0.195224	9.75	0.25	30.19
63	0.4	0.0803724	0.198643	9.95	0.05	30.06
66	0.1	0.0531656	0.0415105	0.86	9.14	38.03
66	0.15	0.085747	0.100276	2.38	7.62	36.53
66	0.2	0.0884797	0.143196	4.97	5.03	34.2
66	0.25	0.0846446	0.170808	7.32	2.68	32.13
66	0.3	0.081083	0.189781	9.1	0.9	30.74
66	0.35	0.0799832	0.198743	9.8	0.2	30.17
66	0.4	0.079766	0.201369	9.96	0.04	30.04
69	0.1	0.0578021	0.0427272	0.98	9.02	38.15
69	0.15	0.083543	0.0948003	2.54	7.46	36.65
69	0.2	0.0881733	0.140626	5.03	4.97	34.38
69	0.25	0.0843459	0.169216	7.61	2.39	32.27
69	0.3	0.0813927	0.186827	9.24	0.76	30.89
69	0.35	0.0804382	0.194206	9.83	0.17	30.43
69	0.4	0.0801806	0.196533	9.97	0.03	30.33
72	0.1	0.0434012	0.0301563	0.69	9.31	37.75
72	0.15	0.0792316	0.0949676	2.41	7.59	36.18
72	0.2	0.0902384	0.144648	4.8	5.2	33.99
72	0.25	0.0854754	0.171047	7.19	2.81	31.93
72	0.3	0.0820372	0.191657	9.13	0.87	30.37
72	0.35	0.0807501	0.199564	9.77	0.23	29.85
72	0.4	0.0804364	0.202173	9.93	0.07	29.74
75	0.1	0.0484034	0.0343252	0.81	9.19	38.33
75	0.15	0.0842105	0.100756	2.87	7.13	36.35
75	0.2	0.0885795	0.142205	5.47	4.53	33.98
75	0.25	0.0839616	0.1663	7.91	2.09	31.92
75	0.3	0.080948	0.181901	9.35	0.65	30.69
75	0.35	0.0797814	0.189008	9.87	0.13	30.27
75	0.4	0.0795159	0.190963	9.99	0.01	30.16
78	0.1	0.0564569	0.0445075	1.06	8.94	36.6
78	0.15	0.0887638	0.103423	2.77	7.23	34.97
78	0.2	0.0879964	0.141542	5.24	4.76	32.76
78	0.25	0.0822273	0.166108	7.74	2.26	30.58
78	0.3	0.0798631	0.180114	9.06	0.94	29.59
78	0.35	0.0783853	0.190206	9.78	0.22	29.02
78	0.4	0.0780675	0.193633	9.97	0.03	28.88
81	0.1	0.0533032	0.0403076	0.86	9.14	38.02
81	0.15	0.0838681	0.0969629	2.52	7.48	36.47
81	0.2	0.0884167	0.14603	5.33	4.67	33.87
81	0.25	0.0831558	0.170161	7.83	2.17	31.81
81	0.3	0.0806017	0.185629	9.27	0.73	30.63
81	0.35	0.0795709	0.193383	9.87	0.13	30.16
81	0.4	0.0793874	0.19477	9.96	0.04	30.08
84	0.1	0.0555843	0.0386446	0.96	9.04	36.35
84	0.15	0.0868608	0.101293	2.97	7.03	34.51
84	0.2	0.0865906	0.138239	5.49	4.51	32.28
84	0.25	0.0826196	0.164373	7.84	2.16	30.31
84	0.3	0.0798677	0.178831	9.14	0.86	29.3
84	0.35	0.0784987	0.187598	9.78	0.22	28.79
84	0.4	0.0782371	0.190625	9.95	0.05	28.64
87	0.1	0.0583292	0.0437856	1.11	8.89	35.59
87	0.15	0.0885351	0.103427	2.96	7.04	33.84
87	0.2	0.0874437	0.139839	5.72	4.28	31.39
87	0.25	0.0819183	0.164273	8.14	1.86	29.43
87	0.3	0.0791259	0.177121	9.32	0.68	28.52
87	0.35	0.0780065	0.184589	9.85	0.15	28.13
87	0.4	0.0777807	0.186701	9.98	0.02	28.01
90	0.1	0.0622299	0.0468809	1.27	8.73	35.84
90	0.15	0.0931641	0.104898	3.24	6.76	34.01
90	0.2	0.0874271	0.137955	5.96	4.04	31.57
90	0.25	0.0825237	0.160257	8.08	1.92	29.8
90	0.3	0.0805157	0.174532	9.32	0.68	28.8
90	0.35	0.0791401	0.182324	9.88	0.12	28.34
90	0.4	0.0789624	0.184227	9.98	0.02	28.26
93	0.1	0.059709	0.043422	1.36	8.64	35.52
93	0.15	0.0857113	0.0961881	3.08	6.92	33.91
93	0.2	0.085827	0.135634	5.78	4.22	31.51
93	0.25	0.0826436	0.159535	7.93	2.07	29.73
93	0.3	0.0799844	0.175595	9.36	0.64	28.65
93	0.35	0.0791419	0.182838	9.87	0.13	28.26
93	0.4	0.078946	0.185107	9.99	0.01	28.17
96	0.1	0.0685727	0.0493419	1.42	8.58	32.34
96	0.15	0.0864191	0.0994275	3.58	6.42	30.42
96	0.2	0.0857081	0.133455	6.04	3.96	28.28
96	0.25	0.0809522	0.156828	8.07	1.93	26.61
96	0.3	0.0786171	0.170954	9.3	0.7	25.73
96	0.35	0.0771804	0.178803	9.84	0.16	25.31
96	0.4	0.0767803	0.181164	9.96	0.04	25.2
99	0.1	0.0691695	0.0494512	1.37	8.63	33.53
99	0.15	0.0882679	0.0995425	3.39	6.61	31.66
99	0.2	0.0861965	0.136795	6.21	3.79	29.24
99	0.25	0.0814878	0.158955	8.36	1.64	27.59
99	0.3	0.0792853	0.17201	9.52	0.48	26.65
99	0.35	0.0787881	0.177	9.89	0.11	26.38
99	0.4	0.0784561	0.178492	9.97	0.03	26.31
102	0.1	0.0723367	0.0521181	1.66	8.34	32.05
102	0.15	0.0871454	0.0963529	3.57	6.43	30.3
102	0.2	0.0855831	0.130482	6.07	3.93	28.24
102	0.25	0.0818822	0.153354	8.01	1.99	26.6
102	0.3	0.0785845	0.169202	9.3	0.7	25.68
102	0.35	0.0775916	0.17606	9.77	0.23	25.36
102	0.4	0.0772444	0.179333	9.94	0.06	25.22
105	0.1	0.074088	0.0537897	1.49	8.51	33.07
105	0.15	0.0871163	0.096922	3.58	6.42	31.21
105	0.2	0.086232	0.135566	6.24	3.76	28.96
105	0.25	0.081125	0.157616	8.44	1.56	27.21
105	0.3	0.0787955	0.169235	9.43	0.57	26.42
105	0.35	0.0778045	0.175599	9.9	0.1	26.03
105	0.4	0.0777036	0.17647	9.95	0.05	25.98
108	0.1	0.0633783	0.0439921	1.5	8.5	31.01
108	0.15	0.087534	0.0982224	3.58	6.42	29.13
108	0.2	0.0877343	0.130136	5.83	4.17	27.19
108	0.25	0.083649	0.153614	7.95	2.05	25.5
108	0.3	0.080199	0.170478	9.34	0.66	24.41
108	0.35	0.0791503	0.177072	9.77	0.23	24.06
108	0.4	0.078822	0.180179	9.93	0.07	23.95
111	0.1	0.0744153	0.0543822	1.77	8.23	31.03
111	0.15	0.09054	0.0998948	3.83	6.17	29.19
111	0.2	0.0856	0.127117	6.05	3.95	27.31
111	0.25	0.0804324	0.153155	8.25	1.75	25.53
111	0.3	0.0779782	0.166794	9.4	0.6	24.66
111	0.35	0.0769077	0.17283	9.83	0.17	24.33
111	0.4	0.0762753	0.175594	9.98	0.02	24.21
114	0.1	0.0778639	0.0537934	1.81	8.19	30.21
114	0.15	0.0892421	0.0973058	3.81	6.19	28.43
114	0.2	0.0844001	0.129106	6.36	3.64	26.35
114	0.25	0.079854	0.150561	8.35	1.65	24.92
114	0.3	0.0770054	0.164654	9.42	0.58	24.08
114	0.35	0.0761429	0.170899	9.84	0.16	23.77
114	0.4	0.0759161	0.172963	9.95	0.05	23.68
117	0.1	0.0787508	0.0530082	1.85	8.15	29.71
117	0.15	0.0872503	0.0965373	4.25	5.75	27.61
117	0.2	0.0822645	0.123093	6.47	3.53	25.9
117	0.25	0.0788261	0.145782	8.3	1.7	24.47
117	0.3	0.0759602	0.160299	9.46	0.54	23.61
117	0.35	0.074954	0.165703	9.8	0.2	23.37
117	0.4	0.0744914	0.168654	9.95	0.05	23.28
120	0.1	0.0690609	0.048089	1.92	8.08	27.88
120	0.15	0.0858946	0.095589	4.08	5.92	25.99
120	0.2	0.0839303	0.129407	6.72	3.28	23.87
120	0.25	0.0794823	0.148094	8.5	1.5	22.46
120	0.3	0.0770348	0.159248	9.43	0.57	21.74
120	0.35	0.0764669	0.165068	9.77	0.23	21.51
120	0.4	0.076155	0.16818	9.92	0.08	21.41
123	0.1	0.0791556	0.0537046	2.2	7.8	29.09
123	0.15	0.0865139	0.095347	4.62	5.38	26.99
123	0.2	0.0831441	0.123443	6.89	3.11	25.18
123	0.25	0.0791582	0.142613	8.58	1.42	23.84
123	0.3	0.0767671	0.155179	9.58	0.42	23.06
123	0.35	0.0759255	0.159789	9.86	0.14	22.84
123	0.4	0.07579	0.161292	9.93	0.07	22.78
126	0.1	0.077131	0.0525543	2.11	7.89	27.73
126	0.15	0.0862962	0.0937306	4.4	5.6	25.79
126	0.2	0.0842881	0.126938	6.83	3.17	23.91
126	0.25	0.0798683	0.144014	8.52	1.48	22.66
126	0.3	0.0773717	0.155095	9.43	0.57	22
126	0.35	0.0762052	0.161964	9.82	0.18	21.76
126	0.4	0.075836	0.164782	9.96	0.04	21.64
129	0.1	0.0798248	0.0540002	2.2	7.8	27.42
129	0.15	0.0874459	0.0973001	4.67	5.33	25.29
129	0.2	0.0820679	0.123398	6.97	3.03	23.54
129	0.25	0.0784001	0.141588	8.62	1.38	22.26
129	0.3	0.0763487	0.153738	9.57	0.43	21.56
129	0.35	0.0755699	0.15838	9.86	0.14	21.34
129	0.4	0.0751934	0.161165	9.99	0.01	21.25
132	0.1	0.0803429	0.0520835	2.65	7.35	25.76
132	0.15	0.0837652	0.0901006	5.04	4.96	23.76
132	0.2	0.0809817	0.118044	7.19	2.81	22.04
132	0.25	0.0765166	0.13563	8.79	1.21	20.87
132	0.3	0.074464	0.146284	9.57	0.43	20.32
132	0.35	0.0733992	0.15242	9.95	0.05	20.05
132	0.4	0.0732886	0.153411	9.99	0.01	20.03
135	0.1	0.0808162	0.0527787	2.68	7.32	24.59
135	0.15	0.0888949	0.0918215	4.89	5.11	22.8
135	0.2	0.0837765	0.115684	6.99	3.01	21.18
135	0.25	0.078967	0.135101	8.68	1.32	20.09
135	0.3	0.0767228	0.147469	9.56	0.44	19.49
135	0.35	0.075915	0.15195	9.82	0.18	19.33
135	0.4	0.075455	0.155143	9.97	0.03	19.24
138	0.1	0.0809791	0.0573368	2.7	7.3	25.29
138	0.15	0.0881537	0.0908134	4.69	5.31	23.68
138	0.2	0.0831912	0.119461	6.79	3.21	22.07
138	0.25	0.0787479	0.140863	8.7	1.3	20.6
138	0.3	0.0766357	0.151827	9.53	0.47	20.05
138	0.35	0.0759906	0.157051	9.88	0.12	19.81
138	0.4	0.0757819	0.159021	9.97	0.03	19.77
141	0.1	0.0864099	0.0543169	2.5	7.5	24.82
141	0.15	0.0876981	0.0915773	4.91	5.09	22.89
141	0.2	0.0816811	0.116829	7.01	2.99	21.36
141	0.25	0.0770759	0.135866	8.57	1.43	20.32
141	0.3	0.0750402	0.147665	9.46	0.54	19.65
141	0.35	0.0741269	0.153699	9.82	0.18	19.46
141	0.4	0.0738676	0.156107	9.94	0.06	19.36
144	0.1	0.0817107	0.0551838	2.8	7.2	23.2
144	0.15	0.0837526	0.087425	4.98	5.02	21.45
144	0.2	0.0815558	0.11488	7.04	2.96	19.92
144	0.25	0.0775373	0.13403	8.63	1.37	18.8
144	0.3	0.0749136	0.145819	9.52	0.48	18.16
144	0.35	0.0735831	0.152266	9.91	0.09	17.93
144	0.4	0.0734556	0.153733	9.98	0.02	17.88
147	0.1	0.0859851	0.0574412	2.44	7.56	24.41
147	0.15	0.0882089	0.0951699	4.86	5.14	22.5
147	0.2	0.0814181	0.120498	7.18	2.82	20.71
147	0.25	0.0768572	0.137854	8.75	1.25	19.59
147	0.3	0.0747943	0.148429	9.53	0.47	19.01
147	0.35	0.0742367	0.153046	9.79	0.21	18.81
147	0.4	0.0739093	0.156677	9.95	0.05	18.72
150	0.1	0.0880293	0.0580198	3.15	6.85	23.17
150	0.15	0.0851518	0.0870981	5.39	4.61	21.37
150	0.2	0.0806588	0.111629	7.45	2.55	19.83
150	0.25	0.0761998	0.126838	8.74	1.26	18.96
150	0.3	0.0736651	0.138733	9.53	0.47	18.51
150	0.35	0.072534	0.144924	9.87	0.13	18.31
150	0.4	0.0722782	0.146533	9.94	0.06	18.29
153	0.1	0.0867506	0.0538079	3.21	6.79	22.38
153	0.15	0.0854911	0.0836863	5.22	4.78	20.95
153	0.2	0.079255	0.109463	7.32	2.68	19.52
153	0.25	0.0743533	0.128403	8.87	1.13	18.53
153	0.3	0.0721403	0.139006	9.6	0.4	18.04
153	0.35	0.0714093	0.143758	9.87	0.13	17.82
153	0.4	0.0711797	0.146147	9.98	0.02	17.76
156	0.1	0.0856292	0.0556874	3.35	6.65	22.11
156	0.15	0.0849234	0.0865277	5.41	4.59	20.57
156	0.2	0.077839	0.111409	7.61	2.39	19.06
156	0.25	0.0744449	0.12689	8.87	1.13	18.28
156	0.3	0.0720113	0.136899	9.59	0.41	17.83
156	0.35	0.0711639	0.14206	9.91	0.09	17.63
156	0.4	0.0709816	0.143743	9.98	0.02	17.6
159	0.1	0.0895012	0.0570706	3.4	6.6	21.18
159	0.15	0.0849493	0.085616	5.6	4.4	19.68
159	0.2	0.0801031	0.109462	7.52	2.48	18.33
159	0.25	0.0757098	0.126451	8.89	1.11	17.45
159	0.3	0.0731937	0.135406	9.55	0.45	17.05
159	0.35	0.0723012	0.141213	9.86	0.14	16.88
159	0.4	0.0720673	0.142963	9.95	0.05	16.84
162	0.1	0.0897231	0.0534719	3.6	6.4	20.12
162	0.15	0.0857092	0.0807338	5.77	4.23	18.59
162	0.2	0.0796921	0.103537	7.64	2.36	17.4
162	0.25	0.0751064	0.120826	8.96	1.04	16.59
162	0.3	0.0731442	0.12955	9.55	0.45	16.3
162	0.35	0.0723381	0.135603	9.88	0.12	16.13
162	0.4	0.0719861	0.137571	9.97	0.03	16.06
165	0.1	0.0859325	0.0556323	3.15	6.85	19.95
165	0.15	0.084114	0.0837114	5.21	4.79	18.47
165	0.2	0.0818108	0.109188	6.97	3.03	17.32
165	0.25	0.0768535	0.128333	8.53	1.47	16.45
165	0.3	0.0738505	0.141607	9.46	0.54	15.89
165	0.35	0.0723844	0.148963	9.88	0.12	15.63
165	0.4	0.0722039	0.149763	9.92	0.08	15.61
168	0.1	0.0835539	0.0506863	3.8	6.2	20.49
168	0.15	0.0817029	0.0790171	5.85	4.15	19.06
168	0.2	0.0785267	0.102216	7.57	2.43	18.05
168	0.25	0.0746499	0.119125	8.88	1.12	17.21
168	0.3	0.0727344	0.128141	9.48	0.52	16.84
168	0.35	0.0716103	0.133442	9.78	0.22	16.63
168	0.4	0.070933	0.137628	9.97	0.03	16.52
171	0.1	0.0852976	0.0526751	3.68	6.32	20.13
171	0.15	0.0837416	0.0768166	5.61	4.39	18.84
171	0.2	0.0786126	0.104635	7.67	2.33	17.57
171	0.25	0.0750254	0.120614	8.92	1.08	16.71
171	0.3	0.073419	0.130259	9.57	0.43	16.32
171	0.35	0.0728053	0.135408	9.85	0.15	16.16
171	0.4	0.0722715	0.138117	9.96	0.04	16.12
174	0.1	0.0859424	0.0501052	3.73	6.27	19.92
174	0.15	0.0848736	0.0805234	5.77	4.23	18.58
174	0.2	0.0804197	0.101896	7.5	2.5	17.45
174	0.25	0.0764114	0.119402	8.83	1.17	16.68
174	0.3	0.0743283	0.1293	9.52	0.48	16.28
174	0.35	0.0731091	0.135253	9.84	0.16	16.11
174	0.4	0.0727812	0.138509	9.98	0.02	16.02
177	0.1	0.0883494	0.0536472	3.69	6.31	19.08
177	0.15	0.0852276	0.0812776	5.8	4.2	17.58
177	0.2	0.0783176	0.105339	7.81	2.19	16.37
177	0.25	0.0750422	0.120412	9	1	15.77
177	0.3	0.0724529	0.130049	9.64	0.36	15.41
177	0.35	0.0717223	0.134006	9.86	0.14	15.3
177	0.4	0.071276	0.136065	9.95	0.05	15.24
180	0.1	0.0894774	0.0512635	3.99	6.01	19.24
180	0.15	0.0833	0.0775195	6.08	3.92	17.91
180	0.2	0.0778385	0.102177	7.83	2.17	16.77
180	0.25	0.0743245	0.116716	8.99	1.01	16.08
180	0.3	0.0726077	0.125992	9.62	0.38	15.73
180	0.35	0.0719943	0.131652	9.91	0.09	15.58
180	0.4	0.0717167	0.133374	9.99	0.01	15.54
