var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.130419	0.0292938	0.79	3.21	19.03
30	0.15	0.195251	0.088404	2.05	1.95	17.79
30	0.2	0.203726	0.115021	2.72	1.28	17.13
30	0.25	0.197598	0.132942	3.36	0.64	16.49
30	0.3	0.197745	0.146128	3.67	0.33	16.19
30	0.35	0.196358	0.155518	3.9	0.1	15.99
30	0.4	0.195932	0.15961	3.99	0.01	15.91
33	0.1	0.168101	0.046143	1.2	2.8	20.41
33	0.15	0.195985	0.0753295	1.9	2.1	19.74
33	0.2	0.21513	0.11458	2.88	1.12	18.8
33	0.25	0.210124	0.131306	3.45	0.55	18.23
33	0.3	0.206516	0.142055	3.74	0.26	17.98
33	0.35	0.204394	0.1497	3.9	0.1	17.83
33	0.4	0.203965	0.154338	3.98	0.02	17.75
36	0.1	0.158582	0.0397124	1	3	21.08
36	0.15	0.214035	0.0892102	2.09	1.91	20.02
36	0.2	0.218132	0.112479	2.72	1.28	19.4
36	0.25	0.214238	0.135894	3.45	0.55	18.69
36	0.3	0.212237	0.14732	3.78	0.22	18.38
36	0.35	0.211584	0.153143	3.93	0.07	18.24
36	0.4	0.21124	0.155386	3.97	0.03	18.2
39	0.1	0.137554	0.0312977	0.85	3.15	22.33
39	0.15	0.200034	0.083666	2.01	1.99	21.19
39	0.2	0.209438	0.113975	2.93	1.07	20.29
39	0.25	0.207009	0.134036	3.49	0.51	19.74
39	0.3	0.204399	0.144517	3.8	0.2	19.43
39	0.35	0.20351	0.149446	3.9	0.1	19.33
39	0.4	0.203054	0.153136	3.97	0.03	19.26
42	0.1	0.174695	0.0445727	1.1	2.9	22.43
42	0.15	0.199191	0.0803855	2.08	1.92	21.48
42	0.2	0.213845	0.112538	2.93	1.07	20.66
42	0.25	0.213136	0.126975	3.37	0.63	20.24
42	0.3	0.210121	0.141369	3.74	0.26	19.89
42	0.35	0.208872	0.151736	3.97	0.03	19.69
42	0.4	0.208646	0.153596	4	0	19.66
45	0.1	0.163247	0.0446719	1.04	2.96	23.11
45	0.15	0.219575	0.0903343	1.92	2.08	22.23
45	0.2	0.216019	0.115678	2.77	1.23	21.39
45	0.25	0.212369	0.134482	3.38	0.62	20.8
45	0.3	0.210583	0.149733	3.82	0.18	20.37
45	0.35	0.20936	0.156486	3.97	0.03	20.23
45	0.4	0.209327	0.158137	4	0	20.21
48	0.1	0.150044	0.0367511	0.98	3.02	23.33
48	0.15	0.210364	0.0834543	1.95	2.05	22.37
48	0.2	0.219947	0.117203	2.81	1.19	21.54
48	0.25	0.21508	0.132815	3.38	0.62	21
48	0.3	0.212874	0.147102	3.78	0.22	20.62
48	0.35	0.21257	0.153612	3.92	0.08	20.48
48	0.4	0.212465	0.156784	3.98	0.02	20.42
51	0.1	0.147889	0.0375252	1.07	2.93	23.4
51	0.15	0.21504	0.0867377	2.07	1.93	22.4
51	0.2	0.216442	0.114103	2.88	1.12	21.6
51	0.25	0.211997	0.13276	3.54	0.46	20.97
51	0.3	0.210432	0.144824	3.86	0.14	20.66
51	0.35	0.209676	0.150344	3.97	0.03	20.56
51	0.4	0.209506	0.15132	3.99	0.01	20.54
54	0.1	0.164866	0.0446369	1.2	2.8	23.45
54	0.15	0.21254	0.0858077	2.21	1.79	22.47
54	0.2	0.216619	0.114867	3.15	0.85	21.53
54	0.25	0.21414	0.128391	3.6	0.4	21.11
54	0.3	0.212727	0.136905	3.84	0.16	20.88
54	0.35	0.21212	0.141491	3.94	0.06	20.78
54	0.4	0.212008	0.145218	4	0	20.72
57	0.1	0.162157	0.0418248	1.05	2.95	23.91
57	0.15	0.211401	0.0839911	1.85	2.15	23.11
57	0.2	0.212552	0.115748	2.76	1.24	22.25
57	0.25	0.209195	0.135496	3.38	0.62	21.64
57	0.3	0.207081	0.149788	3.77	0.23	21.26
57	0.35	0.206691	0.15544	3.91	0.09	21.13
57	0.4	0.206411	0.159411	3.98	0.02	21.06
60	0.1	0.164006	0.0434586	1.14	2.86	24.47
60	0.15	0.208464	0.0856827	2.07	1.93	23.56
60	0.2	0.209762	0.110293	2.89	1.11	22.75
60	0.25	0.208258	0.132238	3.49	0.51	22.16
60	0.3	0.205442	0.144272	3.82	0.18	21.83
60	0.35	0.205306	0.148174	3.91	0.09	21.76
60	0.4	0.205008	0.151189	3.97	0.03	21.71
63	0.1	0.175448	0.0405232	1.05	2.95	23.23
63	0.15	0.210539	0.0792675	1.92	2.08	22.38
63	0.2	0.211007	0.112315	2.96	1.04	21.35
63	0.25	0.207516	0.129765	3.52	0.48	20.81
63	0.3	0.205633	0.141511	3.82	0.18	20.53
63	0.35	0.204939	0.148483	3.97	0.03	20.4
63	0.4	0.204921	0.149794	3.99	0.01	20.38
66	0.1	0.181888	0.0472912	1.19	2.81	23.27
66	0.15	0.211856	0.0845143	2.16	1.84	22.3
66	0.2	0.212668	0.108064	2.88	1.12	21.63
