var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.115971	0.0261372	0.81	3.19	19.41
30	0.15	0.198137	0.0875922	2.08	1.92	18.17
30	0.2	0.194292	0.104998	2.65	1.35	17.61
30	0.25	0.197617	0.133515	3.4	0.6	16.87
30	0.3	0.195002	0.142421	3.66	0.34	16.62
30	0.35	0.192874	0.152406	3.89	0.11	16.42
30	0.4	0.192725	0.157872	3.99	0.01	16.33
33	0.1	0.158193	0.0437067	1.29	2.71	19.85
33	0.15	0.187078	0.0699075	1.88	2.12	19.26
33	0.2	0.203652	0.109282	2.85	1.15	18.31
33	0.25	0.206086	0.128906	3.33	0.67	17.86
33	0.3	0.203943	0.143641	3.75	0.25	17.46
33	0.35	0.203335	0.151369	3.94	0.06	17.27
33	0.4	0.203114	0.152697	3.97	0.03	17.24
36	0.1	0.175017	0.0449915	1.11	2.89	21.08
36	0.15	0.200737	0.0856332	2.07	1.93	20.13
36	0.2	0.212489	0.112784	2.78	1.22	19.44
36	0.25	0.20777	0.131442	3.43	0.57	18.83
36	0.3	0.208185	0.146972	3.78	0.22	18.52
36	0.35	0.207674	0.150917	3.89	0.11	18.42
36	0.4	0.207357	0.156293	3.99	0.01	18.32
39	0.1	0.142341	0.0373766	0.93	3.07	22.28
39	0.15	0.211767	0.0849647	1.85	2.15	21.37
39	0.2	0.21548	0.115174	2.71	1.29	20.52
39	0.25	0.212235	0.136761	3.38	0.62	19.86
39	0.3	0.209976	0.149445	3.73	0.27	19.52
39	0.35	0.208749	0.158711	3.95	0.05	19.3
39	0.4	0.208723	0.159919	3.98	0.02	19.27
42	0.1	0.161437	0.0404221	1.02	2.98	22.28
42	0.15	0.212619	0.0835044	2	2	21.3
42	0.2	0.21684	0.113471	2.91	1.09	20.41
42	0.25	0.211866	0.134135	3.52	0.48	19.84
42	0.3	0.211007	0.142643	3.75	0.25	19.62
42	0.35	0.209862	0.151655	3.95	0.05	19.42
42	0.4	0.209788	0.154335	4	0	19.37
45	0.1	0.151157	0.0400936	1.03	2.97	22.66
45	0.15	0.204828	0.0848449	1.89	2.11	21.81
45	0.2	0.214575	0.116298	2.81	1.19	20.92
45	0.25	0.215381	0.135293	3.39	0.61	20.35
45	0.3	0.211775	0.147984	3.77	0.23	20
45	0.35	0.210835	0.154618	3.93	0.07	19.85
45	0.4	0.210778	0.158638	4	0	19.79
48	0.1	0.168272	0.0446242	1.01	2.99	23.44
48	0.15	0.214588	0.0876442	2.07	1.93	22.39
48	0.2	0.217262	0.114175	2.85	1.15	21.64
48	0.25	0.218055	0.135205	3.4	0.6	21.12
48	0.3	0.214772	0.150013	3.86	0.14	20.66
48	0.35	0.214284	0.153435	3.94	0.06	20.58
48	0.4	0.214022	0.156246	3.99	0.01	20.53
51	0.1	0.160393	0.0397929	1.17	2.83	23.55
51	0.15	0.219222	0.0889412	2.31	1.69	22.42
51	0.2	0.214285	0.10982	3.01	0.99	21.73
51	0.25	0.213259	0.125283	3.47	0.53	21.29
51	0.3	0.211972	0.137608	3.79	0.21	20.98
51	0.35	0.21152	0.144586	3.93	0.07	20.85
51	0.4	0.211131	0.147565	3.99	0.01	20.79
54	0.1	0.151726	0.0426656	1.06	2.94	23.97
54	0.15	0.204607	0.0819538	1.95	2.05	23.08
54	0.2	0.216394	0.118184	2.91	1.09	22.14
54	0.25	0.215804	0.134325	3.42	0.58	21.64
54	0.3	0.213418	0.147209	3.79	0.21	21.29
54	0.35	0.213168	0.150792	3.88	0.12	21.2
54	0.4	0.212572	0.156627	3.99	0.01	21.09
57	0.1	0.150014	0.0370102	0.99	3.01	24.12
57	0.15	0.206961	0.0870899	1.94	2.06	23.17
57	0.2	0.210278	0.11618	2.77	1.23	22.36
57	0.25	0.204814	0.13639	3.47	0.53	21.68
57	0.3	0.202673	0.148174	3.81	0.19	21.36
57	0.35	0.201007	0.154339	3.96	0.04	21.21
57	0.4	0.200756	0.156342	3.99	0.01	21.18
60	0.1	0.180159	0.0438888	1.14	2.86	23.81
60	0.15	0.213652	0.0831085	2.16	1.84	22.82
60	0.2	0.217664	0.112378	3.07	0.93	21.94
60	0.25	0.21359	0.126762	3.5	0.5	21.54
60	0.3	0.2114	0.140101	3.84	0.16	21.2
60	0.35	0.211014	0.144929	3.94	0.06	21.11
60	0.4	0.210932	0.148252	4	0	21.05
63	0.1	0.172629	0.0400615	1.15	2.85	24.19
63	0.15	0.217414	0.0840538	2.24	1.76	23.11
63	0.2	0.222536	0.109478	3.01	0.99	22.38
63	0.25	0.217167	0.126632	3.57	0.43	21.86
63	0.3	0.216045	0.135602	3.83	0.17	21.61
63	0.35	0.21571	0.140818	3.94	0.06	21.5
63	0.4	0.21561	0.142628	3.97	0.03	21.48
66	0.1	0.177101	0.0479583	1.16	2.84	24.5
66	0.15	0.212783	0.0866582	2.1	1.9	23.56
66	0.2	0.214524	0.112947	2.94	1.06	22.75
66	0.25	0.207012	0.133505	3.62	0.38	22.11
66	0.3	0.205469	0.142799	3.88	0.12	21.86
66	0.35	0.205164	0.146862	3.97	0.03	21.78
66	0.4	0.205141	0.14846	4	0	21.76
69	0.1	0.177137	0.0479455	1.2	2.8	23.9
69	0.15	0.209204	0.0847965	2.13	1.87	22.98
69	0.2	0.219565	0.11438	2.96	1.04	22.16
69	0.25	0.213756	0.13166	3.55	0.45	21.6
69	0.3	0.212396	0.141398	3.83	0.17	21.33
69	0.35	0.211776	0.147254	3.94	0.06	21.23
69	0.4	0.211696	0.148646	3.97	0.03	21.21
72	0.1	0.14941	0.0383884	1.09	2.91	23.69
72	0.15	0.209826	0.084897	2.11	1.89	22.69
72	0.2	0.216374	0.113138	2.94	1.06	21.88
72	0.25	0.21413	0.127576	3.42	0.58	21.42
72	0.3	0.212615	0.141362	3.78	0.22	21.08
72	0.35	0.212002	0.148086	3.92	0.08	20.95
72	0.4	0.211934	0.152175	3.99	0.01	20.9
75	0.1	0.179942	0.046396	1.27	2.73	23.12
75	0.15	0.213047	0.0800004	2.15	1.85	22.25
75	0.2	0.218475	0.110917	2.96	1.04	21.48
75	0.25	0.21368	0.128439	3.56	0.44	20.91
75	0.3	0.212209	0.137205	3.81	0.19	20.68
75	0.35	0.210512	0.144002	3.96	0.04	20.53
75	0.4	0.210395	0.145223	3.98	0.02	20.51
78	0.1	0.17054	0.0419692	1.2	2.8	23.49
78	0.15	0.206592	0.0803568	2.13	1.87	22.58
78	0.2	0.214407	0.1114	2.99	1.01	21.72
78	0.25	0.209568	0.127408	3.52	0.48	21.22
78	0.3	0.207908	0.139522	3.85	0.15	20.89
78	0.35	0.207326	0.144235	3.94	0.06	20.81
78	0.4	0.207065	0.146869	3.99	0.01	20.76
81	0.1	0.15221	0.036575	1.12	2.88	23.85
81	0.15	0.212399	0.0908813	2.29	1.71	22.7
81	0.2	0.207076	0.114761	3.15	0.85	21.85
81	0.25	0.201652	0.12596	3.55	0.45	21.51
81	0.3	0.199439	0.135293	3.82	0.18	21.26
81	0.35	0.199199	0.14037	3.92	0.08	21.19
81	0.4	0.198847	0.145399	4	0	21.13
84	0.1	0.175511	0.0426106	1.15	2.85	23.15
84	0.15	0.209498	0.0820769	2.09	1.91	22.22
84	0.2	0.209363	0.110976	2.98	1.02	21.35
84	0.25	0.206136	0.127925	3.5	0.5	20.89
84	0.3	0.204962	0.138823	3.77	0.23	20.63
84	0.35	0.204351	0.145205	3.9	0.1	20.52
84	0.4	0.203801	0.149075	3.97	0.03	20.45
87	0.1	0.175354	0.0485432	1.38	2.62	23.74
87	0.15	0.206928	0.0827873	2.21	1.79	22.91
87	0.2	0.204527	0.105687	2.94	1.06	22.19
87	0.25	0.203425	0.124959	3.5	0.5	21.64
87	0.3	0.20069	0.137355	3.84	0.16	21.32
87	0.35	0.20008	0.143385	3.97	0.03	21.2
87	0.4	0.199959	0.144489	3.99	0.01	21.18
90	0.1	0.18931	0.0482956	1.55	2.45	22.62
90	0.15	0.214874	0.0832651	2.51	1.49	21.71
90	0.2	0.210002	0.101972	3.2	0.8	21.03
90	0.25	0.205599	0.115486	3.62	0.38	20.63
90	0.3	0.205	0.127127	3.9	0.1	20.36
90	0.35	0.204673	0.131284	3.98	0.02	20.28
90	0.4	0.204672	0.131929	3.99	0.01	20.27
93	0.1	0.185376	0.0424161	1.61	2.39	21.63
93	0.15	0.208095	0.0723116	2.34	1.66	20.92
93	0.2	0.209144	0.10097	3.18	0.82	20.1
93	0.25	0.203564	0.114915	3.62	0.38	19.67
93	0.3	0.200591	0.124793	3.86	0.14	19.45
93	0.35	0.199787	0.129297	3.95	0.05	19.37
93	0.4	0.199687	0.12995	3.96	0.04	19.36
96	0.1	0.1779	0.0467316	1.4	2.6	22.05
96	0.15	0.216029	0.0901693	2.51	1.49	20.96
96	0.2	0.208458	0.106625	3.19	0.81	20.32
96	0.25	0.205105	0.118895	3.61	0.39	19.91
96	0.3	0.20285	0.128076	3.86	0.14	19.68
96	0.35	0.202285	0.134314	3.98	0.02	19.57
96	0.4	0.202206	0.134806	3.99	0.01	19.56
99	0.1	0.176648	0.042134	1.33	2.67	21.46
99	0.15	0.220171	0.084153	2.39	1.61	20.45
99	0.2	0.212018	0.105879	3.18	0.82	19.67
99	0.25	0.207327	0.118214	3.58	0.42	19.31
99	0.3	0.20567	0.129155	3.87	0.13	19.03
99	0.35	0.205381	0.132569	3.94	0.06	18.96
