var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.241888	0.0169877	1.2	0.8	7.24
30	0.15	0.266766	0.042308	1.63	0.37	6.81
30	0.2	0.264635	0.0559312	1.8	0.2	6.64
30	0.25	0.260625	0.0665831	1.92	0.08	6.52
30	0.3	0.259504	0.0719343	1.97	0.03	6.47
30	0.35	0.258186	0.0748654	1.99	0.01	6.45
30	0.4	0.258186	0.0748654	1.99	0.01	6.45
33	0.1	0.248316	0.0274804	1.34	0.66	7.77
33	0.15	0.258069	0.0426239	1.58	0.42	7.53
33	0.2	0.256968	0.0618135	1.84	0.16	7.27
33	0.25	0.256776	0.0642804	1.88	0.12	7.23
33	0.3	0.255303	0.0739679	1.97	0.03	7.14
33	0.35	0.254227	0.0770455	1.99	0.01	7.12
33	0.4	0.253376	0.0789205	2	0	7.11
36	0.1	0.291889	0.028634	1.39	0.61	8.21
36	0.15	0.307563	0.0447512	1.66	0.34	7.94
36	0.2	0.30966	0.0551127	1.79	0.21	7.81
36	0.25	0.308186	0.0665075	1.92	0.08	7.68
36	0.3	0.30691	0.0741286	1.99	0.01	7.61
36	0.35	0.306669	0.0757462	2	0	7.6
36	0.4	0.306669	0.0757462	2	0	7.6
39	0.1	0.261333	0.0235513	1.37	0.63	7.85
39	0.15	0.268294	0.0365741	1.63	0.37	7.59
39	0.2	0.273445	0.0527589	1.84	0.16	7.38
39	0.25	0.272457	0.0625461	1.94	0.06	7.28
39	0.3	0.271315	0.067482	1.98	0.02	7.24
39	0.35	0.270566	0.070455	2	0	7.22
39	0.4	0.270566	0.070455	2	0	7.22
42	0.1	0.275592	0.0275918	1.3	0.7	8.33
42	0.15	0.29445	0.0440795	1.57	0.43	8.06
42	0.2	0.288053	0.0569384	1.76	0.24	7.87
42	0.25	0.280758	0.0682915	1.89	0.11	7.74
42	0.3	0.280155	0.0726478	1.93	0.07	7.7
42	0.35	0.278354	0.0800771	1.98	0.02	7.65
42	0.4	0.278099	0.0820284	1.99	0.01	7.64
45	0.1	0.249536	0.025848	1.37	0.63	8.62
45	0.15	0.264632	0.0406877	1.61	0.39	8.38
45	0.2	0.262328	0.0554826	1.8	0.2	8.19
45	0.25	0.25917	0.0680299	1.93	0.07	8.06
45	0.3	0.25785	0.0739269	1.98	0.02	8.01
45	0.35	0.257775	0.0753714	1.99	0.01	8
45	0.4	0.257143	0.0770759	2	0	7.99
48	0.1	0.292655	0.0276285	1.39	0.61	9.08
48	0.15	0.288128	0.0407999	1.64	0.36	8.83
48	0.2	0.280176	0.0569921	1.87	0.13	8.6
48	0.25	0.278281	0.0661037	1.96	0.04	8.51
48	0.3	0.27821	0.0693991	1.99	0.01	8.48
48	0.35	0.277993	0.0710295	2	0	8.47
48	0.4	0.277993	0.0710295	2	0	8.47
51	0.1	0.275972	0.0304688	1.39	0.61	9.05
51	0.15	0.280755	0.046339	1.7	0.3	8.74
51	0.2	0.275977	0.0594421	1.89	0.11	8.55
51	0.25	0.274095	0.0668831	1.97	0.03	8.47
51	0.3	0.273389	0.0705544	2	0	8.44
51	0.35	0.273389	0.0705544	2	0	8.44
51	0.4	0.273389	0.0705544	2	0	8.44
54	0.1	0.270425	0.0300678	1.41	0.59	8.88
54	0.15	0.273397	0.0414165	1.63	0.37	8.66
54	0.2	0.271039	0.0606892	1.88	0.12	8.41
54	0.25	0.269813	0.0650208	1.93	0.07	8.36
54	0.3	0.268119	0.0712286	1.98	0.02	8.31
54	0.35	0.267874	0.0733286	2	0	8.29
54	0.4	0.267874	0.0733286	2	0	8.29
57	0.1	0.293088	0.0283441	1.35	0.65	9.19
57	0.15	0.287104	0.0396333	1.57	0.43	8.97
57	0.2	0.288539	0.056662	1.78	0.22	8.76
57	0.25	0.285919	0.0667198	1.89	0.11	8.65
57	0.3	0.285426	0.0732093	1.95	0.05	8.59
57	0.35	0.284681	0.0790407	1.99	0.01	8.55
57	0.4	0.284093	0.0806478	2	0	8.54
60	0.1	0.274337	0.0247974	1.29	0.71	9.21
60	0.15	0.285364	0.0452341	1.61	0.39	8.89
60	0.2	0.279263	0.0566637	1.78	0.22	8.72
60	0.25	0.276128	0.0730619	1.95	0.05	8.55
60	0.3	0.276059	0.0744255	1.96	0.04	8.54
60	0.35	0.275604	0.0757891	1.97	0.03	8.53
60	0.4	0.275053	0.0812598	2	0	8.5
63	0.1	0.283789	0.0246609	1.36	0.64	9.34
63	0.15	0.293328	0.0430146	1.68	0.32	9.02
63	0.2	0.287798	0.0586789	1.88	0.12	8.82
63	0.25	0.287229	0.0636086	1.94	0.06	8.76
63	0.3	0.286851	0.0673724	1.97	0.03	8.73
63	0.35	0.286344	0.0703663	1.99	0.01	8.71
63	0.4	0.286344	0.0703663	1.99	0.01	8.71
66	0.1	0.259747	0.0277085	1.43	0.57	10
