var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.229539	0.0169049	0.84	1.16	3.39
30	0.15	0.272859	0.0341852	1	1	3.25
30	0.2	0.284118	0.0405013	1.06	0.94	3.22
30	0.25	0.291957	0.0446967	1.09	0.91	3.21
30	0.3	0.306078	0.0544123	1.16	0.84	3.2
30	0.35	0.310534	0.062048	1.23	0.77	3.2
30	0.4	0.319046	0.0759771	1.32	0.68	3.2
32	0.1	0.259655	0.0216282	0.86	1.14	3.27
32	0.15	0.273749	0.0279415	0.93	1.07	3.23
32	0.2	0.290204	0.0377202	1	1	3.19
32	0.25	0.296335	0.0411488	1.03	0.97	3.18
32	0.3	0.303679	0.0519491	1.12	0.88	3.16
32	0.35	0.315194	0.0677572	1.23	0.77	3.15
32	0.4	0.316066	0.0809586	1.3	0.7	3.14
34	0.1	0.277102	0.023251	0.91	1.09	3.29
34	0.15	0.29539	0.0295707	0.97	1.03	3.25
34	0.2	0.313677	0.0367746	1.05	0.95	3.22
34	0.25	0.31816	0.0388352	1.07	0.93	3.22
34	0.3	0.3274	0.0493823	1.14	0.86	3.2
34	0.35	0.330718	0.0676202	1.25	0.75	3.19
34	0.4	0.332967	0.081997	1.33	0.67	3.18
36	0.1	0.252759	0.0175705	0.89	1.11	3.32
36	0.15	0.28064	0.0269226	0.98	1.02	3.25
36	0.2	0.285536	0.0307912	1.01	0.99	3.23
36	0.25	0.299577	0.0393207	1.08	0.92	3.21
36	0.3	0.306425	0.0499147	1.17	0.83	3.21
36	0.35	0.323338	0.0643978	1.25	0.75	3.19
36	0.4	0.328683	0.075315	1.32	0.68	3.19
38	0.1	0.246729	0.020886	0.89	1.11	2.79
38	0.15	0.268939	0.0281885	0.98	1.02	2.75
38	0.2	0.280779	0.0385251	1.08	0.92	2.71
38	0.25	0.29309	0.0511841	1.21	0.79	2.69
38	0.3	0.305194	0.0644916	1.31	0.69	2.68
38	0.35	0.315298	0.0742824	1.36	0.64	2.66
38	0.4	0.33166	0.0962416	1.5	0.5	2.66
40	0.1	0.248076	0.0216633	0.92	1.08	3.11
40	0.15	0.256582	0.0260003	0.98	1.02	3.08
40	0.2	0.273308	0.0322052	1.04	0.96	3.06
40	0.25	0.292577	0.0417419	1.1	0.9	3.02
40	0.3	0.303023	0.0538281	1.21	0.79	3.02
40	0.35	0.304303	0.0628045	1.28	0.72	3.02
40	0.4	0.325225	0.0877603	1.41	0.59	3.01
42	0.1	0.260275	0.0252299	0.92	1.08	3.02
42	0.15	0.297417	0.0340456	1.03	0.97	2.96
42	0.2	0.30745	0.0376658	1.07	0.93	2.95
42	0.25	0.31573	0.0480874	1.13	0.87	2.91
42	0.3	0.317804	0.0533477	1.18	0.82	2.91
42	0.35	0.320958	0.0585746	1.22	0.78	2.91
42	0.4	0.325435	0.0793413	1.34	0.66	2.9
44	0.1	0.251471	0.0209153	0.91	1.09	3.1
44	0.15	0.266425	0.0272354	0.97	1.03	3.05
44	0.2	0.284321	0.0371323	1.05	0.95	3.01
44	0.25	0.292673	0.0434425	1.13	0.87	3.01
44	0.3	0.301648	0.0485763	1.18	0.82	3.01
44	0.35	0.309611	0.0591419	1.24	0.76	3
44	0.4	0.314829	0.0655534	1.28	0.72	3
46	0.1	0.286127	0.0187706	0.96	1.04	2.9
46	0.15	0.296047	0.0262396	1.05	0.95	2.85
46	0.2	0.311969	0.0341895	1.12	0.88	2.82
46	0.25	0.317232	0.0397724	1.17	0.83	2.82
46	0.3	0.315582	0.0415846	1.19	0.81	2.82
46	0.35	0.322084	0.0609031	1.32	0.68	2.82
46	0.4	0.326612	0.0737202	1.39	0.61	2.82
48	0.1	0.253791	0.0206172	0.94	1.06	2.66
48	0.15	0.263947	0.0236735	0.98	1.02	2.65
48	0.2	0.288058	0.034692	1.07	0.93	2.6
48	0.25	0.299726	0.043474	1.16	0.84	2.59
48	0.3	0.318784	0.0597783	1.27	0.73	2.57
48	0.35	0.324469	0.0673923	1.32	0.68	2.57
48	0.4	0.332164	0.0836337	1.42	0.58	2.57
50	0.1	0.246636	0.0241255	0.93	1.07	2.51
50	0.15	0.263007	0.0308691	1	1	2.46
50	0.2	0.279433	0.0367784	1.06	0.94	2.44
50	0.25	0.294383	0.0453166	1.13	0.87	2.43
50	0.3	0.314158	0.0611609	1.22	0.78	2.4
50	0.35	0.324258	0.0721041	1.3	0.7	2.38
50	0.4	0.33889	0.0852326	1.39	0.61	2.38
52	0.1	0.276111	0.0203358	0.96	1.04	3
52	0.15	0.285612	0.0242678	1.02	0.98	2.97
52	0.2	0.287108	0.0319435	1.11	0.89	2.96
52	0.25	0.29376	0.0405911	1.18	0.82	2.95
52	0.3	0.302466	0.0484268	1.24	0.76	2.94
52	0.35	0.30577	0.0582443	1.29	0.71	2.93
52	0.4	0.312175	0.0701955	1.36	0.64	2.93
54	0.1	0.269355	0.0193911	0.91	1.09	2.95
54	0.15	0.295747	0.0284259	1.03	0.97	2.9
54	0.2	0.312466	0.0366973	1.1	0.9	2.86
54	0.25	0.315153	0.0430164	1.17	0.83	2.86
54	0.3	0.324239	0.0510946	1.24	0.76	2.85
54	0.35	0.333932	0.0684085	1.36	0.64	2.83
54	0.4	0.340037	0.0756726	1.4	0.6	2.83
56	0.1	0.285159	0.0229043	1	1	2.8
56	0.15	0.293571	0.026777	1.05	0.95	2.77
56	0.2	0.297283	0.032621	1.11	0.89	2.75
56	0.25	0.302847	0.0388635	1.18	0.82	2.75
56	0.3	0.310393	0.0473523	1.25	0.75	2.75
56	0.35	0.323228	0.0581467	1.33	0.67	2.75
56	0.4	0.326075	0.0668051	1.38	0.62	2.75
58	0.1	0.25491	0.026497	0.96	1.04	2.86
58	0.15	0.268476	0.0298305	1	1	2.85
58	0.2	0.286171	0.0397715	1.1	0.9	2.82
58	0.25	0.292598	0.0454876	1.16	0.84	2.82
58	0.3	0.313545	0.0632977	1.28	0.72	2.8
58	0.35	0.320477	0.0714445	1.33	0.67	2.8
58	0.4	0.327082	0.0783844	1.38	0.62	2.8
60	0.1	0.290847	0.0203166	1.01	0.99	2.61
60	0.15	0.303136	0.0257668	1.08	0.92	2.58
60	0.2	0.300973	0.0279556	1.13	0.87	2.58
60	0.25	0.318841	0.0362369	1.2	0.8	2.56
60	0.3	0.31842	0.0402596	1.24	0.76	2.56
60	0.35	0.327311	0.0504112	1.31	0.69	2.56
60	0.4	0.338083	0.0677148	1.41	0.59	2.56
62	0.1	0.288511	0.0254822	0.99	1.01	2.81
62	0.15	0.308191	0.0337002	1.12	0.88	2.77
62	0.2	0.310295	0.0362794	1.17	0.83	2.77
62	0.25	0.311976	0.0412834	1.22	0.78	2.77
62	0.3	0.316761	0.0465578	1.26	0.74	2.77
62	0.35	0.3231	0.0510717	1.29	0.71	2.77
62	0.4	0.328197	0.0565741	1.32	0.68	2.77
64	0.1	0.265504	0.0229892	0.96	1.04	3.07
64	0.15	0.274461	0.0299387	1.03	0.97	3.02
64	0.2	0.279601	0.0344488	1.08	0.92	3.01
64	0.25	0.281902	0.0386964	1.11	0.89	3
64	0.3	0.290289	0.0454178	1.15	0.85	2.99
64	0.35	0.297324	0.0562383	1.22	0.78	2.98
64	0.4	0.30992	0.0676364	1.28	0.72	2.97
66	0.1	0.257156	0.0193854	0.96	1.04	2.59
66	0.15	0.273823	0.0259604	1.05	0.95	2.56
66	0.2	0.274454	0.0276379	1.07	0.93	2.56
66	0.25	0.294363	0.0405801	1.18	0.82	2.54
66	0.3	0.292921	0.0441549	1.21	0.79	2.54
66	0.35	0.313705	0.0617728	1.3	0.7	2.51
66	0.4	0.31973	0.075721	1.38	0.62	2.51
68	0.1	0.2763	0.0242615	1	1	2.56
68	0.15	0.305208	0.0319176	1.11	0.89	2.52
68	0.2	0.301466	0.0337154	1.14	0.86	2.52
68	0.25	0.314462	0.0393022	1.2	0.8	2.52
68	0.3	0.317171	0.0419512	1.22	0.78	2.52
68	0.35	0.326022	0.051388	1.28	0.72	2.52
68	0.4	0.329111	0.0647058	1.35	0.65	2.51
70	0.1	0.290954	0.023108	1.05	0.95	2.32
70	0.15	0.301388	0.025679	1.11	0.89	2.32
70	0.2	0.306863	0.0292693	1.14	0.86	2.31
70	0.25	0.314165	0.03587	1.2	0.8	2.31
70	0.3	0.322063	0.0441038	1.27	0.73	2.31
70	0.35	0.337238	0.056015	1.34	0.66	2.3
70	0.4	0.342209	0.072472	1.43	0.57	2.29
72	0.1	0.292327	0.0267746	1.06	0.94	2.31
72	0.15	0.297218	0.0308508	1.13	0.87	2.3
72	0.2	0.294063	0.0325312	1.16	0.84	2.3
72	0.25	0.305506	0.0385251	1.21	0.79	2.29
72	0.3	0.311107	0.046684	1.26	0.74	2.28
72	0.35	0.327091	0.0568638	1.33	0.67	2.28
72	0.4	0.343394	0.0707576	1.41	0.59	2.27
74	0.1	0.267523	0.0210272	0.98	1.02	2.21
74	0.15	0.296346	0.0318045	1.09	0.91	2.14
74	0.2	0.307049	0.0361934	1.14	0.86	2.13
74	0.25	0.319026	0.0471357	1.23	0.77	2.11
74	0.3	0.331056	0.0519422	1.28	0.72	2.11
74	0.35	0.334644	0.0572074	1.33	0.67	2.11
74	0.4	0.341953	0.0687582	1.4	0.6	2.11
76	0.1	0.2743	0.0234587	0.99	1.01	2.89
76	0.15	0.286283	0.0287691	1.08	0.92	2.86
76	0.2	0.298052	0.0335077	1.15	0.85	2.86
76	0.25	0.313338	0.0393317	1.2	0.8	2.85
76	0.3	0.316457	0.0432058	1.23	0.77	2.85
76	0.35	0.317954	0.0494436	1.27	0.73	2.85
76	0.4	0.326146	0.0598437	1.33	0.67	2.85
78	0.1	0.282527	0.0241326	1.04	0.96	2.63
78	0.15	0.296689	0.0287751	1.09	0.91	2.59
78	0.2	0.294779	0.0295443	1.1	0.9	2.59
78	0.25	0.306315	0.0338715	1.14	0.86	2.59
78	0.3	0.317756	0.0436653	1.22	0.78	2.59
78	0.35	0.327728	0.0498753	1.26	0.74	2.59
78	0.4	0.334226	0.0620355	1.33	0.67	2.59
80	0.1	0.272213	0.0196601	1	1	2.51
80	0.15	0.287837	0.0277541	1.08	0.92	2.46
80	0.2	0.30544	0.0323997	1.14	0.86	2.46
80	0.25	0.309211	0.0366897	1.17	0.83	2.45
80	0.3	0.323993	0.0489432	1.26	0.74	2.44
80	0.35	0.336856	0.0595973	1.32	0.68	2.43
80	0.4	0.344999	0.0645973	1.35	0.65	2.43
82	0.1	0.303623	0.0213293	1.12	0.88	2.39
82	0.15	0.313251	0.0236114	1.15	0.85	2.38
82	0.2	0.315535	0.0261671	1.19	0.81	2.38
82	0.25	0.324182	0.0330058	1.26	0.74	2.38
82	0.3	0.324727	0.0367641	1.29	0.71	2.38
82	0.35	0.328325	0.042643	1.33	0.67	2.38
82	0.4	0.330617	0.0444546	1.34	0.66	2.38
84	0.1	0.290552	0.0213541	1.03	0.97	2.97
84	0.15	0.295837	0.0245137	1.08	0.92	2.96
84	0.2	0.295953	0.0277788	1.13	0.87	2.96
84	0.25	0.299529	0.0298236	1.15	0.85	2.96
84	0.3	0.307559	0.0348217	1.19	0.81	2.96
84	0.35	0.316952	0.0431075	1.23	0.77	2.95
84	0.4	0.32231	0.0469071	1.26	0.74	2.95
86	0.1	0.295075	0.0190084	1.05	0.95	2.6
86	0.15	0.310147	0.0228653	1.1	0.9	2.58
86	0.2	0.316366	0.028987	1.16	0.84	2.57
86	0.25	0.326358	0.0334853	1.21	0.79	2.57
86	0.3	0.332317	0.03844	1.25	0.75	2.57
86	0.35	0.347628	0.0541161	1.35	0.65	2.57
86	0.4	0.348962	0.0593062	1.38	0.62	2.57
88	0.1	0.250458	0.0189586	0.96	1.04	2.79
88	0.15	0.262968	0.0236394	1.01	0.99	2.76
88	0.2	0.267299	0.0266656	1.05	0.95	2.76
88	0.25	0.26658	0.0298518	1.08	0.92	2.76
88	0.3	0.281074	0.0373156	1.14	0.86	2.76
88	0.35	0.297531	0.0465831	1.18	0.82	2.74
88	0.4	0.307685	0.0604095	1.25	0.75	2.73
90	0.1	0.288205	0.0257536	1.03	0.97	2.27
90	0.15	0.303276	0.0302359	1.1	0.9	2.25
90	0.2	0.306812	0.0328315	1.13	0.87	2.25
90	0.25	0.311673	0.0356936	1.17	0.83	2.25
90	0.3	0.320447	0.042023	1.22	0.78	2.25
90	0.35	0.323252	0.0465204	1.25	0.75	2.25
90	0.4	0.330195	0.0568821	1.31	0.69	2.25
92	0.1	0.258454	0.0240217	0.99	1.01	2.63
92	0.15	0.276404	0.0291415	1.06	0.94	2.61
92	0.2	0.28354	0.0317406	1.09	0.91	2.61
92	0.25	0.290318	0.0348794	1.12	0.88	2.61
92	0.3	0.297592	0.039564	1.16	0.84	2.61
92	0.35	0.314754	0.0507878	1.22	0.78	2.59
92	0.4	0.314852	0.0562739	1.26	0.74	2.59
94	0.1	0.291326	0.0238564	1.02	0.98	2.8
94	0.15	0.301061	0.0258817	1.04	0.96	2.79
94	0.2	0.307277	0.0305076	1.09	0.91	2.78
94	0.25	0.308751	0.0323821	1.12	0.88	2.78
94	0.3	0.321114	0.0387461	1.17	0.83	2.78
94	0.35	0.323771	0.044914	1.21	0.79	2.78
94	0.4	0.327265	0.051871	1.24	0.76	2.77
96	0.1	0.267653	0.0218808	1.04	0.96	2.4
96	0.15	0.287755	0.0280584	1.11	0.89	2.36
96	0.2	0.305509	0.0349032	1.17	0.83	2.33
96	0.25	0.308598	0.0377588	1.2	0.8	2.33
96	0.3	0.317532	0.0442129	1.25	0.75	2.33
96	0.35	0.327009	0.0514847	1.3	0.7	2.33
96	0.4	0.334118	0.0569012	1.33	0.67	2.33
98	0.1	0.260371	0.022152	1.01	0.99	2.7
98	0.15	0.263461	0.022785	1.02	0.98	2.7
98	0.2	0.271331	0.0283363	1.07	0.93	2.68
98	0.25	0.271331	0.0283363	1.07	0.93	2.68
98	0.3	0.277418	0.0310258	1.09	0.91	2.68
98	0.35	0.283598	0.0341924	1.11	0.89	2.68
98	0.4	0.286176	0.0393171	1.14	0.86	2.68
100	0.1	0.275443	0.0200253	0.98	1.02	2.78
100	0.15	0.290246	0.0248285	1.03	0.97	2.75
100	0.2	0.29289	0.0276332	1.07	0.93	2.75
100	0.25	0.300246	0.0310392	1.09	0.91	2.74
100	0.3	0.304072	0.0381201	1.15	0.85	2.74
100	0.35	0.302533	0.0410038	1.17	0.83	2.74
100	0.4	0.304377	0.0452299	1.2	0.8	2.74
102	0.1	0.248071	0.0204927	0.96	1.04	2.63
102	0.15	0.258324	0.0245326	1.01	0.99	2.61
102	0.2	0.260139	0.0247826	1.02	0.98	2.61
102	0.25	0.261809	0.0281474	1.05	0.95	2.61
102	0.3	0.273493	0.0384831	1.12	0.88	2.6
102	0.35	0.284022	0.0464831	1.16	0.84	2.59
102	0.4	0.286739	0.0506961	1.19	0.81	2.59
104	0.1	0.255559	0.0222283	1.03	0.97	2.87
104	0.15	0.258238	0.0234673	1.05	0.95	2.87
104	0.2	0.259009	0.0243106	1.06	0.94	2.87
104	0.25	0.263768	0.025868	1.08	0.92	2.87
104	0.3	0.275282	0.0311804	1.11	0.89	2.86
104	0.35	0.280416	0.034253	1.13	0.87	2.86
104	0.4	0.280416	0.034253	1.13	0.87	2.86
106	0.1	0.266392	0.0219737	0.99	1.01	2.95
106	0.15	0.281726	0.0254479	1.03	0.97	2.93
106	0.2	0.289767	0.0285583	1.07	0.93	2.93
106	0.25	0.290167	0.0313359	1.1	0.9	2.93
106	0.3	0.293258	0.0324202	1.11	0.89	2.93
106	0.35	0.298291	0.0351882	1.13	0.87	2.93
106	0.4	0.303036	0.0409035	1.15	0.85	2.92
108	0.1	0.258574	0.0248647	0.96	1.04	2.72
108	0.15	0.259861	0.0262401	0.98	1.02	2.71
108	0.2	0.265451	0.0291414	1	1	2.7
108	0.25	0.271304	0.0314305	1.01	0.99	2.69
108	0.3	0.276689	0.0367006	1.04	0.96	2.68
108	0.35	0.290111	0.0486769	1.11	0.89	2.67
108	0.4	0.295353	0.0543673	1.15	0.85	2.67
110	0.1	0.26024	0.02348	0.99	1.01	2.78
110	0.15	0.281315	0.0291457	1.06	0.94	2.75
110	0.2	0.28306	0.0312592	1.08	0.92	2.74
110	0.25	0.28424	0.0328015	1.1	0.9	2.74
110	0.3	0.286987	0.0351763	1.12	0.88	2.74
110	0.35	0.289166	0.0395274	1.15	0.85	2.74
110	0.4	0.291979	0.0449169	1.18	0.82	2.74
112	0.1	0.277717	0.0276445	1.02	0.98	3.14
112	0.15	0.288742	0.0308927	1.06	0.94	3.12
112	0.2	0.290194	0.0332463	1.09	0.91	3.12
112	0.25	0.293284	0.0341254	1.1	0.9	3.12
112	0.3	0.292594	0.0363995	1.12	0.88	3.12
112	0.35	0.301776	0.0412245	1.15	0.85	3.12
112	0.4	0.303831	0.044823	1.17	0.83	3.12
114	0.1	0.2528	0.0192061	0.98	1.02	2.56
114	0.15	0.251403	0.0197678	0.99	1.01	2.56
114	0.2	0.26836	0.0254261	1.05	0.95	2.55
114	0.25	0.27145	0.0265372	1.06	0.94	2.55
114	0.3	0.275834	0.0287406	1.08	0.92	2.55
114	0.35	0.284496	0.0344221	1.12	0.88	2.55
114	0.4	0.282586	0.0353012	1.13	0.87	2.55
116	0.1	0.244464	0.0211879	0.95	1.05	3
116	0.15	0.261298	0.0260434	1.02	0.98	2.98
116	0.2	0.264229	0.0278991	1.03	0.97	2.97
116	0.25	0.265804	0.0289206	1.04	0.96	2.97
116	0.3	0.271258	0.0317413	1.06	0.94	2.97
116	0.35	0.282515	0.0412819	1.11	0.89	2.96
116	0.4	0.289253	0.0502624	1.15	0.85	2.95
118	0.1	0.229733	0.023296	0.99	1.01	2.57
118	0.15	0.237873	0.0273264	1.04	0.96	2.55
118	0.2	0.238735	0.0287674	1.06	0.94	2.55
118	0.25	0.247449	0.0328061	1.1	0.9	2.55
118	0.3	0.255109	0.0366883	1.13	0.87	2.55
118	0.35	0.258085	0.0380861	1.14	0.86	2.55
118	0.4	0.263946	0.0456244	1.17	0.83	2.54
120	0.1	0.236689	0.0213354	0.99	1.01	2.74
120	0.15	0.242869	0.0226694	1.01	0.99	2.74
120	0.2	0.244243	0.0241168	1.03	0.97	2.74
120	0.25	0.255025	0.0288239	1.07	0.93	2.73
120	0.3	0.262321	0.0324818	1.1	0.9	2.73
120	0.35	0.265238	0.0355156	1.11	0.89	2.72
120	0.4	0.265178	0.037305	1.12	0.88	2.72
