var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0104892	0.00781714	0.14	9.86	18.33
5	0.15	0.024038	0.0264641	0.4	9.6	18.19
5	0.2	0.0518272	0.085411	1.11	8.89	17.77
5	0.25	0.0852542	0.177427	2.31	7.69	16.93
5	0.3	0.0866191	0.232689	4.74	5.26	15.45
5	0.35	0.0808801	0.271316	7.78	2.22	13.72
5	0.4	0.0760286	0.289015	9.53	0.47	12.66
8	0.1	0.0371386	0.0210343	0.68	9.32	32.84
8	0.15	0.0577541	0.0585018	1.5	8.5	32.34
8	0.2	0.0763507	0.116889	2.9	7.1	31.52
8	0.25	0.0865329	0.178181	5.3	4.7	30.02
8	0.3	0.0802756	0.209958	7.88	2.12	28.4
8	0.35	0.0766141	0.227098	9.5	0.5	27.53
8	0.4	0.0752966	0.232629	9.94	0.06	27.26
11	0.1	0.051935	0.0270004	1.11	8.89	32.98
11	0.15	0.0783437	0.0785483	2.31	7.69	32.2
11	0.2	0.0846801	0.125066	4.25	5.75	31.03
11	0.25	0.0799778	0.162315	6.53	3.47	29.58
11	0.3	0.0758287	0.19164	8.81	1.19	28.11
11	0.35	0.0741371	0.203541	9.76	0.24	27.55
11	0.4	0.0738026	0.20676	9.97	0.03	27.42
14	0.1	0.0673904	0.0359742	1.56	8.44	31.57
14	0.15	0.0854309	0.0850101	3.11	6.89	30.6
14	0.2	0.0842092	0.125098	5.29	4.71	29.29
14	0.25	0.0788796	0.157688	7.59	2.41	27.78
14	0.3	0.0750826	0.176112	9.15	0.85	26.84
14	0.35	0.0741983	0.184587	9.76	0.24	26.52
14	0.4	0.0736602	0.187668	9.96	0.04	26.4
17	0.1	0.0655551	0.0310285	1.57	8.43	31.67
17	0.15	0.0821516	0.080111	2.97	7.03	30.76
17	0.2	0.0840727	0.128396	5.35	4.65	29.22
17	0.25	0.0769096	0.157122	7.81	2.19	27.72
17	0.3	0.0730013	0.174705	9.34	0.66	26.72
17	0.35	0.0717885	0.18204	9.87	0.13	26.41
17	0.4	0.071629	0.184161	9.99	0.01	26.29
20	0.1	0.0764281	0.0421171	2.27	7.73	28.07
20	0.15	0.0841155	0.086748	4.28	5.72	26.75
20	0.2	0.0821546	0.117849	6.31	3.69	25.48
20	0.25	0.074775	0.143459	8.44	1.56	24.26
20	0.3	0.0717637	0.158477	9.6	0.4	23.68
20	0.35	0.0707351	0.162908	9.92	0.08	23.51
20	0.4	0.0706016	0.163633	9.95	0.05	23.49
23	0.1	0.0873226	0.0431406	2.64	7.36	26.1
23	0.15	0.0848232	0.077851	4.43	5.57	25.04
23	0.2	0.0795417	0.113681	6.79	3.21	23.67
