var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0157357	0.0111401	0.23	9.77	19.52
5	0.15	0.0302221	0.032985	0.55	9.45	19.34
5	0.2	0.0544368	0.0860378	1.2	8.8	18.96
5	0.25	0.0817208	0.175886	2.79	7.21	18
5	0.3	0.0858976	0.23681	5.51	4.49	16.49
5	0.35	0.080369	0.26395	8.12	1.88	14.9
5	0.4	0.0768362	0.278412	9.49	0.51	14.08
8	0.1	0.0447778	0.0245205	0.7	9.3	32.16
8	0.15	0.069021	0.0692597	1.62	8.38	31.67
8	0.2	0.0836827	0.117852	2.81	7.19	30.92
8	0.25	0.0853478	0.181718	5.79	4.21	28.93
8	0.3	0.0806913	0.208868	8.28	1.72	27.31
8	0.35	0.078276	0.223693	9.62	0.38	26.4
8	0.4	0.0775406	0.228346	9.95	0.05	26.17
11	0.1	0.056174	0.0251557	1.02	8.98	33.69
11	0.15	0.0795915	0.0788602	2.22	7.78	32.94
11	0.2	0.0868407	0.131801	4.04	5.96	31.77
11	0.25	0.0803465	0.166078	6.42	3.58	30.39
11	0.3	0.0747267	0.193003	8.69	1.31	28.92
11	0.35	0.0725379	0.204752	9.64	0.36	28.27
11	0.4	0.0719148	0.210599	9.97	0.03	28.07
14	0.1	0.0702488	0.0397291	1.29	8.71	32.52
14	0.15	0.0810831	0.0832374	2.78	7.22	31.6
14	0.2	0.0842344	0.131459	4.95	5.05	30.1
14	0.25	0.0799756	0.16003	7.12	2.88	28.69
14	0.3	0.0751339	0.18298	9.07	0.93	27.47
14	0.35	0.0731513	0.192261	9.77	0.23	27.08
14	0.4	0.0729092	0.195754	9.98	0.02	26.95
17	0.1	0.0764308	0.0410649	1.89	8.11	30.9
17	0.15	0.0874846	0.0891166	3.69	6.31	29.77
17	0.2	0.0838959	0.122226	5.84	4.16	28.5
17	0.25	0.0776439	0.147953	7.93	2.07	27.11
17	0.3	0.0745051	0.165007	9.21	0.79	26.36
17	0.35	0.0732181	0.174953	9.87	0.13	25.98
17	0.4	0.0728956	0.177246	10	0	25.91
20	0.1	0.0786442	0.0417613	2.03	7.97	28.76
20	0.15	0.0864752	0.0873576	4.06	5.94	27.51
20	0.2	0.0817022	0.119666	6.29	3.71	26.08
20	0.25	0.0767781	0.144605	8.23	1.77	24.96
20	0.3	0.0744115	0.158886	9.36	0.64	24.2
20	0.35	0.0734554	0.165829	9.79	0.21	23.96
20	0.4	0.073137	0.168611	9.93	0.07	23.86
23	0.1	0.0839201	0.0418112	2.47	7.53	27
23	0.15	0.0864064	0.085621	4.82	5.18	25.4
23	0.2	0.0811133	0.114663	6.95	3.05	24.04
23	0.25	0.0758586	0.133618	8.43	1.57	23.1
23	0.3	0.072091	0.147632	9.43	0.57	22.57
23	0.35	0.0714082	0.154864	9.85	0.15	22.31
23	0.4	0.0712128	0.156628	9.94	0.06	22.27
26	0.1	0.082919	0.0420416	2.55	7.45	25.71
26	0.15	0.0859457	0.0832586	4.7	5.3	24.35
26	0.2	0.0798116	0.113338	6.98	3.02	22.97
26	0.25	0.0751183	0.134763	8.68	1.32	22.01
26	0.3	0.0723113	0.147874	9.64	0.36	21.51
26	0.35	0.0718138	0.152238	9.91	0.09	21.37
26	0.4	0.0717452	0.153667	9.98	0.02	21.31
29	0.1	0.0898356	0.0460091	3.42	6.58	22.06
29	0.15	0.0822043	0.0806855	5.87	4.13	20.54
29	0.2	0.077623	0.101637	7.52	2.48	19.58
29	0.25	0.0745815	0.118326	8.81	1.19	18.8
29	0.3	0.072112	0.131219	9.61	0.39	18.24
29	0.35	0.0710955	0.136773	9.91	0.09	18.09
29	0.4	0.0708608	0.138671	9.99	0.01	18.03
32	0.1	0.0878356	0.0461157	3.71	6.29	20.65
32	0.15	0.0856842	0.0763036	5.69	4.31	19.39
32	0.2	0.0808038	0.0999764	7.5	2.5	18.31
32	0.25	0.0771381	0.116082	8.71	1.29	17.53
32	0.3	0.0744321	0.129549	9.52	0.48	17.05
32	0.35	0.0732255	0.135577	9.84	0.16	16.85
32	0.4	0.0728896	0.138084	9.98	0.02	16.8
35	0.1	0.0892942	0.0486562	3.96	6.04	19.17
35	0.15	0.0850058	0.0732552	5.75	4.25	18.13
35	0.2	0.0785672	0.0971763	7.54	2.46	17.08
35	0.25	0.0743122	0.114995	8.79	1.21	16.39
35	0.3	0.0712188	0.128517	9.64	0.36	15.93
35	0.35	0.07047	0.133231	9.92	0.08	15.82
35	0.4	0.0702918	0.134746	10	0	15.79
38	0.1	0.0857331	0.0464414	4.03	5.97	17.85
38	0.15	0.0805061	0.0756167	6.23	3.77	16.61
38	0.2	0.0743795	0.0976468	7.97	2.03	15.62
38	0.25	0.0711996	0.110883	9.01	0.99	15.02
38	0.3	0.0697042	0.120886	9.66	0.34	14.74
38	0.35	0.0688594	0.125688	9.9	0.1	14.66
38	0.4	0.0686491	0.127496	9.98	0.02	14.64
41	0.1	0.0891418	0.0467869	4.55	5.45	15.85
41	0.15	0.0820083	0.0688465	6.41	3.59	14.73
41	0.2	0.0774754	0.0879013	7.79	2.21	13.9
41	0.25	0.0735593	0.104616	8.97	1.03	13.25
41	0.3	0.0716789	0.115341	9.61	0.39	12.94
41	0.35	0.0707457	0.12034	9.87	0.13	12.85
41	0.4	0.0705161	0.122695	9.97	0.03	12.8
44	0.1	0.0876281	0.0470303	4.46	5.54	15.19
44	0.15	0.0819806	0.0705257	6.25	3.75	14.15
44	0.2	0.0760306	0.0878442	7.52	2.48	13.45
44	0.25	0.0732712	0.106586	8.64	1.36	12.94
44	0.3	0.0706381	0.119686	9.45	0.55	12.49
44	0.35	0.0690392	0.126575	9.86	0.14	12.36
44	0.4	0.0681846	0.128895	9.98	0.02	12.32
47	0.1	0.0851099	0.0468286	4.78	5.22	13.41
47	0.15	0.080706	0.0686203	6.47	3.53	12.38
47	0.2	0.0763123	0.0851561	7.7	2.3	11.69
47	0.25	0.0716129	0.101603	8.82	1.18	11.1
47	0.3	0.0689331	0.113949	9.53	0.47	10.79
47	0.35	0.0679567	0.120635	9.86	0.14	10.63
47	0.4	0.0678164	0.122876	9.96	0.04	10.58
50	0.1	0.0861941	0.0436551	4.52	5.48	12.9
50	0.15	0.0836952	0.0720429	6.45	3.55	11.72
50	0.2	0.0783587	0.0892914	7.9	2.1	10.97
50	0.25	0.0738253	0.103681	8.88	1.12	10.53
50	0.3	0.0715864	0.113081	9.47	0.53	10.29
50	0.35	0.0704449	0.121435	9.89	0.11	10.14
50	0.4	0.0701719	0.122872	9.95	0.05	10.11
53	0.1	0.0861525	0.047722	5.12	4.88	11.74
53	0.15	0.0789224	0.0661623	6.84	3.16	10.7
53	0.2	0.0736736	0.0843789	8.18	1.82	10
53	0.25	0.0694828	0.0986302	9.1	0.9	9.54
53	0.3	0.0672051	0.105921	9.53	0.47	9.36
53	0.35	0.065544	0.112964	9.86	0.14	9.21
53	0.4	0.0648658	0.11532	9.97	0.03	9.19
56	0.1	0.0901941	0.0484854	4.83	5.17	12.12
56	0.15	0.0846161	0.0696886	6.67	3.33	11
56	0.2	0.0768184	0.0886298	8.2	1.8	10.3
56	0.25	0.0733174	0.101255	9.08	0.92	9.9
56	0.3	0.0702809	0.112593	9.75	0.25	9.64
56	0.35	0.0695238	0.116198	9.94	0.06	9.54
56	0.4	0.069014	0.117592	10	0	9.52
59	0.1	0.0871219	0.049566	4.91	5.09	10.7
59	0.15	0.0820281	0.0709054	6.78	3.22	9.62
59	0.2	0.0768005	0.0873261	8.08	1.92	8.89
59	0.25	0.071132	0.0996298	8.95	1.05	8.49
59	0.3	0.0687591	0.108947	9.48	0.52	8.3
59	0.35	0.0677834	0.117374	9.86	0.14	8.12
59	0.4	0.0675207	0.120055	9.98	0.02	8.1
62	0.1	0.0857722	0.047698	4.91	5.09	10.34
62	0.15	0.0791918	0.0688339	6.63	3.37	9.31
62	0.2	0.0750975	0.0851988	7.92	2.08	8.72
62	0.25	0.0704044	0.0997607	8.85	1.15	8.35
62	0.3	0.0667911	0.110308	9.47	0.53	8.1
62	0.35	0.0652436	0.117673	9.82	0.18	7.94
62	0.4	0.0647623	0.121075	9.97	0.03	7.87
65	0.1	0.0867981	0.0460874	4.81	5.19	9.05
65	0.15	0.08148	0.069095	6.63	3.37	7.8
65	0.2	0.076475	0.0864729	7.95	2.05	7.08
65	0.25	0.0731561	0.100169	8.83	1.17	6.65
65	0.3	0.0697996	0.112047	9.51	0.49	6.37
65	0.35	0.0684541	0.119152	9.87	0.13	6.25
65	0.4	0.0680951	0.120943	9.95	0.05	6.22
68	0.1	0.0822159	0.0449808	4.8	5.2	8.28
68	0.15	0.0783759	0.0687016	6.71	3.29	7.16
68	0.2	0.0718373	0.0864142	8.04	1.96	6.41
68	0.25	0.0676093	0.0988929	8.92	1.08	6.11
68	0.3	0.0646249	0.108306	9.44	0.56	5.88
68	0.35	0.0630902	0.114028	9.74	0.26	5.77
68	0.4	0.0621541	0.1176	9.87	0.13	5.76
71	0.1	0.0865253	0.0471145	4.51	5.49	9.01
71	0.15	0.0808508	0.070811	6.48	3.52	7.81
71	0.2	0.0753077	0.0897673	7.78	2.22	7.05
71	0.25	0.0703588	0.104891	8.79	1.21	6.52
71	0.3	0.0676976	0.115405	9.43	0.57	6.26
71	0.35	0.0659118	0.121749	9.73	0.27	6.16
71	0.4	0.065239	0.125539	9.89	0.11	6.03
74	0.1	0.0825476	0.0508656	5.42	4.58	7.95
74	0.15	0.0746492	0.0690403	7.23	2.77	6.88
74	0.2	0.0697759	0.0849335	8.54	1.46	6.31
74	0.25	0.0665218	0.0943633	9.16	0.84	6.05
74	0.3	0.0629916	0.101961	9.59	0.41	5.91
74	0.35	0.0616592	0.108177	9.89	0.11	5.79
74	0.4	0.061252	0.109061	9.93	0.07	5.78
77	0.1	0.0844362	0.0481841	5.32	4.68	6.91
77	0.15	0.0773203	0.0669332	6.95	3.05	5.97
77	0.2	0.0717759	0.0809122	8.04	1.96	5.41
77	0.25	0.0670842	0.0951284	8.94	1.06	5.04
77	0.3	0.0643396	0.103618	9.42	0.58	4.81
77	0.35	0.0626272	0.11049	9.78	0.22	4.67
77	0.4	0.0619385	0.113225	9.88	0.12	4.64
