var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0200238	0.00646097	0.11	3.89	29.49
5	0.15	0.0532228	0.0282451	0.42	3.58	29.26
5	0.2	0.0816501	0.0518044	0.68	3.32	29.06
5	0.25	0.165329	0.141302	1.49	2.51	28.46
5	0.3	0.218034	0.212534	2.27	1.73	27.77
5	0.35	0.224706	0.243959	3.06	0.94	27.03
5	0.4	0.222071	0.260879	3.65	0.35	26.57
8	0.1	0.0185825	0.00665024	0.09	3.91	29.32
8	0.15	0.0596167	0.0314228	0.4	3.6	29.1
8	0.2	0.123652	0.0841429	0.97	3.03	28.57
8	0.25	0.180189	0.150393	1.81	2.19	27.91
8	0.3	0.23086	0.220064	2.78	1.22	27.05
8	0.35	0.227605	0.24081	3.62	0.38	26.27
8	0.4	0.227183	0.246906	3.82	0.18	26.1
11	0.1	0.0322353	0.0108475	0.23	3.77	28.99
11	0.15	0.0840188	0.0404603	0.6	3.4	28.67
11	0.2	0.175385	0.111175	1.36	2.64	27.97
11	0.25	0.221993	0.168565	2.27	1.73	27.13
11	0.3	0.23754	0.204501	3.09	0.91	26.46
11	0.35	0.234006	0.218362	3.63	0.37	26.03
11	0.4	0.232328	0.227626	3.86	0.14	25.83
14	0.1	0.0544072	0.014763	0.29	3.71	27.33
14	0.15	0.115593	0.0515679	0.79	3.21	26.86
14	0.2	0.181292	0.108838	1.57	2.43	26.22
14	0.25	0.231778	0.17393	2.52	1.48	25.41
14	0.3	0.230978	0.197246	3.32	0.68	24.75
14	0.35	0.22845	0.20755	3.72	0.28	24.41
14	0.4	0.227286	0.217375	3.92	0.08	24.24
17	0.1	0.0813634	0.0203006	0.46	3.54	24.02
17	0.15	0.128255	0.0518658	0.92	3.08	23.63
17	0.2	0.195539	0.116788	1.83	2.17	22.84
17	0.25	0.220874	0.159499	2.72	1.28	22.08
17	0.3	0.222895	0.183423	3.39	0.61	21.48
17	0.35	0.221532	0.19366	3.69	0.31	21.21
17	0.4	0.220597	0.201252	3.86	0.14	21.07
20	0.1	0.0969235	0.0233995	0.6	3.4	21.38
20	0.15	0.168883	0.0693288	1.37	2.63	20.69
20	0.2	0.206129	0.11075	2.14	1.86	20.08
20	0.25	0.222484	0.152234	3.06	0.94	19.28
20	0.3	0.221314	0.16837	3.55	0.45	18.84
20	0.35	0.221918	0.179149	3.82	0.18	18.63
20	0.4	0.221208	0.184814	3.94	0.06	18.54
23	0.1	0.114234	0.0304142	0.83	3.17	18.56
23	0.15	0.184584	0.0754373	1.63	2.37	17.9
23	0.2	0.205084	0.107939	2.25	1.75	17.38
23	0.25	0.21746	0.138981	2.86	1.14	16.87
23	0.3	0.216995	0.161083	3.43	0.57	16.42
23	0.35	0.214444	0.174132	3.75	0.25	16.15
23	0.4	0.214068	0.180955	3.9	0.1	16.04
26	0.1	0.139095	0.0295377	0.98	3.02	16.17
26	0.15	0.19033	0.0676958	1.64	2.36	15.59
26	0.2	0.221126	0.114808	2.57	1.43	14.87
26	0.25	0.220237	0.135695	3.18	0.82	14.33
26	0.3	0.216528	0.148846	3.54	0.46	13.99
26	0.35	0.21467	0.158152	3.77	0.23	13.81
26	0.4	0.213942	0.165286	3.9	0.1	13.72
29	0.1	0.13727	0.0288423	0.93	3.07	15.79
29	0.15	0.202301	0.0766591	1.68	2.32	15.1
29	0.2	0.223081	0.115238	2.53	1.47	14.37
29	0.25	0.216707	0.140086	3.25	0.75	13.78
29	0.3	0.211542	0.154662	3.68	0.32	13.38
29	0.35	0.209856	0.162632	3.89	0.11	13.19
29	0.4	0.209643	0.165858	3.96	0.04	13.13
32	0.1	0.170164	0.0314838	1.53	2.47	12.56
32	0.15	0.205527	0.0622215	2.08	1.92	12.09
32	0.2	0.210841	0.0926914	2.79	1.21	11.48
32	0.25	0.205436	0.112139	3.31	0.69	11.1
32	0.3	0.201702	0.125888	3.62	0.38	10.86
32	0.35	0.199352	0.138257	3.88	0.12	10.67
32	0.4	0.198958	0.141675	3.94	0.06	10.61
35	0.1	0.188847	0.0291101	1.53	2.47	12.42
35	0.15	0.205404	0.0590373	2.25	1.75	11.85
35	0.2	0.217096	0.0901726	2.87	1.13	11.31
35	0.25	0.211331	0.109214	3.32	0.68	10.96
35	0.3	0.205162	0.125946	3.72	0.28	10.64
35	0.35	0.202559	0.132158	3.85	0.15	10.51
35	0.4	0.201552	0.137199	3.94	0.06	10.43
38	0.1	0.179844	0.032908	1.9	2.1	10.34
38	0.15	0.191279	0.0604705	2.63	1.37	9.78
38	0.2	0.196691	0.0874999	3.3	0.7	9.28
38	0.25	0.19608	0.0974596	3.58	0.42	9.05
38	0.3	0.194718	0.105236	3.74	0.26	8.91
38	0.35	0.194233	0.11092	3.84	0.16	8.83
38	0.4	0.194035	0.115655	3.92	0.08	8.76
41	0.1	0.199822	0.0342338	1.93	2.07	8.94
41	0.15	0.202874	0.056409	2.53	1.47	8.46
41	0.2	0.201881	0.0744475	2.92	1.08	8.15
41	0.25	0.193133	0.0931917	3.39	0.61	7.76
41	0.3	0.189852	0.106864	3.66	0.34	7.55
41	0.35	0.188192	0.113956	3.8	0.2	7.44
41	0.4	0.186797	0.121416	3.91	0.09	7.38
44	0.1	0.179911	0.0336859	1.98	2.02	8.37
