var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0198887	0.00562569	0.07	3.93	10.96
5	0.15	0.0614206	0.0241308	0.23	3.77	10.82
5	0.2	0.148014	0.0744961	0.6	3.4	10.53
5	0.25	0.241416	0.151737	1.1	2.9	10.2
5	0.3	0.255388	0.19828	1.72	2.28	10.09
5	0.35	0.254978	0.240002	2.36	1.64	10.03
5	0.4	0.239101	0.26437	2.89	1.11	10.03
8	0.1	0.0435582	0.00970344	0.15	3.85	12.68
8	0.15	0.0795728	0.027318	0.31	3.69	12.55
8	0.2	0.173836	0.088758	0.75	3.25	12.22
8	0.25	0.222403	0.138921	1.12	2.88	12.02
8	0.3	0.238443	0.193003	1.71	2.29	11.89
8	0.35	0.230828	0.231984	2.25	1.75	11.84
8	0.4	0.218483	0.255009	2.71	1.29	11.83
11	0.1	0.0357523	0.00812164	0.12	3.88	13.3
11	0.15	0.107732	0.0402377	0.4	3.6	13.05
11	0.2	0.196215	0.0990672	0.82	3.18	12.73
11	0.25	0.246488	0.156351	1.29	2.71	12.51
11	0.3	0.24062	0.185805	1.74	2.26	12.46
11	0.35	0.231009	0.216331	2.2	1.8	12.43
11	0.4	0.218378	0.243835	2.61	1.39	12.42
14	0.1	0.0570925	0.0128874	0.2	3.8	12.81
14	0.15	0.112944	0.0369399	0.42	3.58	12.62
14	0.2	0.172892	0.0799308	0.78	3.22	12.39
14	0.25	0.221603	0.133962	1.24	2.76	12.18
14	0.3	0.22597	0.174276	1.69	2.31	12.09
14	0.35	0.226316	0.21047	2.18	1.82	12.03
14	0.4	0.214555	0.237792	2.59	1.41	12.02
17	0.1	0.0507604	0.00886917	0.19	3.81	12.05
17	0.15	0.113453	0.0405949	0.46	3.54	11.82
17	0.2	0.177228	0.0799981	0.71	3.29	11.6
17	0.25	0.214442	0.125217	1.11	2.89	11.43
17	0.3	0.238712	0.177224	1.58	2.42	11.28
17	0.35	0.230865	0.218479	2.14	1.86	11.23
17	0.4	0.210704	0.245359	2.56	1.44	11.23
