var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.295487	0.0201725	1.27	0.73	9.62
5	0.15	0.299631	0.0262877	1.36	0.64	9.53
5	0.2	0.297986	0.031859	1.44	0.56	9.45
5	0.25	0.296263	0.0429824	1.55	0.45	9.34
5	0.3	0.294685	0.0533226	1.63	0.37	9.26
5	0.35	0.29288	0.0744734	1.77	0.23	9.12
5	0.4	0.291453	0.0881474	1.85	0.15	9.04
8	0.1	0.289913	0.0145267	1.28	0.72	18.38
8	0.15	0.291469	0.0237439	1.44	0.56	18.22
8	0.2	0.289202	0.0357201	1.58	0.42	18.08
8	0.25	0.288774	0.0431667	1.65	0.35	18.01
8	0.3	0.286807	0.0631633	1.8	0.2	17.86
8	0.35	0.285803	0.0838023	1.94	0.06	17.72
8	0.4	0.285612	0.0891878	1.97	0.03	17.69
11	0.1	0.281597	0.0130296	1.23	0.77	19.62
11	0.15	0.298802	0.0281521	1.45	0.55	19.4
11	0.2	0.29647	0.0413659	1.62	0.38	19.23
11	0.25	0.293964	0.0580118	1.77	0.23	19.08
11	0.3	0.292568	0.0793957	1.93	0.07	18.92
11	0.35	0.292304	0.0832746	1.96	0.04	18.89
11	0.4	0.292218	0.0887538	1.99	0.01	18.86
14	0.1	0.28101	0.0153809	1.41	0.59	15.74
14	0.15	0.276523	0.0247809	1.57	0.43	15.59
14	0.2	0.275603	0.0352513	1.7	0.3	15.46
14	0.25	0.273709	0.0426646	1.77	0.23	15.39
14	0.3	0.272908	0.059442	1.9	0.1	15.26
14	0.35	0.272156	0.0699538	1.97	0.03	15.19
14	0.4	0.272138	0.0717654	1.98	0.02	15.18
17	0.1	0.244384	0.0151335	1.5	0.5	12.87
17	0.15	0.243985	0.0206256	1.6	0.4	12.77
17	0.2	0.241346	0.0331355	1.75	0.25	12.62
17	0.25	0.24031	0.0426996	1.84	0.16	12.53
17	0.3	0.238776	0.0504828	1.9	0.1	12.47
17	0.35	0.237521	0.0595497	1.96	0.04	12.41
17	0.4	0.237391	0.0646787	1.99	0.01	12.38
20	0.1	0.254115	0.0170075	1.46	0.54	13.28
20	0.15	0.25309	0.0243415	1.58	0.42	13.16
20	0.2	0.251929	0.0295378	1.65	0.35	13.09
20	0.25	0.250185	0.0407932	1.76	0.24	12.98
20	0.3	0.249102	0.0497167	1.83	0.17	12.91
20	0.35	0.247642	0.0647011	1.93	0.07	12.81
20	0.4	0.247459	0.070134	1.96	0.04	12.78
23	0.1	0.233501	0.0121115	1.46	0.54	11.58
23	0.15	0.23169	0.0221041	1.61	0.39	11.43
23	0.2	0.229612	0.0268032	1.67	0.33	11.37
23	0.25	0.226824	0.0424001	1.81	0.19	11.23
23	0.3	0.225601	0.0565982	1.92	0.08	11.12
23	0.35	0.224095	0.0670947	1.99	0.01	11.05
23	0.4	0.224017	0.0688308	2	0	11.04
26	0.1	0.236068	0.013182	1.43	0.57	11.1
26	0.15	0.234463	0.0255107	1.64	0.36	10.9
26	0.2	0.230161	0.0374563	1.79	0.21	10.75
