var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.290319	0.0210463	1.16	0.84	11.37
5	0.15	0.300725	0.0298146	1.28	0.72	11.25
5	0.2	0.29966	0.0370659	1.38	0.62	11.15
5	0.25	0.297646	0.0507771	1.51	0.49	11.02
5	0.3	0.296784	0.0647077	1.62	0.38	10.91
5	0.35	0.294583	0.0827325	1.74	0.26	10.79
5	0.4	0.293988	0.0949049	1.81	0.19	10.72
8	0.1	0.297358	0.0179619	1.27	0.73	18.66
8	0.15	0.298842	0.0262053	1.41	0.59	18.52
8	0.2	0.298104	0.0326137	1.49	0.51	18.44
8	0.25	0.296127	0.0439679	1.6	0.4	18.33
8	0.3	0.299601	0.0673292	1.78	0.22	18.15
8	0.35	0.298994	0.0884776	1.92	0.08	18.01
8	0.4	0.298723	0.0969077	1.97	0.03	17.96
11	0.1	0.267514	0.0120199	1.31	0.69	18.7
11	0.15	0.26876	0.0216578	1.46	0.54	18.55
11	0.2	0.266983	0.0319059	1.59	0.41	18.42
11	0.25	0.265702	0.0483208	1.74	0.26	18.27
11	0.3	0.264886	0.0611857	1.84	0.16	18.17
11	0.35	0.263546	0.0774801	1.94	0.06	18.07
11	0.4	0.262881	0.0830153	1.97	0.03	18.04
14	0.1	0.250454	0.0126334	1.43	0.57	16.03
14	0.15	0.248975	0.0183199	1.53	0.47	15.93
14	0.2	0.247988	0.0292648	1.66	0.34	15.8
14	0.25	0.247341	0.0411957	1.77	0.23	15.69
14	0.3	0.246244	0.0543812	1.87	0.13	15.59
14	0.35	0.245619	0.0637294	1.93	0.07	15.53
14	0.4	0.245048	0.0734073	1.98	0.02	15.48
17	0.1	0.247962	0.0120218	1.52	0.48	13.46
17	0.15	0.244451	0.019274	1.65	0.35	13.33
17	0.2	0.241142	0.0317684	1.8	0.2	13.18
17	0.25	0.240472	0.0409809	1.88	0.12	13.1
17	0.3	0.240301	0.0477675	1.93	0.07	13.05
17	0.35	0.239969	0.0523334	1.96	0.04	13.02
17	0.4	0.239836	0.0558104	1.98	0.02	13
20	0.1	0.238439	0.0128994	1.42	0.58	12.27
20	0.15	0.234938	0.0277755	1.69	0.31	12
20	0.2	0.233866	0.0328382	1.75	0.25	11.94
20	0.25	0.231948	0.0426683	1.84	0.16	11.85
20	0.3	0.231332	0.0507692	1.9	0.1	11.79
20	0.35	0.231144	0.0569889	1.94	0.06	11.75
20	0.4	0.230835	0.0661897	1.99	0.01	11.7
23	0.1	0.242045	0.0142971	1.44	0.56	11.32
23	0.15	0.242037	0.023723	1.61	0.39	11.16
23	0.2	0.244921	0.0364415	1.75	0.25	11.02
23	0.25	0.244076	0.0453305	1.83	0.17	10.94
23	0.3	0.242554	0.0551003	1.91	0.09	10.86
23	0.35	0.241149	0.0642282	1.97	0.03	10.8
23	0.4	0.241126	0.0658459	1.98	0.02	10.79
26	0.1	0.227317	0.016761	1.5	0.5	10.28
26	0.15	0.22302	0.0279495	1.69	0.31	10.11
26	0.2	0.221841	0.0367194	1.8	0.2	10
26	0.25	0.221284	0.0408336	1.84	0.16	9.96
26	0.3	0.220007	0.0487959	1.9	0.1	9.9
26	0.35	0.219918	0.0543751	1.94	0.06	9.86
26	0.4	0.219271	0.057986	1.96	0.04	9.84
29	0.1	0.245916	0.0158327	1.38	0.62	9.24
29	0.15	0.246946	0.0249205	1.53	0.47	9.09
29	0.2	0.241914	0.0417627	1.73	0.27	8.89
29	0.25	0.239398	0.0489983	1.8	0.2	8.82
29	0.3	0.235964	0.0680275	1.95	0.05	8.67
29	0.35	0.235132	0.0723626	1.98	0.02	8.64
29	0.4	0.235067	0.0743029	1.99	0.01	8.63
32	0.1	0.234382	0.0162238	1.49	0.51	8.18
32	0.15	0.23178	0.0272573	1.69	0.31	7.98
32	0.2	0.233136	0.0384515	1.81	0.19	7.86
32	0.25	0.230997	0.0471985	1.9	0.1	7.77
32	0.3	0.229157	0.0564951	1.97	0.03	7.7
32	0.35	0.228787	0.0581128	1.98	0.02	7.69
32	0.4	0.228667	0.059931	1.99	0.01	7.68
35	0.1	0.245694	0.0157505	1.49	0.51	8.35
35	0.15	0.236304	0.0232189	1.63	0.37	8.23
35	0.2	0.234955	0.0336756	1.75	0.25	8.11
35	0.25	0.233205	0.0422859	1.83	0.17	8.03
35	0.3	0.232085	0.0511323	1.9	0.1	7.96
35	0.35	0.22995	0.0621576	1.97	0.03	7.89
35	0.4	0.229734	0.0641429	1.98	0.02	7.88
38	0.1	0.225807	0.0162962	1.56	0.44	6
38	0.15	0.225582	0.0281735	1.76	0.24	5.8
38	0.2	0.21995	0.0361429	1.86	0.14	5.7
38	0.25	0.219046	0.0426679	1.92	0.08	5.64
38	0.3	0.218526	0.0464958	1.95	0.05	5.61
38	0.35	0.216579	0.0495256	1.97	0.03	5.59
38	0.4	0.2164	0.0531192	1.99	0.01	5.57
41	0.1	0.205818	0.0179578	1.68	0.32	5.66
41	0.15	0.203078	0.0223705	1.77	0.23	5.57
41	0.2	0.200829	0.0294267	1.86	0.14	5.48
41	0.25	0.19793	0.0378737	1.94	0.06	5.4
41	0.3	0.197766	0.0406806	1.96	0.04	5.38
41	0.35	0.197536	0.0439122	1.98	0.02	5.36
41	0.4	0.197031	0.0456514	1.99	0.01	5.35
44	0.1	0.225725	0.0204019	1.57	0.43	5.6
