var	minCostFlow
100	0.360693
100	0.344904
100	0.346846
100	0.342384
100	0.37344
100	0.35073
100	0.318509
100	0.344635
100	0.332188
100	0.427604
100	0.446739
100	0.340223
100	0.346367
100	0.348465
100	0.339274
100	0.354281
100	0.329781
100	0.340957
100	0.32764
100	0.336023
100	0.348907
100	0.374616
100	0.346354
100	0.322867
100	0.352889
100	0.342253
100	0.354638
100	0.341453
100	0.344825
100	0.319355
100	0.344733
100	0.380098
100	0.368937
100	0.312408
100	0.350739
100	0.34802
100	0.339639
100	0.33396
100	0.398045
100	0.357285
100	0.34387
100	0.348466
100	0.354434
100	0.331816
100	0.344411
100	0.324087
100	0.351132
100	0.367621
100	0.359337
100	0.328077
100	0.353678
100	0.360556
100	0.342335
100	0.335118
100	0.323092
100	0.341565
100	0.307277
100	0.339256
100	0.335968
100	0.339529
100	0.369797
100	0.364703
100	0.345038
100	0.346032
100	0.345518
100	0.346013
100	0.370734
100	0.349948
100	0.368437
100	0.352609
100	0.359527
100	0.347522
100	0.359317
100	0.345304
100	0.333234
100	0.338749
100	0.347946
100	0.338028
100	0.352061
100	0.360019
100	0.34599
100	0.335852
100	0.336001
100	0.328256
100	0.344712
100	0.314328
100	0.327654
100	0.335145
100	0.336623
100	0.347672
100	0.350236
100	0.346584
100	0.36323
100	0.329827
100	0.339296
100	0.342259
100	0.324924
100	0.339673
100	0.353637
100	0.36604
