var	threshold	abdncError	methylCallError	TP	FN	FP
0	0.1	1	0	0	10	31.49
0	0.2	1.00058	0.0101	0.07	9.93	31.42
0	0.3	0.952466	0.239935	2.11	7.89	29.68
0	0.4	0.483177	0.322161	8.44	1.56	25.51
0	0.5	0.316965	0.338251	9.86	0.14	24.7
0	0.6	0.306744	0.339579	9.93	0.07	24.65
0	0.7	0.306744	0.339579	9.93	0.07	24.65
0	0.8	0.305073	0.340393	9.95	0.05	24.64
0	0.9	0.303523	0.341312	9.97	0.03	24.62
0	1	0.29998	0.34302	10	0	24.6
5	0.1	1	0	0	10	43.42
5	0.2	0.999657	0.0019	0.01	9.99	43.41
5	0.3	0.926809	0.238332	1.7	8.3	41.77
5	0.4	0.569575	0.327224	7.81	2.19	36.28
5	0.5	0.470413	0.340355	9.03	0.97	35.25
5	0.6	0.453578	0.345117	9.24	0.76	35.07
5	0.7	0.427381	0.356102	9.57	0.43	34.75
5	0.8	0.403518	0.366187	9.84	0.16	34.53
5	0.9	0.394986	0.370995	9.94	0.06	34.44
5	1	0.389313	0.374557	10	0	34.39
10	0.1	1	0	0	10	51.33
10	0.2	1	0	0	10	51.33
10	0.3	0.953121	0.172483	1.07	8.93	50.28
10	0.4	0.641839	0.333969	7.21	2.79	44.25
10	0.5	0.558977	0.348133	8.55	1.45	42.97
10	0.6	0.539433	0.355517	8.84	1.16	42.69
10	0.7	0.506284	0.372037	9.34	0.66	42.21
10	0.8	0.474402	0.386505	9.75	0.25	41.84
10	0.9	0.457141	0.396998	9.98	0.02	41.67
10	1	0.455119	0.398211	10	0	41.66
15	0.1	1	0	0	10	54.69
15	0.2	1	0	0	10	54.69
15	0.3	0.969298	0.15105	0.74	9.26	53.95
15	0.4	0.715271	0.34034	6.17	3.83	48.55
15	0.5	0.623525	0.358022	7.81	2.19	46.92
15	0.6	0.595393	0.37059	8.31	1.69	46.44
15	0.7	0.55455	0.392659	9	1	45.76
15	0.8	0.501191	0.417982	9.73	0.27	45.08
15	0.9	0.483652	0.426943	9.95	0.05	44.92
15	1	0.480218	0.429557	10	0	44.87
20	0.1	1	0	0	10	55.96
20	0.2	1	0	0	10	55.96
20	0.3	0.984797	0.09825	0.37	9.63	55.59
20	0.4	0.748477	0.350201	5.6	4.4	50.38
20	0.5	0.610312	0.371523	8.03	1.97	47.98
20	0.6	0.587658	0.380367	8.41	1.59	47.6
20	0.7	0.548566	0.400383	9.04	0.96	46.98
20	0.8	0.502196	0.423845	9.73	0.27	46.32
20	0.9	0.484293	0.433408	9.96	0.04	46.11
20	1	0.481125	0.435291	10	0	46.07
25	0.1	1	0	0	10	57.59
25	0.2	1	0	0	10	57.59
25	0.3	0.992957	0.0419167	0.18	9.82	57.41
25	0.4	0.824261	0.35601	4.22	5.78	53.38
25	0.5	0.682337	0.382514	7.03	2.97	50.58
25	0.6	0.659707	0.394922	7.48	2.52	50.13
25	0.7	0.603448	0.426774	8.5	1.5	49.13
25	0.8	0.534401	0.461596	9.57	0.43	48.12
25	0.9	0.508389	0.473926	9.93	0.07	47.88
25	1	0.50394	0.476876	10	0	47.81
30	0.1	1	0	0	10	59.23
30	0.2	1	0	0	10	59.23
30	0.3	0.998872	0.0083	0.03	9.97	59.2
30	0.4	0.866018	0.361323	3.34	6.66	55.9
30	0.5	0.679139	0.395777	7.1	2.9	52.14
30	0.6	0.648973	0.408516	7.67	2.33	51.57
30	0.7	0.591008	0.438257	8.69	1.31	50.6
30	0.8	0.517095	0.471745	9.78	0.22	49.54
30	0.9	0.504212	0.477311	9.96	0.04	49.39
30	1	0.501717	0.479246	10	0	49.35
35	0.1	1	0	0	10	58.99
35	0.2	1	0	0	10	58.99
35	0.3	0.999219	0.0057	0.02	9.98	58.97
35	0.4	0.89596	0.347258	2.64	7.36	56.35
35	0.5	0.6756	0.404417	7.15	2.85	51.86
35	0.6	0.656669	0.412501	7.51	2.49	51.51
35	0.7	0.605956	0.440278	8.43	1.57	50.62
35	0.8	0.529253	0.477945	9.64	0.36	49.43
35	0.9	0.507927	0.487114	9.92	0.08	49.24
35	1	0.502755	0.490506	10	0	49.17
40	0.1	1	0	0	10	59.45
40	0.2	1	0	0	10	59.45
40	0.3	0.999578	0.0029	0.01	9.99	59.44
40	0.4	0.921046	0.332222	2.03	7.97	57.42
40	0.5	0.69113	0.412418	6.96	3.04	52.51
40	0.6	0.67318	0.420811	7.32	2.68	52.15
40	0.7	0.615492	0.452185	8.4	1.6	51.08
40	0.8	0.525108	0.493265	9.8	0.2	49.72
40	0.9	0.509967	0.49916	9.99	0.01	49.55
40	1	0.509166	0.499701	10	0	49.54
45	0.1	1	0	0	10	59.07
45	0.2	1	0	0	10	59.07
45	0.3	1	0	0	10	59.07
45	0.4	0.940301	0.302883	1.54	8.46	57.53
45	0.5	0.694366	0.419003	6.79	3.21	52.29
