var	threshold	abdncError	methylCallError	TP	FN	FP
0.002	0.1	1	0	0	4	25.8
0.002	0.2	0.94657	0.069	0.5	3.5	25.3
0.002	0.3	0.725512	0.231833	2.4	1.6	23.5
0.002	0.4	0.469015	0.269583	3.7	0.3	22.4
0.002	0.5	0.427974	0.278417	3.9	0.1	22.2
0.002	0.6	0.413777	0.285	4	0	22.1
0.002	0.7	0.413777	0.285	4	0	22.1
0.002	0.8	0.413777	0.285	4	0	22.1
0.002	0.9	0.413777	0.285	4	0	22.1
0.002	1	0.413777	0.285	4	0	22.1
0.004	0.1	1	0	0	4	25.6
0.004	0.2	0.95359	0.067	0.4	3.6	25.2
0.004	0.3	0.699345	0.242	2.4	1.6	23.4
0.004	0.4	0.445262	0.274333	3.8	0.2	22
0.004	0.5	0.422883	0.28025	4	0	21.9
0.004	0.6	0.422883	0.28025	4	0	21.9
0.004	0.7	0.422883	0.28025	4	0	21.9
0.004	0.8	0.422883	0.28025	4	0	21.9
0.004	0.9	0.422883	0.28025	4	0	21.9
0.004	1	0.422883	0.28025	4	0	21.9
0.008	0.1	1	0	0	4	26
0.008	0.2	0.890684	0.1135	0.9	3.1	25.1
0.008	0.3	0.707715	0.210333	2.3	1.7	23.8
0.008	0.4	0.5416	0.253917	3.4	0.6	22.7
0.008	0.5	0.426035	0.27925	4	0	22.1
0.008	0.6	0.426035	0.27925	4	0	22.1
0.008	0.7	0.426035	0.27925	4	0	22.1
0.008	0.8	0.426035	0.27925	4	0	22.1
0.008	0.9	0.426035	0.27925	4	0	22.1
0.008	1	0.426035	0.27925	4	0	22.1
0.016	0.1	1	0	0	4	25.5
0.016	0.2	0.909567	0.077	0.7	3.3	24.8
0.016	0.3	0.700628	0.218167	2.4	1.6	23.2
0.016	0.4	0.484623	0.25975	3.7	0.3	22
0.016	0.5	0.440004	0.267667	3.9	0.1	21.8
0.016	0.6	0.415431	0.276	4	0	21.7
0.016	0.7	0.415431	0.276	4	0	21.7
0.016	0.8	0.415431	0.276	4	0	21.7
0.016	0.9	0.415431	0.276	4	0	21.7
0.016	1	0.415431	0.276	4	0	21.7
0.032	0.1	1	0	0	4	25.5
0.032	0.2	0.895166	0.101	0.8	3.2	24.7
0.032	0.3	0.588689	0.225833	2.9	1.1	22.6
0.032	0.4	0.45288	0.255	3.7	0.3	21.8
0.032	0.5	0.3892	0.264	4	0	21.5
0.032	0.6	0.3892	0.264	4	0	21.5
0.032	0.7	0.3892	0.264	4	0	21.5
0.032	0.8	0.3892	0.264	4	0	21.5
0.032	0.9	0.3892	0.264	4	0	21.5
0.032	1	0.3892	0.264	4	0	21.5
0.064	0.1	1	0	0	4	26.1
0.064	0.2	0.939063	0.089	0.5	3.5	25.6
0.064	0.3	0.702379	0.227	2.3	1.7	24
0.064	0.4	0.519527	0.260417	3.4	0.6	23
0.064	0.5	0.389872	0.28625	4	0	22.4
0.064	0.6	0.389872	0.28625	4	0	22.4
