var	threshold	abdncError	methylCallError	TP	FN	FP
0	0.1	0.756975	0.0242	1.02	0.98	16.1
0	0.2	0.618244	0.05125	1.42	0.58	15.7
0	0.3	0.460771	0.1041	1.92	0.08	15.2
0	0.4	0.441451	0.11335	1.98	0.02	15.14
0	0.5	0.435545	0.11735	2	0	15.12
0	0.6	0.435545	0.11735	2	0	15.12
0	0.7	0.435545	0.11735	2	0	15.12
0	0.8	0.435545	0.11735	2	0	15.12
0	0.9	0.435545	0.11735	2	0	15.12
0	1	0.435545	0.11735	2	0	15.12
5	0.1	0.886065	0.0348	0.77	1.23	32.23
5	0.2	0.857863	0.0596	0.99	1.01	32.01
5	0.3	0.795061	0.103	1.36	0.64	31.64
5	0.4	0.746795	0.1395	1.66	0.34	31.34
5	0.5	0.740016	0.14965	1.71	0.29	31.29
5	0.6	0.733634	0.1602	1.75	0.25	31.25
5	0.7	0.729392	0.16825	1.78	0.22	31.22
5	0.8	0.718766	0.1896	1.84	0.16	31.16
5	0.9	0.710579	0.2055	1.88	0.12	31.12
5	1	0.694193	0.238844	1.96	0.04	31.04
10	0.1	0.978595	0.0162	0.22	1.78	42.35
10	0.2	0.938736	0.0914	0.76	1.24	41.81
10	0.3	0.90117	0.13005	1.07	0.93	41.5
10	0.4	0.868364	0.1644	1.34	0.66	41.23
10	0.5	0.862381	0.181	1.4	0.6	41.17
10	0.6	0.856441	0.19975	1.46	0.54	41.11
10	0.7	0.836999	0.262514	1.65	0.35	40.92
10	0.8	0.815184	0.295364	1.79	0.21	40.78
10	0.9	0.793267	0.330458	1.91	0.09	40.66
10	1	0.782888	0.360752	1.97	0.03	40.6
15	0.1	0.994203	0.0042	0.05	1.95	48.3
15	0.2	0.96017	0.0821	0.58	1.42	47.77
15	0.3	0.937948	0.13465	0.88	1.12	47.47
15	0.4	0.890097	0.1902	1.28	0.72	47.07
15	0.5	0.872807	0.23175	1.44	0.56	46.91
15	0.6	0.864592	0.2517	1.51	0.49	46.84
15	0.7	0.841703	0.296481	1.69	0.31	46.66
15	0.8	0.816335	0.344171	1.87	0.13	46.48
15	0.9	0.80419	0.365563	1.95	0.05	46.4
15	1	0.795106	0.383063	2	0	46.35
