var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	1	0	0	10	45.08
5	0.2	1	0	0	10	45.08
5	0.3	1	0	0	10	45.08
5	0.4	1	0	0	10	45.08
5	0.5	0.99674	0.03195	0.08	9.92	45
5	0.6	0.989713	0.10105	0.25	9.75	44.83
5	0.7	0.972754	0.31985	0.69	9.31	44.4
5	0.8	0.953064	0.512953	1.19	8.81	43.9
5	0.9	0.86212	0.791819	3.32	6.68	41.8
5	1	0.470868	0.903309	10	0	35.48
8	0.1	1	0	0	10	30.45
8	0.2	0.999731	0.0018	0.01	9.99	30.44
8	0.3	0.984449	0.104333	0.66	9.34	29.85
8	0.4	0.85603	0.240733	2.7	7.3	28.41
8	0.5	0.787169	0.326323	3.89	6.11	27.37
8	0.6	0.7397	0.399387	4.68	5.32	26.73
8	0.7	0.681306	0.449128	5.62	4.38	25.94
8	0.8	0.6249	0.479313	6.42	3.58	25.26
8	0.9	0.494262	0.557278	8.2	1.8	23.86
8	1	0.319046	0.629657	9.98	0.02	22.64
11	0.1	1	0	0	10	27.47
11	0.2	1	0	0	10	27.47
11	0.3	0.971606	0.223323	1.63	8.37	26.01
11	0.4	0.629544	0.311419	6.66	3.34	22.64
11	0.5	0.467234	0.343744	8.15	1.85	21.83
11	0.6	0.425156	0.357805	8.56	1.44	21.58
11	0.7	0.403812	0.365584	8.82	1.18	21.38
11	0.8	0.380592	0.374024	9.05	0.95	21.19
11	0.9	0.342217	0.394167	9.44	0.56	20.87
11	1	0.286487	0.421759	9.98	0.02	20.54
14	0.1	1	0	0	10	28.14
14	0.2	1	0	0	10	28.14
14	0.3	0.950644	0.241515	2.04	7.96	26.31
14	0.4	0.547563	0.320493	7.75	2.25	22.61
14	0.5	0.366294	0.339364	9.31	0.69	21.8
14	0.6	0.339451	0.343837	9.54	0.46	21.64
14	0.7	0.328717	0.348185	9.66	0.34	21.53
14	0.8	0.313592	0.353266	9.8	0.2	21.42
14	0.9	0.29702	0.360397	9.94	0.06	21.31
14	1	0.289986	0.363953	10	0	21.26
17	0.1	1	0	0	10	30.13
17	0.2	1.00046	0.0016	0.01	9.99	30.12
17	0.3	0.943907	0.240947	2.08	7.92	28.26
17	0.4	0.504703	0.321469	8.28	1.72	24.16
17	0.5	0.327692	0.338112	9.77	0.23	23.32
17	0.6	0.309779	0.340247	9.89	0.11	23.27
17	0.7	0.308314	0.341025	9.91	0.09	23.25
17	0.8	0.305192	0.34224	9.94	0.06	23.22
17	0.9	0.302269	0.343606	9.97	0.03	23.19
17	1	0.298481	0.34563	10	0	23.16
20	0.1	1	0	0	10	31.54
20	0.2	0.999488	0.0019	0.01	9.99	31.53
20	0.3	0.943978	0.254455	2.27	7.73	29.61
20	0.4	0.513063	0.320353	8.1	1.9	25.87
20	0.5	0.304225	0.339868	9.92	0.08	24.76
20	0.6	0.296959	0.340905	9.98	0.02	24.71
20	0.7	0.296959	0.340905	9.98	0.02	24.71
20	0.8	0.296959	0.340905	9.98	0.02	24.71
20	0.9	0.2957	0.341443	9.99	0.01	24.7
20	1	0.294348	0.3421	10	0	24.69
23	0.1	1	0	0	10	33.08
23	0.2	0.999572	0.0016	0.01	9.99	33.07
23	0.3	0.915443	0.264473	2.51	7.49	31.02
23	0.4	0.478096	0.319279	8.46	1.54	26.95
23	0.5	0.318561	0.33456	9.89	0.11	25.96
23	0.6	0.310288	0.336082	9.97	0.03	25.91
23	0.7	0.310288	0.336082	9.97	0.03	25.91
23	0.8	0.309203	0.336511	9.98	0.02	25.9
23	0.9	0.307046	0.33756	10	0	25.88
23	1	0.307046	0.33756	10	0	25.88
26	0.1	1	0	0	10	34.02
26	0.2	0.999219	0.0038	0.02	9.98	34
26	0.3	0.92295	0.238915	2.44	7.56	31.89
26	0.4	0.468853	0.315663	8.5	1.5	28.05
26	0.5	0.309518	0.331579	9.9	0.1	27.07
26	0.6	0.299281	0.33313	9.98	0.02	27.04
26	0.7	0.299281	0.33313	9.98	0.02	27.04
26	0.8	0.299281	0.33313	9.98	0.02	27.04
26	0.9	0.29709	0.33414	10	0	27.02
26	1	0.29709	0.33414	10	0	27.02
29	0.1	1	0	0	10	35.29
29	0.2	0.998483	0.0092	0.05	9.95	35.24
29	0.3	0.921265	0.243493	2.46	7.54	33.2
29	0.4	0.48538	0.317646	8.37	1.63	29.43
29	0.5	0.319508	0.334821	9.91	0.09	28.3
29	0.6	0.308519	0.33645	10	0	28.27
29	0.7	0.308519	0.33645	10	0	28.27
29	0.8	0.308519	0.33645	10	0	28.27
29	0.9	0.308519	0.33645	10	0	28.27
29	1	0.308519	0.33645	10	0	28.27
32	0.1	1	0	0	10	36.36
32	0.2	1.0002	0.0094	0.05	9.95	36.31
32	0.3	0.926903	0.257817	2.61	7.39	34.14
32	0.4	0.47488	0.317115	8.55	1.45	30.3
32	0.5	0.327912	0.33232	9.92	0.08	29.35
32	0.6	0.316107	0.33378	10	0	29.3
32	0.7	0.316107	0.33378	10	0	29.3
32	0.8	0.316107	0.33378	10	0	29.3
32	0.9	0.316107	0.33378	10	0	29.3
32	1	0.316107	0.33378	10	0	29.3
35	0.1	1	0	0	10	37.49
35	0.2	1.00026	0.0091	0.05	9.95	37.44
35	0.3	0.914511	0.255105	2.53	7.47	35.36
35	0.4	0.483265	0.31771	8.45	1.55	31.35
35	0.5	0.327475	0.334447	9.95	0.05	30.27
35	0.6	0.321695	0.33542	10	0	30.22
35	0.7	0.321695	0.33542	10	0	30.22
35	0.8	0.321695	0.33542	10	0	30.22
35	0.9	0.321695	0.33542	10	0	30.22
35	1	0.321695	0.33542	10	0	30.22
38	0.1	1	0	0	10	38.23
38	0.2	0.999833	0.0055	0.03	9.97	38.2
38	0.3	0.923914	0.251098	2.52	7.48	36.08
