var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.129557	0.0177933	0.51	9.49	3.86
5	0.15	0.188212	0.0463244	1.11	8.89	3.51
5	0.2	0.246441	0.0794082	1.76	8.24	3.11
5	0.25	0.26307	0.136152	2.73	7.27	2.65
5	0.3	0.267723	0.174842	3.63	6.37	2.37
5	0.35	0.260039	0.214246	4.79	5.21	1.99
5	0.4	0.253669	0.257631	5.89	4.11	1.66
8	0.1	0.169515	0.0372802	1.37	8.63	4.86
8	0.15	0.203135	0.0829637	2.66	7.34	4.04
8	0.2	0.210885	0.115406	3.96	6.04	3.36
8	0.25	0.203756	0.150117	5.38	4.62	2.71
8	0.3	0.185759	0.175718	6.64	3.36	2.22
8	0.35	0.174835	0.196822	7.72	2.28	1.88
8	0.4	0.170079	0.210148	8.41	1.59	1.76
11	0.1	0.138279	0.0472874	2.23	7.77	5.67
11	0.15	0.157268	0.0850893	3.75	6.25	4.69
11	0.2	0.148071	0.110745	5.47	4.53	3.74
11	0.25	0.158479	0.13839	6.9	3.1	3.15
11	0.3	0.148335	0.155148	7.89	2.11	2.67
11	0.35	0.145253	0.169951	8.68	1.32	2.4
11	0.4	0.143658	0.180076	9.19	0.81	2.23
14	0.1	0.129766	0.0520217	2.66	7.34	6.87
14	0.15	0.129392	0.0841621	4.38	5.62	5.76
14	0.2	0.121985	0.114702	6.38	3.62	4.67
14	0.25	0.118389	0.130722	7.48	2.52	4.09
14	0.3	0.113824	0.150131	8.63	1.37	3.53
14	0.35	0.111581	0.162361	9.31	0.69	3.25
14	0.4	0.110394	0.168841	9.68	0.32	3.11
17	0.1	0.121054	0.0533735	2.97	7.03	7.91
17	0.15	0.125372	0.0875086	4.8	5.2	6.69
17	0.2	0.113616	0.112448	6.58	3.42	5.61
17	0.25	0.105049	0.131692	8.03	1.97	4.87
17	0.3	0.101722	0.143753	8.9	1.1	4.52
17	0.35	0.100692	0.1537	9.45	0.55	4.25
17	0.4	0.100052	0.159423	9.73	0.27	4.12
20	0.1	0.138692	0.0551191	3.88	6.12	7.68
20	0.15	0.11969	0.076882	5.85	4.15	6.54
20	0.2	0.111641	0.0990761	7.48	2.52	5.49
20	0.25	0.107416	0.113584	8.53	1.47	4.91
20	0.3	0.105495	0.127293	9.37	0.63	4.59
20	0.35	0.104722	0.135921	9.82	0.18	4.38
20	0.4	0.104399	0.139126	9.98	0.02	4.37
23	0.1	0.118876	0.0499624	3.98	6.02	9.12
23	0.15	0.109244	0.0770065	5.87	4.13	7.8
23	0.2	0.101938	0.0969478	7.31	2.69	6.87
23	0.25	0.0984423	0.114759	8.62	1.38	6.18
23	0.3	0.0961916	0.12685	9.38	0.62	5.88
23	0.35	0.0962899	0.133597	9.73	0.27	5.75
23	0.4	0.09581	0.13814	9.93	0.07	5.67
26	0.1	0.121371	0.0471538	4.47	5.53	9.04
26	0.15	0.115659	0.0724187	6.14	3.86	7.91
26	0.2	0.108266	0.0933141	7.84	2.16	7.01
26	0.25	0.104678	0.108452	8.93	1.07	6.47
26	0.3	0.104158	0.117309	9.45	0.55	6.21
26	0.35	0.103712	0.123592	9.78	0.22	6.03
26	0.4	0.103573	0.126485	9.91	0.09	5.99
29	0.1	0.116887	0.0456331	4.22	5.78	9.89
29	0.15	0.112191	0.0763717	6.5	3.5	8.32
