var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0334106	0.00549565	0.13	3.87	2.66
5	0.15	0.0793963	0.0195672	0.24	3.76	2.55
5	0.2	0.104815	0.0381538	0.36	3.64	2.43
5	0.25	0.128389	0.050389	0.46	3.54	2.33
5	0.3	0.136466	0.0636434	0.6	3.4	2.19
5	0.35	0.16401	0.0864099	0.79	3.21	2.04
5	0.4	0.170051	0.0961421	0.89	3.11	1.95
8	0.1	0.0928477	0.0193311	0.47	3.53	4.3
8	0.15	0.12168	0.0388201	0.79	3.21	3.98
8	0.2	0.136311	0.0572295	1.06	2.94	3.71
8	0.25	0.133131	0.0702311	1.33	2.67	3.44
8	0.3	0.139503	0.0842134	1.53	2.47	3.24
8	0.35	0.142932	0.103198	1.79	2.21	2.99
8	0.4	0.171858	0.12705	1.96	2.04	2.83
11	0.1	0.156708	0.0321296	1.04	2.96	6.96
11	0.15	0.179378	0.0545554	1.46	2.54	6.54
11	0.2	0.175578	0.0681831	1.79	2.21	6.21
11	0.25	0.162919	0.0865307	2.16	1.84	5.84
11	0.3	0.154954	0.101528	2.48	1.52	5.54
11	0.35	0.157616	0.119472	2.75	1.25	5.27
11	0.4	0.153261	0.129839	2.91	1.09	5.11
14	0.1	0.179354	0.0415428	1.49	2.51	9.52
14	0.15	0.176578	0.0622366	2.11	1.89	8.9
14	0.2	0.165687	0.0768288	2.51	1.49	8.5
14	0.25	0.161439	0.0923656	2.84	1.16	8.17
14	0.3	0.156949	0.104635	3.12	0.88	7.89
14	0.35	0.153119	0.117049	3.36	0.64	7.65
14	0.4	0.159695	0.126901	3.46	0.54	7.55
17	0.1	0.18325	0.0388849	1.7	2.3	11.36
17	0.15	0.183372	0.0592435	2.27	1.73	10.79
17	0.2	0.178222	0.0761066	2.73	1.27	10.33
17	0.25	0.170911	0.0895358	3.06	0.94	10
17	0.3	0.164026	0.104493	3.38	0.62	9.68
17	0.35	0.159423	0.117788	3.62	0.38	9.44
17	0.4	0.15856	0.122369	3.68	0.32	9.4
20	0.1	0.205316	0.0423862	2.05	1.95	14.27
20	0.15	0.191908	0.0584287	2.67	1.33	13.65
20	0.2	0.184551	0.0763101	3.15	0.85	13.17
20	0.25	0.177507	0.088613	3.47	0.53	12.85
20	0.3	0.173644	0.103576	3.75	0.25	12.57
20	0.35	0.171829	0.111294	3.88	0.12	12.44
20	0.4	0.171093	0.115046	3.93	0.07	12.39
23	0.1	0.174557	0.0389085	2.48	1.52	15.62
23	0.15	0.165333	0.0505243	2.98	1.02	15.12
23	0.2	0.162402	0.0633176	3.34	0.66	14.76
23	0.25	0.158987	0.0761576	3.62	0.38	14.48
23	0.3	0.156881	0.0832961	3.76	0.24	14.34
23	0.35	0.156186	0.087752	3.83	0.17	14.27
23	0.4	0.156187	0.088524	3.84	0.16	14.26
26	0.1	0.19287	0.0382339	2.67	1.33	18.24
26	0.15	0.18064	0.0529747	3.2	0.8	17.71
26	0.2	0.178059	0.0651539	3.54	0.46	17.37
26	0.25	0.174255	0.0748836	3.78	0.22	17.13
26	0.3	0.171783	0.0813072	3.92	0.08	16.99
26	0.35	0.170432	0.0862995	4	0	16.91
26	0.4	0.170432	0.0862995	4	0	16.91
29	0.1	0.177849	0.0368611	2.88	1.12	19.7
29	0.15	0.169598	0.0488642	3.37	0.63	19.21
29	0.2	0.165637	0.0597242	3.67	0.33	18.91
29	0.25	0.162305	0.0692022	3.89	0.11	18.69
29	0.3	0.160912	0.0741579	3.99	0.01	18.59
29	0.35	0.160886	0.0749187	4	0	18.58
29	0.4	0.160886	0.0749187	4	0	18.58
32	0.1	0.177821	0.0353328	2.85	1.15	21.94
32	0.15	0.16762	0.0499476	3.44	0.56	21.35
32	0.2	0.162416	0.0595639	3.72	0.28	21.07
32	0.25	0.159978	0.068647	3.94	0.06	20.85
32	0.3	0.159612	0.0704387	3.98	0.02	20.81
32	0.35	0.159363	0.0710184	3.99	0.01	20.8
32	0.4	0.159162	0.0717414	4	0	20.79
35	0.1	0.174726	0.0348319	2.98	1.02	23.79
35	0.15	0.168026	0.0480342	3.52	0.48	23.25
35	0.2	0.163164	0.0579758	3.83	0.17	22.94
35	0.25	0.161932	0.0614461	3.91	0.09	22.86
35	0.3	0.161371	0.0644201	3.97	0.03	22.8
35	0.35	0.160972	0.0662682	4	0	22.77
35	0.4	0.160972	0.0662682	4	0	22.77
38	0.1	0.17137	0.0330325	3.07	0.93	23.9
38	0.15	0.164722	0.0427112	3.49	0.51	23.48
38	0.2	0.161329	0.0537993	3.82	0.18	23.15
38	0.25	0.159954	0.0584568	3.93	0.07	23.04
38	0.3	0.15934	0.062167	4	0	22.97
38	0.35	0.15934	0.062167	4	0	22.97
38	0.4	0.15934	0.062167	4	0	22.97
41	0.1	0.17298	0.0311228	3.11	0.89	26.84
41	0.15	0.167742	0.0399856	3.47	0.53	26.48
41	0.2	0.164497	0.0502873	3.76	0.24	26.19
41	0.25	0.161602	0.0582549	3.94	0.06	26.01
41	0.3	0.161095	0.0605643	3.98	0.02	25.97
41	0.35	0.161075	0.0616002	4	0	25.95
41	0.4	0.161075	0.0616002	4	0	25.95
44	0.1	0.158326	0.031541	3.17	0.83	27.35
44	0.15	0.152185	0.040815	3.54	0.46	26.98
44	0.2	0.149396	0.0509411	3.82	0.18	26.7
44	0.25	0.148511	0.0570957	3.96	0.04	26.56
44	0.3	0.148305	0.0588939	3.99	0.01	26.53
44	0.35	0.148261	0.0595093	4	0	26.52
44	0.4	0.148261	0.0595093	4	0	26.52
47	0.1	0.155056	0.0292886	3.43	0.57	29.43
47	0.15	0.151838	0.0374754	3.75	0.25	29.11
47	0.2	0.150305	0.0433641	3.92	0.08	28.94
47	0.25	0.149733	0.0463376	3.99	0.01	28.87
47	0.3	0.1496	0.0469871	4	0	28.86
47	0.35	0.1496	0.0469871	4	0	28.86
47	0.4	0.1496	0.0469871	4	0	28.86
50	0.1	0.154653	0.0262335	3.43	0.57	30.17
50	0.15	0.151422	0.0334144	3.71	0.29	29.89
50	0.2	0.149544	0.0413371	3.93	0.07	29.67
50	0.25	0.148648	0.0439416	3.99	0.01	29.61
50	0.3	0.148373	0.0443647	4	0	29.6
50	0.35	0.148373	0.0443647	4	0	29.6
50	0.4	0.148373	0.0443647	4	0	29.6
53	0.1	0.1484	0.0249249	3.38	0.62	30.78
53	0.15	0.144129	0.0345103	3.74	0.26	30.42
53	0.2	0.143218	0.0416326	3.95	0.05	30.21
53	0.25	0.143162	0.0434716	3.99	0.01	30.17
53	0.3	0.143163	0.044136	4	0	30.16
53	0.35	0.143163	0.044136	4	0	30.16
53	0.4	0.143163	0.044136	4	0	30.16
56	0.1	0.148298	0.025209	3.46	0.54	31.12
56	0.15	0.145839	0.031372	3.69	0.31	30.89
56	0.2	0.14475	0.0392119	3.9	0.1	30.68
56	0.25	0.144229	0.0433584	3.99	0.01	30.59
56	0.3	0.144207	0.0439744	4	0	30.58
56	0.35	0.144207	0.0439744	4	0	30.58
56	0.4	0.144207	0.0439744	4	0	30.58
59	0.1	0.143578	0.0234188	3.55	0.45	33.29
59	0.15	0.14178	0.0307722	3.82	0.18	33.02
59	0.2	0.140878	0.0361043	3.96	0.04	32.88
59	0.25	0.140581	0.0380467	4	0	32.84
59	0.3	0.140581	0.0380467	4	0	32.84
59	0.35	0.140581	0.0380467	4	0	32.84
59	0.4	0.140581	0.0380467	4	0	32.84
62	0.1	0.145482	0.0237974	3.63	0.37	33.59
62	0.15	0.143593	0.0295569	3.85	0.15	33.37
