var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.132598	0.0232745	0.53	3.47	2.67
5	0.15	0.202747	0.050013	0.86	3.14	2.4
5	0.2	0.278951	0.0916714	1.4	2.6	2.02
5	0.25	0.294795	0.116255	1.83	2.17	1.74
5	0.3	0.297371	0.149949	2.29	1.71	1.43
5	0.35	0.31127	0.175506	2.58	1.42	1.32
5	0.4	0.307781	0.188178	2.84	1.16	1.21
8	0.1	0.187776	0.0352372	1.18	2.82	3.16
8	0.15	0.236166	0.0672275	1.73	2.27	2.65
8	0.2	0.245973	0.0869407	2.13	1.87	2.33
8	0.25	0.264834	0.118904	2.54	1.46	1.97
8	0.3	0.248847	0.141446	3.03	0.97	1.64
8	0.35	0.24299	0.159584	3.34	0.66	1.51
8	0.4	0.238274	0.172859	3.6	0.4	1.37
11	0.1	0.190309	0.041433	1.51	2.49	3.99
11	0.15	0.202169	0.0649291	2.08	1.92	3.46
11	0.2	0.206363	0.0893541	2.66	1.34	3.03
11	0.25	0.205634	0.108817	3.09	0.91	2.66
11	0.3	0.1999	0.123605	3.41	0.59	2.46
11	0.35	0.19621	0.137612	3.64	0.36	2.27
11	0.4	0.194162	0.151404	3.86	0.14	2.12
14	0.1	0.186371	0.0371448	1.76	2.24	4.52
14	0.15	0.209793	0.067281	2.53	1.47	3.83
14	0.2	0.205623	0.0826226	2.97	1.03	3.45
14	0.25	0.204123	0.0999063	3.34	0.66	3.16
14	0.3	0.200047	0.106889	3.51	0.49	3.05
14	0.35	0.196274	0.120357	3.75	0.25	2.85
14	0.4	0.193943	0.126597	3.84	0.16	2.8
17	0.1	0.18789	0.0388253	2.1	1.9	4.84
17	0.15	0.195215	0.0612195	2.69	1.31	4.3
17	0.2	0.186967	0.0804482	3.22	0.78	3.89
17	0.25	0.183479	0.0906401	3.53	0.47	3.63
17	0.3	0.179294	0.101825	3.76	0.24	3.4
17	0.35	0.179092	0.109732	3.89	0.11	3.3
17	0.4	0.178792	0.112052	3.92	0.08	3.29
20	0.1	0.192073	0.0398283	2.44	1.56	5.36
20	0.15	0.189438	0.0540085	2.99	1.01	4.92
20	0.2	0.186916	0.068319	3.38	0.62	4.63
20	0.25	0.184362	0.0777354	3.62	0.38	4.46
20	0.3	0.181618	0.0866558	3.79	0.21	4.3
