var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.122283	0.0215781	0.51	1.49	1.79
5	0.15	0.16909	0.0399456	0.68	1.32	1.62
5	0.2	0.193574	0.0595487	0.84	1.16	1.46
5	0.25	0.194132	0.0640356	0.88	1.12	1.42
5	0.3	0.203404	0.0780403	0.96	1.04	1.34
5	0.35	0.215068	0.108317	1.16	0.84	1.15
5	0.4	0.222435	0.125378	1.26	0.74	1.07
8	0.1	0.171401	0.0238874	0.71	1.29	2.59
8	0.15	0.203736	0.0495271	1.03	0.97	2.27
8	0.2	0.208733	0.0650228	1.24	0.76	2.06
8	0.25	0.204472	0.0795581	1.38	0.62	1.92
8	0.3	0.197854	0.0982192	1.56	0.44	1.74
8	0.35	0.193236	0.106137	1.63	0.37	1.67
8	0.4	0.197348	0.11597	1.69	0.31	1.61
11	0.1	0.174449	0.0374715	1.15	0.85	2.92
11	0.15	0.190523	0.0557918	1.47	0.53	2.6
11	0.2	0.186431	0.0638187	1.6	0.4	2.47
11	0.25	0.185584	0.0708641	1.67	0.33	2.4
11	0.3	0.180365	0.080957	1.76	0.24	2.31
11	0.35	0.179177	0.0925094	1.85	0.15	2.22
11	0.4	0.179196	0.10043	1.9	0.1	2.17
14	0.1	0.19455	0.035328	1.39	0.61	3.9
14	0.15	0.202385	0.0486289	1.63	0.37	3.66
14	0.2	0.202388	0.0635671	1.84	0.16	3.45
14	0.25	0.197134	0.0757648	1.96	0.04	3.33
14	0.3	0.197101	0.0775187	1.98	0.02	3.31
14	0.35	0.197101	0.0775187	1.98	0.02	3.31
14	0.4	0.197821	0.0808876	2	0	3.29
17	0.1	0.207089	0.0324864	1.53	0.47	4.35
17	0.15	0.201146	0.0429264	1.73	0.27	4.15
17	0.2	0.199167	0.0508614	1.83	0.17	4.05
17	0.25	0.195161	0.0627432	1.95	0.05	3.93
17	0.3	0.193502	0.0665524	1.98	0.02	3.9
17	0.35	0.191972	0.0681953	1.99	0.01	3.89
17	0.4	0.192445	0.0698619	2	0	3.88
20	0.1	0.209501	0.0262334	1.5	0.5	5.31
20	0.15	0.204575	0.0387514	1.74	0.26	5.07
20	0.2	0.201165	0.0486876	1.87	0.13	4.94
20	0.25	0.198375	0.0540121	1.93	0.07	4.88
20	0.3	0.194779	0.0597734	1.98	0.02	4.83
20	0.35	0.194779	0.0597734	1.98	0.02	4.83
20	0.4	0.19417	0.06144	1.99	0.01	4.82
23	0.1	0.186541	0.0284095	1.66	0.34	5.55
23	0.15	0.183664	0.0395704	1.88	0.12	5.33
23	0.2	0.182483	0.0439205	1.95	0.05	5.26
23	0.25	0.182458	0.0475327	1.99	0.01	5.22
23	0.3	0.182458	0.0475327	1.99	0.01	5.22
23	0.35	0.181401	0.0490032	2	0	5.21
