var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.0938767	0.0206008	0.52	1.48	1.45
5	0.15	0.172698	0.0449274	0.8	1.2	1.21
5	0.2	0.242245	0.0737869	1.01	0.99	1.03
5	0.25	0.277891	0.0964968	1.16	0.84	0.89
5	0.3	0.309034	0.119473	1.29	0.71	0.76
5	0.35	0.314934	0.140009	1.47	0.53	0.61
5	0.4	0.320166	0.158208	1.58	0.42	0.55
8	0.1	0.214683	0.0289691	0.96	1.04	1.56
8	0.15	0.242829	0.0472206	1.19	0.81	1.35
8	0.2	0.268774	0.0653515	1.38	0.62	1.19
8	0.25	0.28482	0.0843115	1.56	0.44	1.03
8	0.3	0.282508	0.0968606	1.66	0.34	0.94
8	0.35	0.276808	0.111976	1.76	0.24	0.85
8	0.4	0.271954	0.117611	1.8	0.2	0.82
11	0.1	0.259956	0.0306041	1.07	0.93	1.53
11	0.15	0.274593	0.0470063	1.3	0.7	1.31
11	0.2	0.271186	0.0580548	1.43	0.57	1.2
11	0.25	0.299885	0.074102	1.57	0.43	1.09
11	0.3	0.301426	0.0860383	1.67	0.33	1.03
11	0.35	0.29821	0.091264	1.71	0.29	1
11	0.4	0.298898	0.102984	1.78	0.22	0.95
14	0.1	0.193878	0.0343085	1.43	0.57	1.75
14	0.15	0.201346	0.0476544	1.61	0.39	1.59
14	0.2	0.215245	0.0569953	1.71	0.29	1.51
14	0.25	0.215065	0.0674404	1.82	0.18	1.41
14	0.3	0.213573	0.0719994	1.87	0.13	1.37
14	0.35	0.213896	0.0798712	1.93	0.07	1.31
14	0.4	0.214013	0.0862214	1.97	0.03	1.27
17	0.1	0.189725	0.0251452	1.42	0.58	2.12
17	0.15	0.19458	0.0351664	1.58	0.42	1.96
17	0.2	0.191145	0.0448685	1.68	0.32	1.89
17	0.25	0.198949	0.0540246	1.76	0.24	1.83
17	0.3	0.196516	0.0678186	1.88	0.12	1.72
17	0.35	0.195602	0.0723506	1.91	0.09	1.69
17	0.4	0.19164	0.0790668	1.96	0.04	1.66
20	0.1	0.213854	0.0292075	1.46	0.54	2.14
20	0.15	0.20453	0.0401134	1.66	0.34	1.97
20	0.2	0.216694	0.0473408	1.75	0.25	1.91
20	0.25	0.212615	0.0595114	1.86	0.14	1.8
20	0.3	0.210956	0.0655638	1.91	0.09	1.75
20	0.35	0.206973	0.0714643	1.96	0.04	1.72
20	0.4	0.206973	0.0714643	1.96	0.04	1.72
23	0.1	0.230449	0.0260543	1.58	0.42	2.55
23	0.15	0.227514	0.0332485	1.72	0.28	2.42
23	0.2	0.220092	0.0430711	1.84	0.16	2.33
23	0.25	0.219721	0.0453156	1.87	0.13	2.3
23	0.3	0.217368	0.0520605	1.93	0.07	2.26
23	0.35	0.215759	0.0563587	1.96	0.04	2.24
23	0.4	0.21583	0.0579142	1.97	0.03	2.23
26	0.1	0.198889	0.0239093	1.62	0.38	2.34
26	0.15	0.202444	0.0307335	1.74	0.26	2.25
26	0.2	0.203191	0.0374454	1.83	0.17	2.2
26	0.25	0.206001	0.0405579	1.86	0.14	2.18
26	0.3	0.201542	0.0496413	1.94	0.06	2.12
26	0.35	0.200094	0.0557226	1.98	0.02	2.09
26	0.4	0.200094	0.0573892	1.99	0.01	2.08
29	0.1	0.188142	0.0261692	1.72	0.28	2.94
29	0.15	0.182675	0.0298482	1.8	0.2	2.87
29	0.2	0.180655	0.0328094	1.84	0.16	2.84
29	0.25	0.176695	0.039416	1.91	0.09	2.79
29	0.3	0.173246	0.0441041	1.95	0.05	2.75
29	0.35	0.17246	0.0487801	1.98	0.02	2.72
29	0.4	0.17246	0.0487801	1.98	0.02	2.72
32	0.1	0.175957	0.0204892	1.7	0.3	3.02
32	0.15	0.180443	0.0258484	1.8	0.2	2.93
32	0.2	0.188273	0.0316274	1.87	0.13	2.86
32	0.25	0.191261	0.0369658	1.93	0.07	2.83
32	0.3	0.186454	0.0443232	1.99	0.01	2.78
32	0.35	0.186454	0.0443232	1.99	0.01	2.78
32	0.4	0.184194	0.0459899	2	0	2.77
35	0.1	0.179825	0.0205548	1.81	0.19	3.39
35	0.15	0.178049	0.0242031	1.87	0.13	3.33
35	0.2	0.175367	0.029107	1.93	0.07	3.27
35	0.25	0.172844	0.0323214	1.96	0.04	3.25
35	0.3	0.172255	0.033631	1.97	0.03	3.24
35	0.35	0.175345	0.0366874	1.99	0.01	3.23
