var	threshold	abdncError	methylCallError	TP	FN	FP
50	0.1	1	0	0	10	26.63
50	0.2	1.0023	0.0223	0.14	9.86	26.49
50	0.3	0.975125	0.227353	2.22	7.78	24.64
50	0.4	0.590011	0.313608	7.45	2.55	21.48
50	0.5	0.317453	0.339575	9.78	0.22	20.25
50	0.6	0.299543	0.34237	9.92	0.08	20.18
50	0.7	0.293057	0.343971	9.97	0.03	20.13
50	0.8	0.291435	0.344362	9.98	0.02	20.12
50	0.9	0.290189	0.344791	9.99	0.01	20.11
50	1	0.28882	0.345358	10	0	20.1
55	0.1	1	0	0	10	28.44
55	0.2	0.999671	0.0134545	0.08	9.92	28.36
55	0.3	0.949539	0.247725	2.16	7.84	26.51
55	0.4	0.574211	0.322216	7.6	2.4	22.95
55	0.5	0.29626	0.345471	9.88	0.12	21.91
55	0.6	0.287704	0.346693	9.94	0.06	21.87
55	0.7	0.285102	0.347234	9.96	0.04	21.86
55	0.8	0.282478	0.348006	9.98	0.02	21.85
55	0.9	0.282478	0.348006	9.98	0.02	21.85
55	1	0.279945	0.349226	10	0	21.83
60	0.1	1	0	0	10	28.84
60	0.2	1.00003	0.0155833	0.11	9.89	28.73
60	0.3	0.96268	0.219761	1.84	8.16	27.14
60	0.4	0.575213	0.319344	7.7	2.3	23.22
60	0.5	0.314195	0.342446	9.81	0.19	22.24
60	0.6	0.295666	0.34555	9.97	0.03	22.14
60	0.7	0.294474	0.345807	9.98	0.02	22.13
60	0.8	0.294474	0.345807	9.98	0.02	22.13
60	0.9	0.293282	0.346298	9.99	0.01	22.12
60	1	0.291919	0.346933	10	0	22.11
65	0.1	1	0	0	10	29.21
65	0.2	1.00097	0.0104615	0.06	9.94	29.15
65	0.3	0.902366	0.258297	3.25	6.75	26.37
65	0.4	0.530057	0.309973	8.12	1.88	23.4
65	0.5	0.307426	0.330207	9.81	0.19	22.58
65	0.6	0.288751	0.33301	9.94	0.06	22.51
65	0.7	0.282694	0.334545	9.99	0.01	22.48
65	0.8	0.281571	0.335015	10	0	22.47
65	0.9	0.281571	0.335015	10	0	22.47
65	1	0.281571	0.335015	10	0	22.47
70	0.1	1	0	0	10	29.5
70	0.2	1.00403	0.044	0.29	9.71	29.21
70	0.3	0.865505	0.248282	4.02	5.98	26.21
70	0.4	0.471079	0.296137	8.73	1.27	23.47
70	0.5	0.33018	0.310984	9.8	0.2	22.85
70	0.6	0.30526	0.314263	9.96	0.04	22.75
70	0.7	0.302814	0.315035	9.98	0.02	22.73
70	0.8	0.300639	0.315886	10	0	22.71
70	0.9	0.300639	0.315886	10	0	22.71
70	1	0.300639	0.315886	10	0	22.71
75	0.1	1	0	0	10	30.63
75	0.2	0.997358	0.0443778	0.35	9.65	30.3
75	0.3	0.784808	0.252528	4.92	5.08	26.83
75	0.4	0.456579	0.289903	8.85	1.15	24.29
75	0.5	0.346104	0.303466	9.81	0.19	23.75
75	0.6	0.333973	0.305568	9.9	0.1	23.72
75	0.7	0.333341	0.306848	9.93	0.07	23.7
75	0.8	0.325881	0.308447	9.97	0.03	23.68
75	0.9	0.325881	0.308447	9.97	0.03	23.68
75	1	0.321952	0.310472	10	0	23.66
80	0.1	1	0	0	10	30.57
80	0.2	1.00289	0.044	0.29	9.71	30.28
80	0.3	0.851997	0.250279	4.09	5.91	27.25
80	0.4	0.439204	0.297701	8.93	1.07	24.15
80	0.5	0.334684	0.310119	9.82	0.18	23.58
80	0.6	0.318837	0.312822	9.94	0.06	23.53
80	0.7	0.318837	0.312822	9.94	0.06	23.53
80	0.8	0.318837	0.312822	9.94	0.06	23.53
80	0.9	0.316516	0.313922	9.96	0.04	23.51
80	1	0.313673	0.315197	9.98	0.02	23.49
85	0.1	1	0	0	10	31.46
85	0.2	1.00203	0.0117647	0.07	9.93	31.39
85	0.3	0.848585	0.256776	3.97	6.03	28.3
85	0.4	0.437137	0.304022	8.85	1.15	25.16
85	0.5	0.327526	0.315894	9.79	0.21	24.58
85	0.6	0.305556	0.319429	9.95	0.05	24.48
85	0.7	0.305556	0.319429	9.95	0.05	24.48
85	0.8	0.305556	0.319429	9.95	0.05	24.48
85	0.9	0.304233	0.319935	9.96	0.04	24.47
85	1	0.30008	0.32248	10	0	24.44
90	0.1	1	0	0	10	31.07
90	0.2	1.00219	0.0105556	0.06	9.94	31.01
90	0.3	0.910492	0.254895	2.94	7.06	28.66
90	0.4	0.481567	0.310548	8.45	1.55	25.09
90	0.5	0.332821	0.327139	9.73	0.27	24.36
90	0.6	0.311955	0.330201	9.89	0.11	24.29
90	0.7	0.308567	0.331181	9.92	0.08	24.26
90	0.8	0.307677	0.331625	9.93	0.07	24.25
90	0.9	0.307677	0.331625	9.93	0.07	24.25
