var	threshold	abdncError	methylCallError	TP	FN	FP
30	0.1	0.13654	0.0409234	2.1	7.9	15.27
30	0.15	0.127113	0.0927329	4.83	5.17	13.04
30	0.2	0.115213	0.112434	6.32	3.68	11.95
30	0.25	0.105142	0.13404	8	2	10.82
30	0.3	0.102576	0.151453	9.08	0.92	10.09
30	0.35	0.100245	0.161886	9.72	0.28	9.73
30	0.4	0.0997263	0.165727	9.92	0.08	9.63
32	0.1	0.118315	0.0392744	2.38	7.62	14.36
32	0.15	0.128568	0.0857031	4.71	5.29	12.42
32	0.2	0.120562	0.111665	6.41	3.59	11.22
32	0.25	0.112154	0.135398	8.03	1.97	10.03
32	0.3	0.107544	0.15038	9.13	0.87	9.36
32	0.35	0.105961	0.159082	9.66	0.34	9.05
32	0.4	0.105553	0.162741	9.85	0.15	8.96
34	0.1	0.130909	0.0539416	2.94	7.06	14.33
34	0.15	0.133726	0.0829802	4.32	5.68	13.29
34	0.2	0.117165	0.116495	6.65	3.35	11.5
34	0.25	0.109229	0.135484	8.08	1.92	10.44
34	0.3	0.105289	0.14872	9.02	0.98	9.8
34	0.35	0.103996	0.158457	9.6	0.4	9.54
34	0.4	0.103345	0.16221	9.82	0.18	9.4
36	0.1	0.134758	0.057049	2.8	7.2	14.96
36	0.15	0.128821	0.0901396	4.64	5.36	13.47
36	0.2	0.114486	0.114112	6.28	3.72	12.22
36	0.25	0.104288	0.135906	8.01	1.99	10.92
36	0.3	0.101232	0.151754	9.16	0.84	10.21
36	0.35	0.099724	0.160205	9.67	0.33	9.91
36	0.4	0.0991731	0.164275	9.87	0.13	9.81
38	0.1	0.131685	0.0515894	3.07	6.93	13.44
38	0.15	0.119655	0.0804034	4.92	5.08	12.1
38	0.2	0.114402	0.10882	6.56	3.44	10.85
38	0.25	0.106117	0.128412	8.05	1.95	9.87
38	0.3	0.102751	0.143409	9.09	0.91	9.23
38	0.35	0.101347	0.151224	9.56	0.44	8.94
38	0.4	0.100616	0.157116	9.85	0.15	8.82
40	0.1	0.135873	0.05019	2.94	7.06	13.49
40	0.15	0.122735	0.0829613	5.09	4.91	11.84
40	0.2	0.112138	0.108064	6.86	3.14	10.52
40	0.25	0.106808	0.12831	8.25	1.75	9.58
40	0.3	0.104225	0.141632	9.13	0.87	9.03
40	0.35	0.103987	0.150342	9.64	0.36	8.78
40	0.4	0.103157	0.155225	9.89	0.11	8.66
42	0.1	0.138498	0.0480222	2.89	7.11	14.01
42	0.15	0.132443	0.080714	4.75	5.25	12.55
42	0.2	0.117083	0.109218	6.77	3.23	11.19
42	0.25	0.10983	0.127097	8.24	1.76	10.17
42	0.3	0.106181	0.141824	9.23	0.77	9.62
42	0.35	0.10424	0.151305	9.78	0.22	9.37
42	0.4	0.103574	0.154975	9.97	0.03	9.26
44	0.1	0.142241	0.0526553	3	7	13.54
44	0.15	0.127616	0.0847174	4.97	5.03	12.08
44	0.2	0.116537	0.107598	6.85	3.15	10.7
44	0.25	0.109445	0.126075	8.3	1.7	9.82
44	0.3	0.105706	0.141096	9.29	0.71	9.21
44	0.35	0.10478	0.149308	9.74	0.26	8.98
44	0.4	0.10413	0.152614	9.9	0.1	8.87
46	0.1	0.137883	0.0523979	3.3	6.7	12.65
46	0.15	0.125721	0.0824036	5.28	4.72	11.2
46	0.2	0.115183	0.105544	6.99	3.01	10.09
46	0.25	0.110384	0.122334	8.21	1.79	9.36
46	0.3	0.106902	0.138466	9.23	0.77	8.77
46	0.35	0.105393	0.147206	9.75	0.25	8.47
46	0.4	0.104859	0.150056	9.89	0.11	8.39
48	0.1	0.126507	0.0503738	3.66	6.34	12.28
