var	threshold	abdncError	methylCallError	TP	FN	FP
50	0.1	0.994752	0.003	0.04	3.96	21.61
50	0.2	0.927706	0.0652	0.57	3.43	21.08
50	0.3	0.719375	0.213867	2.12	1.88	19.55
50	0.4	0.491777	0.265367	3.51	0.49	18.28
50	0.5	0.394609	0.284617	3.97	0.03	17.82
50	0.6	0.394609	0.284617	3.97	0.03	17.82
50	0.7	0.394609	0.284617	3.97	0.03	17.82
50	0.8	0.39262	0.2859	3.98	0.02	17.81
50	0.9	0.390948	0.28745	3.99	0.01	17.8
50	1	0.38911	0.289197	4	0	17.79
55	0.1	0.998661	0.000727273	0.01	3.99	22.91
55	0.2	0.930342	0.0686364	0.55	3.45	22.38
55	0.3	0.71366	0.222152	2.21	1.79	20.78
55	0.4	0.515612	0.265697	3.46	0.54	19.68
55	0.5	0.413844	0.286652	3.95	0.05	19.26
55	0.6	0.406604	0.289621	3.99	0.01	19.22
55	0.7	0.406604	0.289621	3.99	0.01	19.22
55	0.8	0.405006	0.290773	4	0	19.21
55	0.9	0.405006	0.290773	4	0	19.21
55	1	0.405006	0.290773	4	0	19.21
60	0.1	0.995358	0.00316667	0.04	3.96	23.28
60	0.2	0.938761	0.0645833	0.52	3.48	22.8
60	0.3	0.744655	0.213958	2.05	1.95	21.31
60	0.4	0.480763	0.272347	3.66	0.34	19.81
60	0.5	0.418948	0.285111	3.96	0.04	19.58
60	0.6	0.416798	0.285514	3.97	0.03	19.57
60	0.7	0.414768	0.286875	3.98	0.02	19.56
60	0.8	0.414768	0.286875	3.98	0.02	19.56
60	0.9	0.413016	0.288139	3.99	0.01	19.55
60	1	0.413016	0.288139	3.99	0.01	19.55
65	0.1	0.991289	0.00569231	0.07	3.93	23.76
65	0.2	0.918584	0.0831539	0.68	3.32	23.15
65	0.3	0.692863	0.218	2.4	1.6	21.47
65	0.4	0.524319	0.256487	3.42	0.58	20.55
65	0.5	0.410232	0.280308	3.97	0.03	20.07
65	0.6	0.407536	0.280897	3.98	0.02	20.06
65	0.7	0.407536	0.280897	3.98	0.02	20.06
65	0.8	0.407536	0.280897	3.98	0.02	20.06
