var	threshold	abdncError	methylCallError	TP	FN	FP
50	0.1	0.205791	0.0314815	1.97	2.03	7.21
50	0.15	0.206061	0.0546226	2.61	1.39	6.61
50	0.2	0.208919	0.074864	3.08	0.92	6.18
50	0.25	0.19965	0.092156	3.52	0.48	5.82
50	0.3	0.195427	0.103163	3.76	0.24	5.64
50	0.35	0.191759	0.111078	3.9	0.1	5.52
50	0.4	0.191351	0.112739	3.92	0.08	5.5
55	0.1	0.21269	0.0381884	2.19	1.81	6.46
55	0.15	0.208825	0.0559144	2.8	1.2	5.97
55	0.2	0.202949	0.0743024	3.3	0.7	5.58
55	0.25	0.19801	0.0849612	3.61	0.39	5.33
55	0.3	0.195549	0.0944505	3.8	0.2	5.19
55	0.35	0.195194	0.0999632	3.89	0.11	5.12
55	0.4	0.193955	0.103914	3.95	0.05	5.06
60	0.1	0.206898	0.033455	2.21	1.79	6.2
60	0.15	0.211059	0.0552603	2.81	1.19	5.74
60	0.2	0.205473	0.0706005	3.26	0.74	5.4
60	0.25	0.203133	0.0832613	3.56	0.44	5.17
60	0.3	0.200876	0.0936344	3.76	0.24	5.01
60	0.35	0.198823	0.100943	3.88	0.12	4.94
60	0.4	0.198048	0.104705	3.93	0.07	4.9
65	0.1	0.205206	0.038923	2.28	1.72	5.31
65	0.15	0.194886	0.0572694	2.92	1.08	4.74
65	0.2	0.189499	0.070347	3.34	0.66	4.39
65	0.25	0.186607	0.0832438	3.65	0.35	4.14
65	0.3	0.183996	0.0926586	3.84	0.16	4.01
65	0.35	0.182762	0.099726	3.95	0.05	3.94
65	0.4	0.182467	0.100374	3.96	0.04	3.94
70	0.1	0.194468	0.0398073	2.47	1.53	5.19
70	0.15	0.195257	0.0539786	2.95	1.05	4.72
70	0.2	0.186423	0.0706638	3.41	0.59	4.34
70	0.25	0.180047	0.0805588	3.66	0.34	4.19
70	0.3	0.17807	0.0866143	3.79	0.21	4.1
70	0.35	0.176209	0.091714	3.87	0.13	4.04
70	0.4	0.175681	0.0952301	3.92	0.08	4
75	0.1	0.204109	0.0361693	2.17	1.83	5.15
75	0.15	0.199401	0.0583651	2.88	1.12	4.49
75	0.2	0.19625	0.074538	3.33	0.67	4.13
75	0.25	0.190821	0.0871277	3.67	0.33	3.83
75	0.3	0.187953	0.0952643	3.84	0.16	3.7
75	0.35	0.186437	0.0984942	3.89	0.11	3.67
75	0.4	0.184954	0.104151	3.97	0.03	3.6
80	0.1	0.176585	0.0368714	2.42	1.58	3.99
80	0.15	0.176176	0.0540644	3	1	3.48
80	0.2	0.178159	0.0654204	3.32	0.68	3.21
80	0.25	0.177149	0.0776346	3.62	0.38	2.99
80	0.3	0.175082	0.0876287	3.81	0.19	2.87
80	0.35	0.175178	0.0913658	3.88	0.12	2.83
80	0.4	0.17476	0.0963035	3.95	0.05	2.77
85	0.1	0.177597	0.0397631	2.34	1.66	4.17
85	0.15	0.18561	0.0573106	2.87	1.13	3.71
85	0.2	0.184224	0.0710599	3.25	0.75	3.4
85	0.25	0.178257	0.0812354	3.49	0.51	3.23
85	0.3	0.176784	0.0892327	3.66	0.34	3.12
85	0.35	0.173422	0.100693	3.86	0.14	2.99
85	0.4	0.172829	0.107357	3.95	0.05	2.93
90	0.1	0.164892	0.0391892	2.3	1.7	3.8
90	0.15	0.172181	0.0591209	2.92	1.08	3.24
90	0.2	0.168462	0.0756256	3.44	0.56	2.81
90	0.25	0.164109	0.0839341	3.67	0.33	2.61
90	0.3	0.162649	0.092269	3.82	0.18	2.5
90	0.35	0.162174	0.0988473	3.94	0.06	2.42
90	0.4	0.162559	0.100734	3.97	0.03	2.4
95	0.1	0.163898	0.0424432	2.18	1.82	3.62
95	0.15	0.164995	0.0627292	2.87	1.13	2.99
95	0.2	0.163686	0.0771439	3.29	0.71	2.65
95	0.25	0.161047	0.0848029	3.49	0.51	2.51
95	0.3	0.158396	0.0962939	3.74	0.26	2.34
95	0.35	0.156921	0.101307	3.84	0.16	2.25
95	0.4	0.1593	0.108786	3.93	0.07	2.19
100	0.1	0.175552	0.0407393	2.47	1.53	2.61
100	0.15	0.178899	0.0557991	3.01	0.99	2.17
100	0.2	0.17878	0.0673075	3.37	0.63	1.89
100	0.25	0.178222	0.0784016	3.6	0.4	1.71
100	0.3	0.179059	0.0878581	3.8	0.2	1.59
100	0.35	0.179302	0.0947152	3.92	0.08	1.51
100	0.4	0.179388	0.0960051	3.94	0.06	1.5
105	0.1	0.163033	0.0405254	2.24	1.76	2.55
105	0.15	0.166338	0.0577338	2.87	1.13	2.02
105	0.2	0.167454	0.0743861	3.27	0.73	1.69
105	0.25	0.16896	0.0851315	3.52	0.48	1.5
105	0.3	0.174831	0.0954293	3.73	0.27	1.39
105	0.35	0.177257	0.104518	3.88	0.12	1.33
105	0.4	0.17733	0.105007	3.89	0.11	1.32
110	0.1	0.202633	0.0415246	2.35	1.65	2.24
110	0.15	0.2149	0.0578132	2.91	1.09	1.73
110	0.2	0.223858	0.0688127	3.25	0.75	1.51
110	0.25	0.227414	0.0822677	3.53	0.47	1.37
110	0.3	0.226916	0.0924912	3.76	0.24	1.2
110	0.35	0.227933	0.0982914	3.86	0.14	1.13
110	0.4	0.227122	0.103808	3.95	0.05	1.1
115	0.1	0.264331	0.0417546	2.25	1.75	1.82
115	0.15	0.283765	0.0584287	2.85	1.15	1.34
115	0.2	0.290985	0.0719584	3.17	0.83	1.11
115	0.25	0.299902	0.0829187	3.43	0.57	0.92
115	0.3	0.299069	0.0932005	3.65	0.35	0.83
115	0.35	0.296597	0.0997792	3.76	0.24	0.77
115	0.4	0.295556	0.108394	3.87	0.13	0.73
120	0.1	0.320231	0.0424849	2.55	1.45	1.68
120	0.15	0.314681	0.056298	3.01	0.99	1.34
120	0.2	0.31674	0.0664018	3.28	0.72	1.19
120	0.25	0.318552	0.0773013	3.52	0.48	1.03
120	0.3	0.319867	0.0891497	3.76	0.24	0.85
120	0.35	0.31863	0.0938154	3.84	0.16	0.82
120	0.4	0.321586	0.0999722	3.92	0.08	0.79
125	0.1	0.284599	0.0361964	2.05	1.95	1.96
125	0.15	0.31876	0.063816	2.82	1.18	1.26
125	0.2	0.320587	0.0785863	3.26	0.74	0.93
125	0.25	0.317096	0.087997	3.51	0.49	0.76
125	0.3	0.313525	0.0979452	3.7	0.3	0.7
