var	threshold	abdncError	methylCallError	TP	FN	FP
5	0.1	0.760139	0.0261	0.99	1.01	7.5
5	0.2	0.73624	0.033	1.07	0.93	7.42
5	0.3	0.573973	0.0804	1.5	0.5	6.99
5	0.4	0.469679	0.13415	1.84	0.16	6.65
5	0.5	0.425238	0.1638	1.99	0.01	6.5
5	0.6	0.421522	0.1662	2	0	6.49
5	0.7	0.421522	0.1662	2	0	6.49
5	0.8	0.421522	0.1662	2	0	6.49
5	0.9	0.421522	0.1662	2	0	6.49
5	1	0.421522	0.1662	2	0	6.49
25	0.1	0.777015	0.0179	0.98	1.02	19.26
25	0.2	0.695385	0.0383	1.25	0.75	18.99
25	0.3	0.544265	0.0997	1.8	0.2	18.44
25	0.4	0.492469	0.1269	1.98	0.02	18.26
25	0.5	0.490802	0.12845	1.99	0.01	18.25
25	0.6	0.490802	0.12845	1.99	0.01	18.25
25	0.7	0.490802	0.12845	1.99	0.01	18.25
25	0.8	0.490802	0.12845	1.99	0.01	18.25
25	0.9	0.490802	0.12845	1.99	0.01	18.25
25	1	0.488893	0.13335	2	0	18.24
45	0.1	0.76851	0.0185	1	1	17.55
45	0.2	0.654654	0.04515	1.35	0.65	17.2
45	0.3	0.491955	0.103	1.88	0.12	16.67
45	0.4	0.457557	0.12135	2	0	16.55
45	0.5	0.457557	0.12135	2	0	16.55
45	0.6	0.457557	0.12135	2	0	16.55
45	0.7	0.457557	0.12135	2	0	16.55
45	0.8	0.457557	0.12135	2	0	16.55
45	0.9	0.457557	0.12135	2	0	16.55
45	1	0.457557	0.12135	2	0	16.55
65	0.1	0.76967	0.0206	1	1	17.09
65	0.2	0.683044	0.03985	1.27	0.73	16.82
65	0.3	0.517246	0.09595	1.78	0.22	16.31
65	0.4	0.449362	0.12615	1.98	0.02	16.11
65	0.5	0.442524	0.13025	2	0	16.09
65	0.6	0.442524	0.13025	2	0	16.09
65	0.7	0.442524	0.13025	2	0	16.09
65	0.8	0.442524	0.13025	2	0	16.09
65	0.9	0.442524	0.13025	2	0	16.09
65	1	0.442524	0.13025	2	0	16.09
85	0.1	0.767938	0.0221	1	1	16.33
85	0.2	0.652285	0.0471	1.35	0.65	15.98
85	0.3	0.48815	0.0976	1.83	0.17	15.5
85	0.4	0.444895	0.1192	1.98	0.02	15.35
85	0.5	0.440366	0.1213	1.99	0.01	15.34
85	0.6	0.440366	0.1213	1.99	0.01	15.34
85	0.7	0.440366	0.1213	1.99	0.01	15.34
85	0.8	0.437881	0.125089	2	0	15.33
85	0.9	0.437881	0.125089	2	0	15.33
85	1	0.437881	0.125089	2	0	15.33
105	0.1	0.759774	0.0206	1	1	16.2
105	0.2	0.630645	0.04925	1.37	0.63	15.83
105	0.3	0.462991	0.0986	1.84	0.16	15.36
105	0.4	0.419562	0.1216	2	0	15.2
105	0.5	0.419562	0.1216	2	0	15.2
105	0.6	0.419562	0.1216	2	0	15.2
105	0.7	0.419562	0.1216	2	0	15.2
105	0.8	0.419562	0.1216	2	0	15.2
105	0.9	0.419562	0.1216	2	0	15.2
105	1	0.419562	0.1216	2	0	15.2
125	0.1	0.767757	0.02285	1.02	0.98	16.13
125	0.2	0.655518	0.0489	1.37	0.63	15.78
125	0.3	0.505209	0.0999	1.86	0.14	15.29
125	0.4	0.47012	0.1164	1.97	0.03	15.18
125	0.5	0.468104	0.1183	1.98	0.02	15.17
