var	threshold	abdncError	methylCallError	TP	FN	FP
50	0.1	0.226756	0.021524	1.5	0.5	3.32
50	0.15	0.221886	0.0279886	1.62	0.38	3.2
50	0.2	0.213869	0.0379122	1.74	0.26	3.1
50	0.25	0.213953	0.0515475	1.86	0.14	3
50	0.3	0.212499	0.0580927	1.92	0.08	2.94
50	0.35	0.212288	0.0635619	1.96	0.04	2.9
50	0.4	0.21285	0.0673569	1.98	0.02	2.88
55	0.1	0.209385	0.0221838	1.56	0.44	3.1
55	0.15	0.212495	0.0307806	1.7	0.3	2.97
55	0.2	0.216148	0.040065	1.81	0.19	2.86
55	0.25	0.21175	0.0455086	1.87	0.13	2.8
55	0.3	0.217613	0.0541901	1.94	0.06	2.75
55	0.35	0.213395	0.0594431	1.98	0.02	2.72
55	0.4	0.212611	0.06303	2	0	2.7
60	0.1	0.188602	0.0290093	1.55	0.45	2.7
60	0.15	0.185153	0.0331447	1.64	0.36	2.61
60	0.2	0.184221	0.0374118	1.7	0.3	2.58
60	0.25	0.184865	0.0435469	1.75	0.25	2.53
60	0.3	0.191884	0.0580237	1.87	0.13	2.44
60	0.35	0.18925	0.0717464	1.96	0.04	2.36
60	0.4	0.186122	0.0771281	1.99	0.01	2.33
65	0.1	0.182451	0.0273875	1.65	0.35	2.61
65	0.15	0.182907	0.0346266	1.8	0.2	2.47
65	0.2	0.180807	0.0378463	1.85	0.15	2.42
65	0.25	0.179381	0.0413473	1.89	0.11	2.38
65	0.3	0.177463	0.0465214	1.93	0.07	2.35
65	0.35	0.177857	0.0481541	1.94	0.06	2.34
65	0.4	0.177214	0.0514795	1.96	0.04	2.32
70	0.1	0.182015	0.0281146	1.6	0.4	2.03
70	0.15	0.180669	0.034513	1.73	0.27	1.91
70	0.2	0.19144	0.0431452	1.83	0.17	1.83
70	0.25	0.189188	0.0461263	1.87	0.13	1.79
70	0.3	0.185099	0.052136	1.92	0.08	1.75
70	0.35	0.183752	0.0596489	1.97	0.03	1.7
70	0.4	0.186842	0.0613562	1.98	0.02	1.7
75	0.1	0.195394	0.0276737	1.56	0.44	1.66
75	0.15	0.196691	0.0349698	1.7	0.3	1.52
75	0.2	0.192994	0.0423627	1.8	0.2	1.45
75	0.25	0.192106	0.0484811	1.85	0.15	1.4
75	0.3	0.187916	0.0548737	1.91	0.09	1.36
75	0.35	0.186065	0.0575972	1.93	0.07	1.35
75	0.4	0.185867	0.0642275	1.97	0.03	1.31
80	0.1	0.17299	0.0292315	1.49	0.51	2.01
80	0.15	0.179997	0.0431462	1.73	0.27	1.8
80	0.2	0.182912	0.0495715	1.82	0.18	1.73
80	0.25	0.185979	0.0588687	1.91	0.09	1.65
80	0.3	0.182807	0.0646434	1.97	0.03	1.59
80	0.35	0.181118	0.066072	1.98	0.02	1.58
80	0.4	0.179208	0.069324	2	0	1.57
85	0.1	0.168811	0.0278993	1.55	0.45	1.71
85	0.15	0.168136	0.0356128	1.72	0.28	1.54
85	0.2	0.169888	0.0421437	1.82	0.18	1.45
85	0.25	0.172978	0.0432307	1.83	0.17	1.45
85	0.3	0.173561	0.0531288	1.9	0.1	1.39
85	0.35	0.170922	0.0609889	1.95	0.05	1.38
