chr	pos	Cov	Meth
1	757127	3	3
1	757130	3	3
1	757131	3	3
1	757137	5	5
1	757140	5	5
1	757141	5	5
1	757144	5	5
1	757158	11	10
1	757159	11	10
1	757163	13	12
1	757175	14	7
1	757182	15	7
1	757183	15	7
1	757184	15	7
1	757187	15	7
1	757190	16	7
1	757192	18	9
1	757196	17	9
1	757197	16	9
1	757198	16	9
1	757209	16	0
1	757213	16	0
1	757223	14	9
1	757224	13	9
1	757226	13	9
1	757227	13	9
1	757244	17	17
1	757247	18	18
1	757256	19	19
1	757267	17	4
1	757270	18	4
1	757285	21	7
1	757292	21	6
1	757301	27	7
1	757302	27	7
1	757303	27	7
1	757318	19	5
1	757320	19	5
1	757322	19	5
1	757323	19	5
1	757332	21	7
1	757333	21	7
1	757341	18	7
1	757342	19	7
1	757349	19	6
1	757354	17	5
1	757358	16	5
1	757360	16	5
1	757368	16	7
1	757372	15	7
1	757377	16	7
1	757383	17	8
1	757386	18	9
1	757395	20	10
1	757406	20	20
1	757410	22	22
1	757415	22	22
1	757418	23	23
1	757420	24	24
1	757421	25	25
1	757424	25	25
1	757427	25	25
1	757428	25	25
1	757436	23	23
1	757437	21	21
1	757440	23	23
1	757444	25	25
1	757445	25	25
1	757450	26	26
1	757452	26	26
1	757453	25	25
1	757460	25	25
1	757461	24	24
1	757463	23	23
1	757465	22	22
1	757470	22	22
1	757477	26	26
1	757478	25	25
1	757481	26	26
1	757483	27	27
1	757486	26	26
1	757491	25	25
1	757492	25	25
1	757495	27	27
1	757496	27	27
1	757501	27	27
1	757503	27	27
1	757510	28	28
1	757512	26	26
1	757524	24	23
1	757541	29	20
1	757549	26	18
1	757551	24	16
1	757552	23	16
1	757567	25	7
1	757570	25	7
1	757571	25	7
1	757574	24	7
1	757581	23	7
1	757584	24	7
1	757585	24	7
1	757590	27	8
1	757595	27	8
1	757598	27	9
1	757611	24	0
1	757616	26	0
1	757618	26	0
1	757622	26	0
1	757623	25	0
1	757627	25	0
1	757628	24	0
1	757633	26	0
1	757641	28	0
1	757644	27	0
1	757645	27	0
1	757650	28	0
1	757651	28	0
1	757652	28	0
1	757657	29	0
1	757662	26	0
1	757669	26	0
1	757672	25	0
1	757674	27	0
1	757679	27	0
1	757681	26	0
1	757683	27	0
1	757686	25	0
1	757687	26	0
1	757704	18	0
1	757709	18	0
1	757715	20	0
1	757717	20	0
1	757719	19	0
1	757724	20	0
1	757727	17	0
1	757728	17	0
1	757732	18	0
1	757733	18	0
1	757734	17	0
1	757735	17	0
1	757738	15	0
1	757739	15	0
1	757747	15	0
1	757755	14	0
1	757761	15	0
1	757764	16	0
1	757770	16	0
1	757780	15	2
1	757787	10	1
1	757789	10	1
1	757792	11	2
1	757800	17	4
1	757804	18	5
1	757814	16	4
1	757825	16	11
1	757838	16	9
1	757839	16	9
1	757841	16	9
1	757846	18	9
1	757847	18	9
1	757851	19	10
1	757863	17	11
1	757868	14	9
1	757873	12	8
1	757878	14	8
1	757889	12	10
1	757892	13	11
1	757893	13	11
1	757894	13	11
1	757898	15	13
1	757907	17	16
1	757913	17	17
1	757918	19	19
1	757920	19	18
1	757921	19	18
1	757922	19	18
1	757927	20	19
1	757930	20	19
1	757932	20	19
1	757940	22	20
1	757947	22	20
1	757948	20	18
1	757950	20	18
1	757964	25	22
1	757976	24	0
1	757979	23	0
1	757983	21	0
1	757991	21	0
1	757995	21	0
1	758004	24	0
1	758014	24	0
1	758022	25	0
1	758023	25	0
1	758027	26	0
1	758028	25	0
1	758029	23	0
1	758030	21	0
1	758037	24	0
1	758046	26	0
1	758048	27	0
1	758054	29	0
1	758059	26	0
1	758061	26	0
1	758063	26	0
1	758064	27	0
1	758065	26	0
1	758067	27	0
1	758081	25	4
1	758084	24	3
1	758090	26	3
1	758098	26	3
1	758100	27	3
1	758102	27	3
1	758104	25	2
1	758109	25	2
1	758111	25	2
1	758113	24	2
1	758114	24	2
1	758115	24	2
1	758120	21	2
1	758133	24	11
1	758135	24	11
1	758155	21	0
1	758157	21	0
1	758164	22	0
1	758167	24	0
1	758177	23	23
1	758179	23	23
1	758194	22	1
1	758196	22	1
1	758203	23	2
1	758208	23	2
1	758219	22	22
1	758225	21	21
1	758226	21	21
1	758227	22	22
1	758246	17	17
1	758249	14	14
1	758253	16	16
1	758259	14	14
1	758263	15	15
1	758289	18	13
1	758292	19	14
1	758303	18	18
1	758307	17	17
1	758311	19	19
1	758314	18	18
1	758324	21	21
1	758325	21	21
1	758329	21	21
1	758330	21	21
1	758331	21	21
1	758332	21	21
1	758334	21	21
1	758335	21	21
1	758337	22	22
1	758345	23	23
1	758350	23	23
1	758353	23	23
1	758356	21	21
1	758357	24	24
1	758371	26	17
1	758379	26	15
1	758380	26	15
1	758391	25	17
1	758393	26	18
1	758396	25	17
1	758402	31	22
1	758407	32	22
1	758411	34	24
1	758412	34	24
1	758426	32	22
1	758433	28	19
1	758435	28	19
1	758440	26	18
1	758444	25	18
1	758452	25	19
1	758458	26	18
1	758461	27	18
1	758473	20	11
1	758474	20	11
1	758477	18	10
1	758479	15	8
1	758480	15	8
1	758489	16	8
1	758496	15	8
1	758503	18	10
1	758508	18	11
1	758519	19	19
1	758521	19	19
1	758527	17	17
1	758528	17	17
1	758532	16	16
1	758534	16	16
1	758542	19	19
1	758546	19	19
1	758553	19	19
1	758556	18	18
1	758558	20	20
1	758570	23	23
1	758572	22	22
1	758576	21	21
1	758579	21	21
1	758580	22	22
1	758583	23	23
1	758586	22	22
1	758588	22	22
1	758589	24	24
1	758601	24	5
1	758604	27	5
1	758610	23	4
1	758620	23	4
1	758622	23	4
1	758624	24	4
1	758625	24	4
1	758627	24	4
1	758630	23	4
1	758634	23	4
1	758642	21	3
1	758647	21	3
1	758649	21	3
1	758652	20	3
1	758659	21	1
1	758660	20	1
1	758661	20	1
1	758662	19	1
1	758665	19	1
1	758670	19	0
1	758672	18	0
1	758676	18	0
1	758678	19	0
1	758680	19	0
1	758688	21	0
1	758694	22	1
1	758700	22	1
1	758709	23	2
1	758717	24	3
1	758725	25	3
1	758728	21	3
1	758730	21	3
1	758733	22	3
1	758738	22	3
1	758744	22	4
1	758745	22	4
1	758754	23	4
