pos	unmethyl	 methyl
757121	0	0
757127	0	0
757148	0	0
757156	0	0
757161	0	0
757169	0	0
757173	0	0
757174	0	0
757177	0	0
757191	0	0.157803
757198	0	0.157803
757209	0	0.157803
757212	0	0.157803
757225	0	0.157803
757242	0.157803	0
757248	0.157803	0
757252	0.157803	0
757266	0	0.157803
757271	0	0.157803
757272	0	0.157803
757278	0	0.157803
757287	0	0.157803
757288	0	0.157803
757294	0	0.157803
757298	0	0.157803
757310	0.157803	0
757313	0.157803	0
757314	0.157803	0
757330	0.157803	0
757348	0.157803	0
757351	0.157803	0
757352	0.157803	0
757361	0.157803	0
757362	0.157803	0
757367	0.157803	0
757382	0.157803	0
757386	0.157803	0
757391	0.157803	0
757393	0.157803	0
757394	0.157803	0
757405	0	0.157803
757406	0	0.157803
757409	0	0.157803
757425	0.157803	0
757432	0.157803	0
757437	0.157803	0
757441	0.157803	0
757444	0.157803	0
757446	0.157803	0
757449	0.157803	0
757467	0.157803	0
757468	0.157803	0
757472	0.157803	0
757482	0.157803	0
757484	0.157803	0
757490	0.157803	0
757492	0.157803	0
757500	0.157803	0
757503	0.157803	0
757507	0.157803	0
757527	0.157803	0
757529	0.157803	0
757539	0.157803	0
757550	0	0.157803
757552	0	0.157803
757561	0	0.157803
757569	0	0.157803
757579	0	0.157803
757583	0	0.157803
757584	0	0.157803
757586	0	0.157803
757596	0	0.157803
757604	0	0
757605	0	0
757612	0	0
757702	0.594189	0.138424
757719	0.589385	0.252813
757725	0.589385	0.252813
757729	0.589385	0.252813
757743	0.414316	0.427882
757748	0.414316	0.427882
757749	0.414316	0.427882
757755	0.414316	0.427882
757764	0.414316	0.427882
757765	0.414316	0.427882
757771	0.414316	0.427882
757775	0.414316	0.427882
757787	0.366871	0.475327
757790	0.366871	0.475327
757791	0.366871	0.475327
757807	0.450961	0.391236
757825	0.419767	0.422431
757828	0.419767	0.422431
757829	0.419767	0.422431
757838	0.419767	0.422431
757839	0.419767	0.422431
757844	0.419767	0.422431
757859	0.376356	0.465841
757863	0.376356	0.465841
757868	0.376356	0.465841
757870	0.376356	0.465841
757871	0.376356	0.465841
757882	0.439529	0.402668
757883	0.439529	0.402668
757886	0.439529	0.402668
757902	0.414934	0.427264
757909	0.414934	0.427264
757914	0.414934	0.427264
757918	0.414934	0.427264
757921	0.414934	0.427264
757923	0.414934	0.427264
757926	0.414934	0.427264
757944	0.459026	0.383171
757945	0.459026	0.383171
757949	0.459026	0.383171
757959	0.48401	0.358188
757961	0.48401	0.358188
757967	0.48401	0.358188
757969	0.48401	0.358188
757977	0.48401	0.358188
757980	0.48401	0.358188
757984	0.48401	0.358188
758004	0.57538	0.266818
758006	0.57538	0.266818
758016	0.684965	0.0813417
758027	0.577311	0.188995
758029	0.577311	0.188995
758038	0.460958	0.188995
758046	0.4046	0.188995
758056	0.109585	0.48401
758060	0.109585	0.48401
758061	0.109585	0.402668
758063	0.109585	0.402668
757654	0.161503	0.432686
757668	0.179873	0.414316
757675	0.179873	0.414316
757686	0.295454	0.298735
757689	0.295454	0.298735
758073	0.109585	0.107654
758081	0.109585	0
758082	0.109585	0
757625	0	0.432686
757633	0	0.432686
757638	0	0.432686
757646	0	0.432686
757650	0	0.432686
757651	0	0.432686
