pos	unmethyl	 methyl
757121	0.35	0.65
757122	0.35	0.65
757129	0.35	0.65
757133	0.35	0.65
757134	0.35	0.65
757138	0.35	0.65
757139	0.35	0.65
757140	0.35	0.65
757145	0.35	0.65
757149	0.35	0.65
757151	0.35	0.65
757158	0.35	0.65
757160	0.35	0.65
757161	0.35	0.65
757163	0.35	0.65
757166	0.35	0.65
757170	0.35	0.65
757174	0.35	0.65
757179	0.35	0.65
757183	0.35	0.65
757185	0.35	0.65
757193	0.35	0.65
757196	0.35	0.65
757197	0.35	0.65
757205	0.35	0.65
757213	0.35	0.65
757218	0.35	0.65
757219	0.35	0.65
757223	0.35	0.65
757224	0.35	0.65
757225	0.35	0.65
757226	0.35	0.65
757227	0.35	0.65
757232	0.35	0.65
757235	0.35	0.65
757236	0.35	0.65
757242	0.35	0.65
757247	0.35	0.65
757248	0.35	0.65
757252	0.35	0.65
757255	0.35	0.65
757258	0.35	0.65
757259	0.35	0.65
757261	0.35	0.65
757268	0.35	0.65
757273	0.35	0.65
757274	0.35	0.65
757275	0.35	0.65
757280	0.35	0.65
757282	0.35	0.65
757283	0.35	0.65
757287	0.35	0.65
757293	0.35	0.65
757296	0.35	0.65
757297	0.35	0.65
757298	0.35	0.65
757301	0.35	0.65
757309	0.35	0.65
757310	0.35	0.65
757326	0.15	0.85
757336	0.5	0.5
757337	0.5	0.5
757341	0.5	0.5
757350	0.5	0.5
757351	0.5	0.5
757355	0.5	0.5
757356	0.5	0.5
757362	0.5	0.5
757370	0.5	0.5
757376	0.5	0.5
757378	0.5	0.5
757379	0.5	0.5
757380	0.5	0.5
757381	0.5	0.5
757383	0.5	0.5
757384	0.5	0.5
757386	0.5	0.5
757388	0.5	0.5
757392	0.5	0.5
757398	0.5	0.5
757402	0.5	0.5
757405	0.5	0.5
757406	0.5	0.5
757408	0.5	0.5
757411	0.5	0.5
757417	0.5	0.5
757420	0.5	0.5
757421	0.5	0.5
757422	0.5	0.5
757424	0.5	0.5
757425	0.5	0.5
757426	0.5	0.5
757432	0.5	0.5
757437	0.5	0.5
757438	0.5	0.5
757440	0.5	0.5
757442	0.5	0.5
757443	0.5	0.5
757445	0.5	0.5
757446	0.5	0.5
757447	0.5	0.5
757449	0.5	0.5
757451	0.5	0.5
757453	0.5	0.5
757455	0.5	0.5
757460	0.5	0.5
757464	0.5	0.5
757465	0.5	0.5
757469	0.5	0.5
757473	0.5	0.5
757478	0.5	0.5
757479	0.5	0.5
757482	0.5	0.5
757483	0.5	0.5
757485	0.5	0.5
757491	0.5	0.5
757494	0.5	0.5
757495	0.5	0.5
757498	0.5	0.5
757503	0.5	0.5
757506	0.5	0.5
757507	0.5	0.5
757511	0.5	0.5
757517	0.5	0.5
757521	0.5	0.5
757523	0.5	0.5
757527	0.5	0.5
757536	0.5	0.5
757538	0.5	0.5
757541	0.5	0.5
757543	0.5	0.5
757547	0.5	0.5
757549	0.5	0.5
757550	0.5	0.5
757555	0.5	0.5
757556	0.5	0.5
757560	0.5	0.5
757565	0.5	0.5
757566	0.5	0.5
757567	0.5	0.5
757568	0.5	0.5
757569	0.5	0.5
757571	0.5	0.5
757577	0.5	0.5
757579	0.5	0.5
757588	0.5	0.5
757590	0.5	0.5
757592	0.5	0.5
757593	0.5	0.5
757602	0.5	0.5
757609	0.5	0.5
757618	0.5	0.5
757620	0.5	0.5
