chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757190	1	0	1	2	2.54624	6:U,8:M,9:M,11:U,13:U,16:U,17:U,19:M,22:U,29:M,33:M,37:M,41:M,51:U,52:M,53:M,56:M,58:U,59:U,60:U,63:M,66:M
1	757121	757190	1	1	1	2	2	6:M,8:M,9:M,11:M,13:M,16:M,17:M,19:M,22:M,29:U,33:M,37:U,41:U,51:M,52:M,53:M,56:U,58:U,59:U,60:U,63:M,66:M
1	757178	757250	1	90	8	9.18182	9.18182	1:U,2:U,3:U,6:M,9:M,13:M,15:U,19:M,22:U,30:M,33:U,39:M,42:U,46:U,50:U,54:U,55:U,59:U,60:U,61:U,68:U,69:U,70:U
1	757122	757196	1	2	14	15.3143	15.3143	5:U,7:M,8:M,10:U,12:U,15:U,16:U,18:M,21:U,28:M,32:M,36:M,40:M,50:U,51:M,52:M,55:M,57:U,58:U,59:U,62:M,65:M,69:U,71:U
1	757179	757251	1	92	9	8.63636	9.11636	0:U,1:U,2:U,5:M,8:M,12:U,14:U,18:U,21:U,29:M,32:U,38:M,41:U,45:U,49:M,53:M,54:U,58:U,59:U,60:M,67:M,68:U,69:M
1	757123	757196	1	4	6	7.77143	7.77143	4:M,6:M,7:M,9:M,11:M,14:M,15:M,17:M,20:M,27:U,31:M,35:U,39:U,49:M,50:M,51:M,54:U,56:U,57:U,58:U,61:M,64:M,68:M,70:U
1	757183	757260	1	99	7	8.03636	7.08796	1:M,4:M,8:M,10:U,14:M,17:U,25:M,28:U,34:M,37:U,41:U,45:U,49:U,50:U,54:U,55:U,56:U,63:U,64:U,65:U,69:M,70:M,71:M
1	757249	757323	1	208	25	15.6	14.2788	3:U,4:U,5:U,14:U,18:U,19:M,23:M,27:U,29:M,30:M,31:M,33:U,39:U,42:U,45:U,56:U,57:U,58:M,60:M,63:U,67:U,68:M,72:U
1	757128	757227	1	13	99	84.432	84.432	1:M,2:M,4:U,6:U,9:U,10:U,12:M,15:U,22:M,26:M,30:M,34:M,44:U,45:M,46:M,49:M,51:U,52:U,53:U,56:M,59:M,63:U,65:U,69:U,72:U,80:M,83:U,89:M,92:U,96:U
1	757192	757266	1	113	8	6.46154	6.46154	1:U,5:M,8:U,16:M,19:U,25:M,28:U,32:U,36:U,40:U,41:U,45:U,46:U,47:U,54:U,55:U,56:U,60:M,61:M,62:M,71:U
1	757183	757260	1	98	24	23.5273	20.5118	1:M,4:M,8:U,10:U,14:U,17:U,25:M,28:U,34:M,37:U,41:U,45:M,49:M,50:U,54:U,55:U,56:M,63:M,64:U,65:M,69:U,70:U,71:U
1	757250	757323	1	209	11	6.2	5.66019	2:M,3:M,4:M,13:U,17:U,18:U,22:U,26:U,28:U,29:U,30:U,32:M,38:U,41:M,44:U,55:M,56:M,57:M,59:M,62:M,66:U,67:M,71:U
1	757128	757227	1	12	29	28.3431	29.2521	1:M,2:M,4:M,6:M,9:M,10:M,12:M,15:M,22:U,26:M,30:U,34:U,44:M,45:M,46:M,49:U,51:U,52:U,53:U,56:M,59:M,63:M,65:U,69:M,72:U,80:M,83:U,89:M,92:U,96:U
