pos	unmethyl	 methyl
11007845	0.25	0.75
11007869	0	1
11007889	0	1
11008616	0.25	0.75
11008635	0.25	0.75
11008647	0.25	0.75
11008862	0.25	0.75
11008942	0	1
11008952	0	1
11009019	0	1
11009125	0	1
11009296	1	0
11009467	0.75	0.25
11009769	0.75	0.25
11010103	1	0
11010151	0.25	0.75
11010174	1	0
11010285	0.75	0.25
11010317	1	0
11010659	0	1
11010733	0.25	0.75
11010740	0.25	0.75
11011310	0.75	0.25
11011345	0	1
11011385	0.75	0.25
11011535	1	0
11011581	0.25	0.75
11011645	1	0
11011667	1	0
11013248	0.75	0.25
11013565	0.75	0.25
11013573	0.75	0.25
11013590	0.75	0.25
11013641	1	0
11014173	1	0
11014195	0.75	0.25
11014257	1	0
11014372	0.25	0.75
11014393	0.25	0.75
11014444	1	0
11014448	1	0
11014457	1	0
11014514	0.75	0.25
11014583	0.25	0.75
11014591	0.25	0.75
11014604	0.25	0.75
11014610	0.25	0.75
11014707	0.25	0.75
11014736	0.75	0.25
11014744	0.75	0.25
11014794	0.25	0.75
11014813	0.25	0.75
11014894	1	0
11014906	1	0
11014969	0	1
11015026	0.25	0.75
11015031	0.25	0.75
11015039	0.25	0.75
11015042	0.25	0.75
11015044	0.25	0.75
11015049	0.25	0.75
11015057	0.25	0.75
11015064	0.25	0.75
11015067	0.25	0.75
11015078	0.25	0.75
11015081	0.25	0.75
11015084	0.25	0.75
11015093	0.25	0.75
11015101	0.25	0.75
11015120	0.25	0.75
11015126	0.25	0.75
11015134	0.25	0.75
11015165	1	0
11015168	1	0
11015192	0.75	0.25
11016317	0.75	0.25
11016325	0.75	0.25
11016337	0.75	0.25
11016695	0.75	0.25
11017134	1	0
11017169	0.25	0.75
11017209	0.25	0.75
11017359	1	0
11017438	0	1
11017469	1	0
11017580	0.75	0.25
11018198	0	1
11019226	0.25	0.75
11019682	0	1
11019726	0	1
11019854	0.25	0.75
11020102	0	1
11020705	1	0
11020718	1	0
11021547	0.75	0.25
11021932	0.75	0.25
11023425	0	1
11024005	1	0
11024096	0.75	0.25
11024328	0.75	0.25
