pos	unmethyl	 methyl
757126	0.6	0.4
757129	0.4	0.6
757133	0.2	0.8
757135	0.5	0.5
757136	0.5	0.5
757137	0.4	0.6
757138	0.4	0.6
757139	0.2	0.8
757140	0.4	0.6
757141	0.3	0.7
757143	0.6	0.4
757147	0.3	0.7
757153	0.5	0.5
757156	0.4	0.6
757157	0.4	0.6
757159	0.7	0.3
757160	0.5	0.5
757163	0.7	0.3
757168	0.5	0.5
757169	0.6	0.4
757172	0.5	0.5
757179	0.9	0.1
757184	0.4	0.6
757185	0.5	0.5
757195	0.5	0.5
757198	0.5	0.5
757199	0.5	0.5
757201	0.6	0.4
757204	0.5	0.5
757216	0.6	0.4
757219	0.7	0.3
757223	0.3	0.7
757232	0.6	0.4
757238	0.3	0.7
757240	0.6	0.4
757241	0.4	0.6
757251	0.5	0.5
757259	0.4	0.6
757262	0.3	0.7
757266	0.3	0.7
757267	0.4	0.6
757273	0.6	0.4
757274	0.2	0.8
757277	0.3	0.7
757279	0.4	0.6
757282	0.5	0.5
757287	0.4	0.6
757288	0.3	0.7
757289	0.4	0.6
757299	0.4	0.6
757305	0.4	0.6
757308	0.9	0.1
757313	0.1	0.9
757315	0.4	0.6
757318	0.7	0.3
757320	0.6	0.4
757324	0.7	0.3
757326	0.6	0.4
757328	0.6	0.4
757329	0.6	0.4
757330	0.6	0.4
757332	0.6	0.4
757335	0.6	0.4
757336	0.5	0.5
757343	0.7	0.3
757344	0.5	0.5
757346	0.6	0.4
757347	0.7	0.3
757350	0.5	0.5
