pos	unmethyl	 methyl
757128	10	30
757131	24	30
757132	49	10
757133	29	32
757135	38	32
757136	40	34
757143	0	104
757145	37	77
757148	34	95
757152	83	61
757154	130	22
757156	0	159
757162	88	99
757163	168	22
757169	184	25
757170	186	25
757171	192	28
757178	94	149
757182	73	178
757183	135	123
757184	179	82
757185	121	145
757186	131	141
757187	239	37
757200	160	120
757204	43	240
757205	250	34
757211	74	198
757216	166	112
757221	136	146
757230	72	204
757231	41	234
757232	73	207
757233	43	237
757237	78	202
757240	149	135
757241	237	44
757251	176	112
757253	43	240
757256	144	141
757258	143	138
757264	254	34
757265	45	238
757266	46	240
757267	184	101
757268	185	99
757270	196	78
757271	99	177
757279	99	189
757280	99	189
757282	47	238
757283	0	278
757284	0	272
757286	125	136
757291	74	163
757292	39	194
757295	33	187
757297	109	104
757300	143	59
757309	102	65
757312	108	44
757316	47	92
757317	46	91
757328	28	69
757329	65	27
757331	16	65
757335	0	67
757344	16	11
757345	16	5
757346	6	12
