chr	start	end	cid	pid	abundance	methylpat	regions
13	19218085	19218166	1	1	0.944746	5:U,8:U,22:U	0
13	19218085	19218165	1	2	0.160494	5:M,8:M,22:M	1
13	19218085	19218165	1	3	0.154321	5:U,8:M,22:U	6
13	19218085	19218157	1	4	0.0624049	5:M,8:U,22:U	5
13	19239922	19240009	2	1	0.0966783	13:M,71:M,83:M	2
13	19239922	19240002	2	2	0.0181149	13:U,71:U	0
13	19239922	19240002	2	3	0.0103039	13:U,71:M	1
13	19239923	19240002	2	4	0.00841346	12:M,70:U	3
13	19300926	19300998	3	1	0.0136986	17:M,40:M,52:M,67:M	0
13	19631347	19631426	6	1	0.0125	1:M,25:M,31:M,37:M	0
13	19631728	19631808	8	1	0.58051	55:M,59:M,63:M	0
13	19631728	19631807	8	2	0.0207447	55:U,59:U,63:U	13
13	19631728	19631807	8	3	0.0138298	55:U,59:M,63:M	2
13	19631728	19631807	8	4	0.00691491	55:M,59:U,63:M	3
13	19633203	19633282	9	1	0.025	32:U,42:U,71:M,76:M	0
13	19633203	19633282	9	2	0.0125	32:M,42:M,71:M,76:M	3
13	19633203	19633282	9	3	0.0125	32:M,42:U,71:M,76:M	13
13	19633557	19633636	10	1	0.0125	8:M,79:U	0
13	19633557	19633636	10	2	0.0125	8:M,79:M	3
13	19648309	19648445	11	1	0.0291971	15:M,32:M,55:M	0
13	19648507	19648586	12	1	0.0125	3:M,53:M	0
13	19648625	19648705	13	1	0.0277778	7:M,67:M	0
13	19687792	19687871	16	1	0.0125	25:M,41:M,63:U	0
13	19728251	19728372	17	1	0.0696721	15:M,66:M	0
13	19728286	19728367	17	2	0.0304878	31:U	13
13	19728404	19728498	18	1	0.0701754	6:M,20:M	0
13	19728404	19728483	18	2	0.0208333	6:M,20:U	13
13	19745961	19746040	19	1	0.0125	2:M	0
13	19746258	19746338	22	1	0.613521	4:U,79:U	0
13	19746258	19746338	22	2	0.24759	4:M,79:U	13
13	19746258	19746337	22	3	0.225234	4:M,79:M	1
13	19747394	19747474	24	1	0.138239	34:M,46:M	0
13	19747395	19747474	24	2	0.071875	33:U,45:U	1
13	19747394	19747473	24	3	0.0075658	34:M,46:U	13
13	19872760	19872839	25	1	0.175	14:M	0
13	19872760	19872832	25	2	0.0273973	14:U	13
13	19873005	19873084	26	1	0.03125	25:U	13
13	19873003	19873082	26	2	0.015625	27:M	0
13	19910041	19910133	28	1	0.129032	7:M	0
13	19919168	19919247	30	1	0.05	8:M,19:M,39:M,45:M,51:M	0
13	19919168	19919247	30	2	0.0125	8:U,19:M,39:M,45:M,51:M	2
13	20003472	20003551	32	1	0.0125	72:U	0
13	20003472	20003551	32	2	0.0125	72:M	2
13	20138999	20139078	35	1	0.0125	6:U,9:M,14:M,18:M,28:M,51:M,72:U,75:M	0
