chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757196	1	read0	28	24.5	30.279	6:U,11:U,12:U,13:U,14:U,15:U,16:U,19:U,21:U,32:U,35:U,36:U,58:M,60:M,64:M
1	757128	757199	1	read28	7	8.75	9.37981	4:U,5:U,6:U,7:U,8:U,9:U,12:U,14:U,25:U,28:U,29:U,51:M,53:M,57:M,69:U
1	757130	757199	1	read34	2	3.5	3.5	2:U,3:U,4:U,5:U,6:U,7:U,10:U,12:U,23:U,26:U,27:U,49:M,51:M,55:M,67:M
1	757131	757216	1	read37	52	55.7343	55.7343	1:U,2:U,3:U,4:U,5:U,6:U,9:U,11:U,22:U,25:U,26:U,48:M,50:M,54:M,66:U,69:U,73:U,76:U,78:U
1	757199	757269	1	read333	2	4.08333	4.08333	1:M,5:M,8:M,10:M,18:M,25:M,29:M,35:M,36:M,39:M,48:M,49:M,52:M,61:M,63:M,65:M
1	757198	757269	1	read330	5	9.33333	9.02029	2:U,6:U,9:U,11:U,19:U,26:U,30:U,36:U,37:U,40:U,49:U,50:U,53:U,62:U,64:U,66:U
1	757131	757202	1	read38	5	4.66667	5.36522	1:U,2:U,3:U,4:U,5:U,6:U,9:U,11:U,22:U,25:U,26:U,48:M,50:M,54:M,66:M,69:M
1	757148	757223	1	read108	23	20.5444	21.5993	5:U,8:U,9:U,31:M,33:M,37:M,49:U,52:U,56:U,59:U,61:U,69:U
1	757211	757286	1	read374	7	9.98333	5.92671	6:M,13:M,17:M,23:M,24:M,27:M,36:M,37:M,40:M,49:M,51:M,53:M,61:M,63:M
1	757204	757273	1	read347	1	0.636364	3.49927	0:M,3:M,5:M,13:M,20:M,24:M,30:M,31:M,34:M,43:M,44:M,47:M,56:M,58:M,60:M,68:M
1	757265	757341	1	read592	23	24.7111	25.2	7:U,9:U,39:U,42:U,45:U,46:U,51:U,52:U,56:U,63:U,67:U,70:U,74:U
1	757201	757271	1	read337	5	7	7	3:U,6:U,8:U,16:U,23:U,27:U,33:U,34:U,37:U,46:U,47:U,50:U,59:U,61:U,63:U
1	757137	757206	1	read59	1	3.5	3.5	0:U,3:U,5:U,16:U,19:U,20:U,42:M,44:M,48:M,60:M,63:M,67:M
1	757155	757227	1	read140	16	12.5278	12.5278	1:U,2:U,24:M,26:M,30:M,42:U,45:U,49:U,52:U,54:U,62:U,69:U
1	757219	757293	1	read407	6	7.31944	4.44504	5:M,9:M,15:M,16:M,19:M,28:M,29:M,32:M,41:M,43:M,45:M,53:M,55:M
1	757273	757343	1	read621	8	6.3	6.3	1:U,31:U,34:U,37:U,38:U,43:U,44:U,48:U,55:U,59:U,62:U,66:U,70:U
1	757209	757278	1	read367	1	1	1.39971	0:M,8:M,15:M,19:M,25:M,26:M,29:M,38:M,39:M,42:M,51:M,53:M,55:M,63:M,65:M
1	757203	757273	1	read342	6	6.68182	6.68182	1:U,4:U,6:U,14:U,21:U,25:U,31:U,32:U,35:U,44:U,45:U,48:U,57:U,59:U,61:U,69:U
1	757265	757341	1	read594	6	6.57778	6.79395	7:M,9:M,39:M,42:M,45:M,46:M,51:M,52:M,56:M,63:M,67:M,70:M,74:M
1	757205	757276	1	read349	11	10.5	9.05834	2:U,4:U,12:U,19:U,23:U,29:U,30:U,33:U,42:U,43:U,46:U,55:U,57:U,59:U,67:U,69:U
1	757138	757208	1	read61	3	2.4	2.56593	2:U,4:U,15:U,18:U,19:U,41:M,43:M,47:M,59:M,62:M,66:M,69:M
1	757159	757233	1	read162	20	20.5	20.5	20:M,22:M,26:M,38:U,41:U,45:U,48:U,50:U,58:U,65:U,69:U
1	757225	757296	1	read436	3	5.5	4.46188	3:M,9:M,10:M,13:M,22:M,23:M,26:M,35:M,37:M,39:M,47:M,49:M
1	757275	757350	1	read634	18	24.9667	3.17468	29:U,32:U,35:U,36:U,41:U,42:U,46:U,53:U,57:U,60:U,64:U,68:U
1	757273	757343	1	read625	4	3.15	1.71908	1:M,31:M,34:M,37:M,38:M,43:M,44:M,48:M,55:M,59:M,62:M,66:M,70:M
1	757208	757278	1	read360	7	6.5	6.0389	1:U,9:U,16:U,20:U,26:U,27:U,30:U,39:U,40:U,43:U,52:U,54:U,56:U,64:U,66:U
1	757141	757216	1	read75	9	8.54798	8.54798	1:U,12:U,15:U,16:U,38:M,40:M,44:M,56:M,59:M,63:M,66:M,68:M
1	757165	757246	1	read188	39	38.0819	39.682	14:M,16:M,20:M,32:U,35:U,39:U,42:U,44:U,52:U,59:U,63:U,69:U,70:U,73:U
1	757231	757303	1	read453	2	4.08333	4.08333	3:M,4:M,7:M,16:M,17:M,20:M,29:M,31:M,33:M,41:M,43:M
1	757275	757350	1	read633	6	6.65	0.884445	29:M,32:M,35:M,36:M,41:M,42:M,46:M,53:M,57:M,60:M,64:M,68:M
1	757210	757286	1	read368	27	25.2833	24.486	7:U,14:U,18:U,24:U,25:U,28:U,37:U,38:U,41:U,50:U,52:U,54:U,62:U,64:U
1	757148	757223	1	read107	10	8.91111	8.91111	5:U,8:U,9:U,31:M,33:M,37:M,49:M,52:M,56:M,59:M,61:M,69:M
1	757178	757259	1	read237	49	43.8808	43.8808	1:M,3:M,7:M,19:U,22:U,26:U,29:U,31:U,39:U,46:U,50:U,56:U,57:U,60:U,69:U,70:U,73:U
1	757239	757320	1	read478	9	9.10833	9.74108	8:M,9:M,12:M,21:M,23:M,25:M,33:M,35:M,65:M,68:M,71:M,72:M,77:M,78:M
1	757235	757307	1	read462	2	1.63636	2.99725	0:M,3:M,12:M,13:M,16:M,25:M,27:M,29:M,37:M,39:M,69:M,72:M
1	757218	757293	1	read402	26	23.0278	21.6961	6:U,10:U,16:U,17:U,20:U,29:U,30:U,33:U,42:U,44:U,46:U,54:U,56:U
