pos	unmethyl	 methyl
757121	0	2
757124	5	11
757127	9	16
757128	11	18
757130	18	21
757137	31	39
757139	36	40
757153	77	54
757157	95	60
757158	98	61
757163	107	68
757170	122	77
757171	125	78
757173	132	82
757174	132	83
757185	184	77
757187	188	77
757188	189	78
757204	160	121
757213	165	116
757226	58	216
757254	115	159
757263	122	172
757268	123	176
757275	128	165
757277	128	168
757282	126	165
757283	122	165
757285	117	162
757291	104	151
757295	98	141
757297	96	135
757298	94	135
757303	88	127
757306	83	117
757308	80	112
757310	77	107
757317	70	86
757321	61	76
757333	50	24
757338	38	17
757342	27	11
757345	19	8
757348	11	4
