chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
13	19218085	19218165	1	HWI-EAS540-C:7:10:14853:3130#0/3	104	108.405	108.405	5:U,8:U,22:U
13	19218085	19218165	1	HWI-EAS540-C:7:102:17261:9693#0/3	29	15.6552	15.6552	5:M,8:M,22:M
13	19218085	19218165	1	HWI-EAS540-C:7:103:1927:13814#0/1	17	21.6996	21.6996	5:M,8:M,22:U
13	19218085	19218165	1	HWI-EAS540-C:7:11:3951:4339#0/1	13	16.4426	16.4426	5:M,8:U,22:U
13	19218085	19218165	1	HWI-EAS540-C:7:27:16221:19253#0/1	6	9.17078	9.17078	5:U,8:M,22:U
13	19218085	19218165	1	HWI-EAS540-C:8:21:4776:4392#0/1	3	3.30009	3.30009	5:U,8:U,22:M
13	19218085	19218164	1	HWI-EAS540-C:8:67:15609:2712#0/1	1	0.671598	0.671598	5:M,8:U,22:M
13	19218086	19218158	1	HWI-EAS540-C:7:82:18816:3296#0/3	1	1.9569	1.9569	4:U,7:M,21:M
13	19239922	19240004	2	HWI-EAS540-C:7:102:6535:1010#0/1	55	10.1256	10.1256	13:M,71:U
13	19239922	19240004	2	HWI-EAS540-C:7:116:9496:11259#0/1	110	22.0878	22.0878	13:U,71:U
13	19239922	19240004	2	HWI-EAS540-C:7:119:11342:11017#0/1	89	11.7855	11.7855	13:M,71:M
13	19239922	19240002	2	HWI-EAS540-C:8:68:16719:3481#0/1	19	1.45879	1.45879	13:U,71:M
13	19240042	19240121	3	HWI-EAS540-C:7:80:18958:7499#0/1	1	1	1	11:M,38:U
13	19631347	19631426	4	HWI-EAS540-C:7:107:16637:14203#0/3	2	1	1	1:M,25:U,31:U,37:U
13	19631347	19631426	4	HWI-EAS540-C:8:72:8937:16140#0/1	1	1	1	1:U,25:M,31:M,37:M
13	19631464	19631543	5	HWI-EAS540-C:8:119:18310:14226#0/1	1	1	1	50:M
13	19631610	19631691	6	HWI-EAS540-C:7:100:12808:15515#0/1	144	228	228	*
13	19631727	19631808	7	HWI-EAS540-C:7:50:3275:6440#0/1	49	21.3268	21.3268	56:M,60:M,64:M
13	19631728	19631808	7	HWI-EAS540-C:7:102:11803:5097#0/1	50	14.8954	14.8954	55:U,59:U,63:U
13	19631728	19631808	7	HWI-EAS540-C:7:103:10931:5803#0/1	19	6.15686	6.15686	55:M,59:U,63:M
13	19631728	19631808	7	HWI-EAS540-C:7:113:12296:19968#0/1	8	2.86275	2.86275	55:U,59:U,63:M
13	19631728	19631808	7	HWI-EAS540-C:7:3:19488:4104#0/1	5	1.57516	1.57516	55:M,59:M,63:U
13	19631728	19631808	7	HWI-EAS540-C:7:90:5739:10839#0/1	2	1.14379	1.14379	55:U,59:M,63:U
13	19631728	19631808	7	HWI-EAS540-C:8:41:5300:12769#0/1	2	1.14379	1.14379	55:U,59:M,63:M
13	19633203	19633282	8	HWI-EAS540-C:7:103:4343:2817#0/1	7	7	7	32:U,42:U,71:U,76:U
13	19633203	19633282	8	HWI-EAS540-C:7:24:15017:12458#0/1	3	3	3	32:U,42:U,71:M,76:M
13	19633203	19633282	8	HWI-EAS540-C:7:8:14632:11832#0/3	3	11	11	32:U,42:M,71:M,76:M
13	19633203	19633282	8	HWI-EAS540-C:7:9:11567:16576#0/1	1	1	1	32:U,42:U,71:M,76:U
13	19633321	19633400	9	HWI-EAS540-C:7:103:5662:18472#0/1	3	3	3	2:M,64:M,72:M
13	19633440	19633519	10	HWI-EAS540-C:7:100:9703:2661#0/1	1	1	1	*
13	19633557	19633636	11	HWI-EAS540-C:8:84:16338:17620#0/1	1	1	1	8:U,79:U
13	19637973	19638052	12	HWI-EAS540-C:7:18:13112:2863#0/1	1	1	1	*
13	19641526	19641605	13	HWI-EAS540-C:7:82:7491:18997#0/1	1	1	1	*
13	19648373	19648445	14	HWI-EAS540-C:7:5:8516:13716#0/3	1	1	1	*
13	19648507	19648579	15	HWI-EAS540-C:7:14:12498:20835#0/3	1	1	1	3:M,53:M
13	19648507	19648586	15	HWI-EAS540-C:7:55:12565:5661#0/1	1	1	1	3:U,53:U
13	19648625	19648704	16	HWI-EAS540-C:7:103:6917:19433#0/1	4	3	3	7:U,67:U
13	19648626	19648705	16	HWI-EAS540-C:7:14:12498:20835#0/1	4	6	6	6:U,66:M
13	19687673	19687753	17	HWI-EAS540-C:7:106:7589:20970#0/3	5	4	4	*
13	19687792	19687871	18	HWI-EAS540-C:7:106:7589:20970#0/1	4	4	4	25:M,41:M,63:M
13	19687792	19687871	18	HWI-EAS540-C:8:18:15306:19052#0/1	1	1	1	25:M,41:M,63:U
13	19728251	19728372	19	HWI-EAS540-C:7:119:18314:12710#0/3	38	32.775	32.775	15:M,66:U
13	19728285	19728372	19	HWI-EAS540-C:8:94:2038:20434#0/1	16	11.1167	11.1167	32:M
13	19728404	19728498	20	HWI-EAS540-C:7:53:1529:20408#0/1	5	4.4	4.4	6:U,20:U
13	19728418	19728498	20	HWI-EAS540-C:7:84:8752:988#0/1	3	3.6	3.6	6:M
13	19734952	19735031	21	HWI-EAS540-C:7:14:17215:20756#0/1	3	3	3	54:U,68:U
13	19745961	19746040	22	HWI-EAS540-C:7:70:17350:9940#0/1	1	1	1	2:M
13	19746059	19746138	23	HWI-EAS540-C:8:14:17781:17174#0/1	1	1	1	*
13	19746140	19746220	24	HWI-EAS540-C:7:101:13175:9776#0/1	197	289.5	289.5	*
13	19746256	19746336	25	HWI-EAS540-C:8:109:7976:16842#0/1	3	21.5	0.411044	6:M
