pos	unmethyl	 methyl
757121	1	0
757124	1	0
757125	1	0
757126	1	0
757128	1	0
757134	1	0
757136	1	0
757144	1	0
757149	1	0
757152	1	0
757153	1	0
757154	1	0
757172	0	1
757174	0	1
757177	0	1
757178	0	1
757180	0	1
757183	0	1
757185	0	1
757186	0	1
757187	0	1
757188	0	1
757189	0	1
757191	0	1
757193	0	1
757195	0	1
757196	0	1
757204	0	1
757207	0	1
757210	0	1
757211	0	1
757212	0	1
757217	0	1
757224	0	1
757231	0	1
757236	0	1
757237	0	1
757238	0	1
757242	0	1
757248	0	1
757251	0	1
757253	0	1
757256	0	1
757258	0	1
757266	0	1
757267	0	1
757268	0	1
757269	0	1
757273	0	1
757277	0	1
757278	0	1
757280	0	1
757289	0	1
757290	0	1
757297	0	1
757302	0	1
757307	0	1
757311	0	1
757312	0	1
757315	0	1
757318	0	1
757320	0	1
757323	0	1
757330	0	1
757343	0.25	0.75
757345	0.25	0.75
757346	0.25	0.75
