pos	unmethyl	 methyl
757124	0.4	0.6
757137	0.3	0.7
757145	0.3	0.7
757148	0.3	0.7
757151	0.3	0.7
757154	0.3	0.7
757155	0.3	0.7
757157	0.3	0.7
757159	0.3	0.7
757162	0.3	0.7
757171	0.3	0.7
757172	0.3	0.7
757177	0.3	0.7
757179	0.3	0.7
757187	0.3	0.7
757191	0.3	0.7
757194	0.3	0.7
757196	0.3	0.7
757200	0.3	0.7
757201	0.3	0.7
757203	0.3	0.7
757209	0.3	0.7
757210	0.3	0.7
757211	0.3	0.7
757212	0.3	0.7
757216	0.3	0.7
757217	0.3	0.7
757218	0.3	0.7
757222	0.3	0.7
757224	0.3	0.7
757229	0.3	0.7
757232	0.3	0.7
757235	0.3	0.7
757243	0.3	0.7
757250	0.3	0.7
757252	0.3	0.7
757263	0.6	0.4
757268	0.6	0.4
757269	0.6	0.4
757272	0.6	0.4
757275	0.6	0.4
757277	0.6	0.4
757282	0.6	0.4
757291	0.6	0.4
757293	0.6	0.4
757296	0.6	0.4
757299	0.6	0.4
757307	0.6	0.4
757311	0.6	0.4
757314	0.6	0.4
757316	0.6	0.4
757318	0.6	0.4
757319	0.6	0.4
757329	0.7	0.3
757330	0.7	0.3
757332	0.7	0.3
757333	0.7	0.3
757335	0.7	0.3
757339	0.7	0.3
757343	0.7	0.3
757346	0.7	0.3
757347	0.7	0.3
757348	0.7	0.3
757350	0.7	0.3
