chr	start	end	cid	pid	abundance	methylpat
1	757130	757607	1	1	0.02	61:M,68:M,79:M,82:M,95:M,112:U,118:U,122:U,136:M,141:M,142:M,148:M,157:M,158:M,164:M,168:M,180:U,183:U,184:U,200:U,218:U,221:U,222:U,231:U,232:U,237:U,252:U,256:U,261:U,263:U,264:U,275:M,276:M,279:M,295:U,302:U,307:U,311:U,314:U,316:U,319:U,337:U,338:U,342:U,352:U,354:U,360:U,362:U,370:U,373:U,377:U,397:U,399:U,409:U,420:M,422:M,431:M,439:M,449:M,453:M,454:M,456:M,466:M
1	757130	757607	1	2	0.0175439	95:M,112:U,118:U,122:U,136:M,141:M,142:M,148:M,157:M,158:M,164:M,168:M,180:U,183:U,184:U,200:M,218:M,221:M,222:M,231:M,232:M,237:M,252:U,256:U,261:U,263:U,264:U,275:M,276:M,279:M,295:M,302:M,307:M,311:M,314:M,316:M,319:M,337:U,338:U,342:U,352:U,354:U,360:U,362:U,370:U,373:U,377:U,397:U,399:U,409:U,420:U,422:U,431:U,439:U,449:M,453:M,454:M,456:M
1	757130	757607	1	3	0.0147467	47:U,61:M,68:M,79:U,82:U,95:U,112:U,118:U,122:U,136:U,141:U,142:U,148:U,157:U,158:U,164:U,168:U,180:M,183:M,184:M,200:U,218:U,221:U,222:U,231:U,232:U,237:U,252:M,256:M,261:M,263:M,264:M,275:U,276:U,279:U,295:U,302:U,307:U,311:U,314:U,316:U,319:U,337:M,338:M,342:M,352:M,354:M,360:M,362:M,370:M,373:M,377:M,397:U,399:U,409:U,420:U,422:U
1	757130	757607	1	4	0.0138889	112:U,118:U,122:U,136:M,141:M,142:M,148:M,157:M,158:M,164:M,168:M,180:U,183:U,184:U,200:U,218:M,221:M,222:M,231:M,232:M,237:M,252:M,256:M,261:M,263:M,264:M,275:U,276:U,279:U,295:U,302:U,307:U,311:U,314:U,316:U,319:U,337:M,338:M,342:M,352:M,354:M,360:M,362:M,370:M,373:M,377:M,397:M,399:M,409:U,420:U,422:U,431:U,439:U,449:U,453:U,454:U,456:U,466:U,474:U,475:U
1	757130	757607	1	5	0.0124879	18:M,26:M,31:M,39:M,43:M,44:M,47:M,61:U,68:U,79:M,82:M,95:U,112:U,118:U,122:U,136:M,141:M,142:M,148:M,157:M,158:M,164:M,168:M,180:M,183:M,184:M,200:U,218:M,221:M,222:M,231:M,232:M,237:M,252:U,256:U,261:U,263:U,264:U,275:M,276:M,279:M,295:M,302:M,307:M,311:M,314:M,316:M,319:M,337:U,338:U,342:U,352:U,354:U,360:U,362:U,370:U,373:U,377:U,397:U,399:U,409:U,420:U,422:U,431:U,439:U,449:M,453:M,454:M,456:M
1	757130	757607	1	6	0.0103093	18:M,26:M,31:M,39:M,43:M,44:M,47:M,61:U,68:U,79:M,82:M,95:U,112:U,118:U,122:U,136:M,141:M,142:M,148:M,157:M,158:M,164:M,168:M,180:M,183:M,184:M,200:U,218:U,221:U,222:U,231:U,232:U,237:U,252:U,256:U,261:U,263:U,264:U,275:U,276:U,279:U,295:U,302:U,307:U,311:U,314:U,316:U,319:U,337:M,338:M,342:M,352:U,354:U,360:U,362:U,370:U,373:U,377:U,397:M,399:M,409:M,420:M,422:M,431:M,439:M,449:M,453:M
1	757130	757607	1	7	0.00961847	18:M,26:M,31:M,39:M,43:M,44:M,47:M,61:M,68:M,79:U,82:U,95:U,112:M,118:M,122:M,136:U,141:U,142:U,148:U,157:U,158:U,164:U,168:U,180:M,183:M,184:M,200:M,218:M,221:M,222:M,231:M,232:M,237:M,252:M,256:M,261:M,263:M,264:M,275:U,276:U,279:U,295:M,302:M,307:M,311:M,314:M,316:M,319:M,337:M,338:M,342:M,352:M,354:M,360:M,362:M,370:M,373:M,377:M,397:M,399:M
1	757130	757607	1	8	0.00792176	18:M,26:M,31:M,39:M,43:M,44:M,47:M,61:M,68:M,79:M,82:M,95:U,112:M,118:M,122:M,136:U,141:U,142:U,148:U,157:U,158:U,164:U,168:U,180:U,183:U,184:U,200:M,218:U,221:U,222:U,231:U,232:U,237:U,252:M,256:M,261:M,263:M,264:M,275:M,276:M,279:M,295:U,302:U,307:U,311:U,314:U,316:U,319:U,337:U,338:U,342:U,352:U,354:U,360:U,362:U,370:U,373:U,377:U,397:U,399:U,409:U,420:M,422:M,431:M,439:M,449:M,453:M,454:M,456:M,466:M
1	757130	757607	1	9	0.00735857	18:M,26:M,31:M,39:M,43:M,44:M,47:M,61:M,68:M,79:U,82:U,95:U,112:M,118:M,122:M,136:U,141:U,142:U,148:U,157:U,158:U,164:U,168:U,180:M,183:M,184:M,200:M,218:U,221:U,222:U,231:U,232:U,237:U,252:U,256:U,261:U,263:U,264:U,275:M,276:M,279:M,295:M,302:M,307:M,311:M,314:M,316:M,319:M,337:U,338:U,342:U,352:U,354:U,360:U,362:U,370:U,373:U,377:U,397:U,399:U,409:U,420:U,422:U,431:U,439:U,449:M,453:M,454:M,456:M
1	757130	757607	1	10	0.00714286	18:M,26:M,31:M,39:M,43:M,44:M,47:M,61:M,68:M,79:M,82:M,95:U,112:M,118:M,122:M,136:U,141:U,142:U,148:U,157:U,158:U,164:U,168:U,180:U,183:U,184:U,200:M,218:U,221:U,222:U,231:U,232:U,237:U,252:M,256:M,261:M,263:M,264:M,275:U,276:U,279:U,295:M,302:M,307:M,311:M,314:M,316:M,319:M,337:U,338:U,342:U,352:M,354:M,360:M,362:M,370:M,373:M,377:M,397:U,399:U,409:U,420:U,422:U,431:U
