chr	pos	Cov	Meth
1	757125	1	1
1	757126	1	1
1	757133	2	2
1	757138	2	2
1	757144	2	2
1	757147	3	2
1	757163	4	3
1	757164	4	3
1	757177	7	3
1	757180	7	3
1	757183	10	5
1	757186	12	7
1	757187	12	7
1	757189	12	7
1	757197	14	7
1	757198	13	7
1	757203	14	7
1	757208	15	8
1	757222	17	11
1	757224	17	11
1	757226	18	11
1	757235	20	13
1	757236	20	13
1	757258	20	9
1	757259	20	9
1	757277	25	10
1	757282	25	11
1	757283	25	11
1	757286	25	11
1	757287	26	11
1	757294	28	13
1	757308	27	9
1	757309	27	9
1	757317	26	8
1	757321	25	7
1	757327	26	7
1	757331	26	7
1	757336	26	7
1	757338	23	5
1	757340	23	4
1	757343	21	3
1	757346	22	3
1	757354	21	3
1	757355	21	3
1	757360	22	3
1	757361	22	3
1	757366	21	3
1	757368	20	3
1	757383	18	3
1	757389	18	5
1	757403	15	8
1	757405	14	7
1	757408	14	7
1	757415	15	5
1	757420	16	5
1	757423	16	5
1	757429	16	3
1	757432	15	2
1	757440	17	3
1	757451	18	11
1	757457	20	14
1	757458	18	13
1	757459	18	13
1	757461	18	13
1	757466	20	16
1	757471	20	16
1	757472	20	16
1	757475	20	16
1	757478	20	16
1	757480	20	16
1	757481	21	16
1	757484	19	14
1	757498	22	21
1	757499	21	20
1	757506	23	22
1	757516	22	18
1	757527	26	4
1	757533	26	5
1	757537	27	6
1	757538	27	6
1	757557	31	14
1	757559	30	14
1	757563	29	14
1	757565	28	14
1	757568	26	13
1	757572	25	12
1	757573	25	12
1	757574	25	12
1	757576	23	12
1	757578	23	12
1	757584	23	10
1	757589	25	13
1	757594	22	11
1	757600	19	10
1	757606	22	11
1	757608	22	11
1	757609	22	11
1	757625	20	10
1	757626	19	9
1	757628	19	9
1	757630	18	9
1	757635	20	10
1	757636	20	10
1	757649	25	0
1	757652	24	0
1	757660	23	0
1	757663	24	0
1	757665	24	0
1	757672	24	1
1	757674	22	1
1	757676	22	1
1	757683	24	1
1	757693	26	1
1	757695	26	1
1	757699	25	1
1	757703	26	1
1	757705	26	1
1	757712	26	2
1	757718	26	2
1	757721	26	2
1	757722	26	2
1	757726	24	2
1	757742	25	4
1	757743	24	4
1	757749	23	2
1	757755	23	4
1	757759	23	4
1	757761	22	4
1	757762	23	4
1	757767	23	4
1	757769	24	4
1	757771	23	5
1	757775	23	5
1	757777	24	5
1	757782	24	5
1	757783	23	5
1	757785	22	4
1	757786	21	4
1	757794	22	4
1	757801	19	6
1	757807	20	6
1	757813	23	7
1	757817	28	9
1	757820	27	9
1	757821	26	8
1	757828	25	7
1	757830	25	7
1	757838	25	9
1	757846	23	9
1	757851	24	9
1	757855	22	8
1	757862	24	9
1	757866	25	11
1	757869	25	10
1	757871	26	10
1	757875	25	10
1	757877	24	10
1	757878	24	12
1	757880	24	12
1	757885	21	11
1	757890	20	10
1	757893	21	11
1	757896	22	11
1	757902	24	11
1	757911	24	9
1	757913	22	8
1	757914	23	8
1	757915	23	8
1	757922	24	10
1	757930	23	10
1	757934	21	8
1	757935	20	8
1	757938	19	7
1	757939	20	7
1	757946	22	9
1	757952	19	6
1	757954	19	7
1	757958	21	8
1	757975	19	11
1	757976	18	11
1	757984	22	15
1	757992	23	14
1	757994	24	15
1	757996	24	15
1	758002	24	15
1	758004	25	16
1	758007	26	16
1	758017	22	16
1	758023	21	15
1	758027	19	14
1	758037	20	13
1	758041	21	13
1	758049	23	14
1	758052	24	15
1	758055	22	13
1	758056	21	12
1	758061	22	11
1	758067	25	12
1	758070	27	13
1	758073	30	14
1	758074	30	14
1	758077	30	15
1	758085	30	15
1	758092	30	15
1	758096	30	15
1	758100	31	15
1	758117	26	17
1	758125	25	17
1	758151	13	2
1	758165	17	7
1	758168	17	7
1	758172	18	7
1	758176	19	7
1	758178	18	7
1	758179	18	7
1	758181	17	6
1	758182	17	6
1	758187	17	6
1	758194	16	7
1	758195	16	7
1	758196	16	7
1	758197	17	8
1	758200	15	7
1	758201	15	7
1	758203	15	7
1	758219	17	12
1	758221	17	12
1	758231	17	13
1	758240	17	14
1	758244	17	12
1	758253	22	16
1	758254	22	16
1	758256	22	16
1	758257	21	15
1	758263	23	16
1	758267	20	13
1	758268	21	14
1	758275	23	16
1	758276	23	16
1	758277	23	16
1	758279	22	16
1	758280	21	16
1	758290	20	12
1	758292	19	10
1	758295	18	9
1	758297	20	10
1	758303	17	8
1	758317	20	1
1	758323	19	2
1	758325	19	2
1	758331	21	2
1	758336	19	2
1	758339	18	2
1	758348	21	3
1	758349	22	3
1	758369	23	15
1	758375	22	15
1	758376	21	14
1	758379	21	13
1	758381	20	12
1	758382	20	12
1	758384	19	12
1	758387	19	12
1	758391	18	12
1	758392	18	12
1	758407	17	4
1	758410	16	4
1	758413	16	4
1	758415	16	5
1	758421	16	5
1	758426	14	5
1	758429	14	5
1	758434	15	6
1	758437	15	6
1	758446	14	6
1	758449	14	5
1	758450	14	5
1	758456	14	6
1	758461	15	8
1	758465	15	8
1	758476	16	10
1	758486	15	3
1	758491	16	3
1	758493	17	4
1	758501	18	4
1	758506	17	4
1	758512	17	4
1	758517	19	3
1	758521	18	3
1	758531	16	6
1	758544	18	8
1	758554	15	12
1	758558	15	12
1	758560	16	13
1	758567	14	12
1	758571	13	11
1	758574	15	12
1	758578	14	11
1	758585	15	11
1	758593	15	11
1	758594	15	11
1	758601	16	12
1	758603	15	11
1	758605	15	11
1	758609	17	12
1	758616	18	13
1	758621	16	12
1	758625	17	13
1	758626	17	13
1	758636	20	2
1	758638	22	2
1	758639	23	2
1	758642	22	2
1	758644	24	3
1	758652	26	5
1	758655	25	5
1	758658	24	5
1	758675	26	19
1	758679	26	19
1	758691	27	23
1	758693	28	23
1	758699	30	25
1	758701	30	25
1	758704	29	25
1	758705	29	25
1	758709	26	21
1	758712	26	21
1	758714	25	20
1	758720	24	20
1	758724	22	18
1	758726	23	19
1	758729	23	19
1	758739	22	14
1	758740	22	14
1	758750	24	2
1	758753	25	3
1	758759	25	3
1	758769	22	7
1	758770	23	8
1	758774	24	10
1	758775	24	10
1	758778	25	10
1	758787	23	9
1	758798	26	13
1	758802	24	13
1	758804	25	14
1	758807	27	15
1	758808	27	15
1	758811	30	16
1	758816	27	14
1	758828	29	19
1	758831	29	19
1	758833	29	19
1	758835	30	20
1	758836	30	20
1	758837	32	21
1	758843	30	20
1	758852	29	21
1	758858	31	22
1	758862	31	22
1	758883	24	16
1	758886	24	15
1	758896	24	13
1	758913	17	8
1	758931	19	7
1	758936	19	7
1	758940	20	7
1	758952	17	8
1	758953	19	9
1	758967	18	11
1	758982	23	8
1	758986	24	9
1	759003	23	4
1	759005	23	4
1	759006	23	4
1	759008	23	4
1	759009	22	4
1	759013	25	6
1	759016	26	7
1	759017	26	7
1	759021	27	7
1	759026	26	7
1	759031	23	6
1	759033	23	6
1	759034	23	6
1	759045	24	12
1	759050	23	12
1	759051	22	11
1	759052	22	11
1	759058	19	10
1	759063	18	9
1	759064	19	9
1	759065	19	9
1	759070	19	9
1	759071	19	9
1	759072	18	9
1	759076	19	9
1	759078	19	9
1	759082	16	7
1	759083	16	7
1	759088	16	7
1	759089	16	7
1	759090	15	7
1	759102	20	17
1	759106	19	16
1	759112	19	17
1	759124	18	3
1	759129	16	3
1	759134	16	4
1	759136	16	4
1	759140	15	4
1	759145	14	4
1	759150	17	5
1	759152	17	5
1	759157	18	6
1	759159	18	6
1	759161	17	6
1	759187	15	10
1	759191	15	10
1	759193	14	9
1	759198	15	10
1	759216	21	5
1	759219	20	4
1	759220	19	4
1	759224	19	3
1	759227	20	3
1	759228	20	3
1	759230	20	3
1	759236	21	3
1	759238	21	3
1	759243	21	2
1	759250	21	3
1	759259	22	3
1	759269	22	9
1	759273	21	7
1	759282	20	7
1	759286	23	7
1	759287	23	7
1	759289	22	7
1	759295	22	8
1	759296	21	8
1	759302	21	7
1	759303	21	7
1	759308	19	5
1	759321	22	12
1	759326	22	12
1	759331	26	15
1	759332	26	15
1	759338	28	16
1	759339	28	16
1	759341	27	16
1	759343	27	16
1	759344	26	16
1	759348	23	16
1	759350	23	16
1	759355	21	15
1	759364	21	14
1	759366	22	14
1	759367	22	14
1	759371	23	14
1	759375	25	14
1	759380	26	15
1	759387	21	12
1	759389	21	12
1	759391	20	11
1	759396	21	11
1	759397	20	10
1	759404	17	7
1	759405	18	7
1	759406	18	7
1	759408	18	7
1	759409	18	7
1	759411	19	7
1	759412	19	7
1	759415	19	7
1	759417	19	7
1	759420	20	7
1	759426	18	5
1	759428	18	5
1	759433	20	6
1	759441	18	6
1	759451	19	13
1	759456	21	15
1	759458	21	15
1	759463	19	14
1	759464	19	14
1	759467	19	13
1	759470	21	16
1	759471	21	16
1	759472	20	16
1	759483	20	11
1	759485	20	11
1	759486	20	11
1	759491	20	11
1	759507	24	15
1	759508	25	16
1	759509	26	16
1	759510	25	15
1	759514	24	14
1	759515	24	14
1	759516	25	15
1	759521	26	16
1	759530	29	17
1	759532	28	17
1	759534	27	16
1	759543	24	13
1	759546	24	13
1	759548	25	13
1	759555	23	11
1	759558	22	10
1	759582	21	6
1	759584	21	6
1	759585	21	6
1	759586	20	5
1	759596	18	12
1	759597	17	11
1	759598	16	10
1	759602	15	9
1	759608	15	9
1	759610	15	9
1	759611	16	9
1	759612	16	9
1	759614	16	9
1	759621	18	10
1	759629	19	12
1	759633	20	13
1	759635	20	12
1	759636	20	12
1	759651	16	9
1	759656	16	9
1	759661	15	7
1	759662	15	7
1	759666	16	7
1	759682	17	8
1	759683	17	8
1	759686	16	8
1	759689	17	9
1	759691	17	8
1	759697	19	8
1	759700	18	7
1	759703	18	7
1	759704	18	7
1	759709	16	8
1	759712	17	8
1	759717	15	7
1	759724	16	7
1	759732	16	6
1	759734	15	5
1	759737	14	4
1	759738	14	4
1	759749	14	9
1	759754	15	10
1	759757	17	11
1	759759	15	10
1	759764	14	9
1	759765	14	9
1	759766	14	9
1	759767	14	9
1	759772	13	10
1	759785	15	12
1	759803	18	7
1	759807	18	7
1	759819	18	8
1	759829	15	6
1	759831	15	6
1	759833	14	5
1	759834	13	5
1	759838	16	7
1	759839	17	7
1	759841	16	7
1	759846	15	6
1	759853	17	7
1	759856	16	6
1	759865	13	5
1	759867	12	5
1	759869	12	5
1	759870	13	6
1	759875	12	6
1	759881	15	8
1	759885	14	8
1	759886	14	8
1	759892	12	7
1	759904	15	10
1	759915	11	6
1	759922	11	7
1	759923	12	8
1	759926	12	8
1	759935	14	9
1	759942	14	9
1	759950	14	10
1	759955	17	12
1	759965	22	19
1	759970	23	20
1	759972	23	20
1	759974	23	20
1	759975	23	20
1	759983	25	20
1	759997	26	11
1	759998	26	11
1	760011	29	15
1	760013	29	15
1	760014	29	14
1	760023	26	15
1	760025	25	15
1	760038	24	14
1	760041	23	13
1	760047	23	13
1	760052	20	13
1	760060	18	11
1	760061	18	11
1	760065	17	11
1	760067	15	10
1	760074	12	7
1	760076	11	6
1	760077	10	6
1	760079	9	5
1	760082	9	5
1	760085	8	4
1	760092	7	3
1	760101	4	2
1	760107	1	1
1	760112	1	1
