pos	unmethyl	 methyl
757127	2	0
757130	2	0
757134	2	1
757136	2	1
757150	4	4
757151	4	4
757157	5	5
757162	5	6
757166	5	7
757167	5	7
757171	6	7
757174	6	8
757186	2	13
757189	2	13
757191	2	13
757192	2	13
757195	2	13
757200	2	13
757201	2	13
757202	2	13
757219	9	9
757222	10	10
757241	8	14
757246	8	15
757255	9	15
757257	9	15
757264	10	16
757267	10	18
757276	10	21
757289	23	14
757294	23	14
757297	23	14
757300	23	14
757305	23	14
757313	23	16
757321	24	16
757327	23	17
757331	23	17
757339	22	17
757349	23	12
757350	24	12
757355	23	11
757356	23	11
757357	23	11
757358	23	11
757361	24	11
757369	22	12
757373	21	11
757380	20	11
757403	25	11
757413	20	13
757428	23	6
757444	9	20
757460	20	7
757461	20	7
757481	12	5
757487	11	4
757495	10	4
757512	11	2
757514	10	1
757517	10	1
757529	6	3
757543	4	4
757545	4	4
757548	4	4
757557	3	4
757563	3	3
757569	2	3
757597	2	0
757604	0	0
757611	0	0
757616	0	0
757617	0	0
