chr	start	end	cid	pid	abundance	methylpat	regions
1	11006911	11024427	1	1	0.0444444	934:U,958:M,978:M,1705:U,1724:U,1736:U,1951:M,2031:M,2041:M,2108:U,2214:M,2385:M,2556:U,2858:M,3192:M,3240:M,3263:M,3374:U,3406:M,3748:U,3822:M,3829:M,4399:U,4434:M,4474:M,4624:M,4670:U,4734:U,4756:M,6337:M,6654:M,6662:M,6679:M,6730:M,7262:U,7284:M,7346:M,7461:U,7482:U,7533:U,7537:U,7546:U,7603:U,7672:U,7680:U,7693:U,7699:U,7796:M,7825:M,7833:M,7883:M,7902:M,7983:U,7995:U,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:M,8215:M,8223:M,8254:U,8257:U,8281:U,9406:M,9414:M,9426:M,9784:M,10223:U,10258:U,10298:U,10448:M,10527:M,10558:M,10669:U,11287:M,12315:M,12771:U,12815:U,12943:U,13191:M,13794:M,13807:M,14636:M,15021:U,16514:U,17094:M,17185:U,17417:U	0,145,154,165,173,177,182,309,312,339,353,364,368,379,385,395,397,413,424,446,458,475,507,532,578,588,596,607,615,622,636,641,693,709,712,726,827,834,840,846,870,888,892,1138,1159,1195,1217,1226,1303,1308,1316,1319,1325,1339,1342,1347,1361,1366,1371,1385,1393,1412,1416,1428,1437,1448,1462,1467,1480,1484,1489,1500,1502,1509,1522,1525,1711,1719,1766,1784,1850,1862,1871,1879,1886,1896,1914,1917,1929,1939,1941,1960,2069,2085,2272,2291,2367,2386,2394,2398,2423,2448,2470,2538,2541,2563,2684,2702,2757,2775,3010,3028,3119,3137,3152,3177
1	11006911	11024427	1	2	0.0365741	934:U,958:U,978:U,1705:M,1724:M,1736:M,1951:M,2031:U,2041:U,2108:U,2214:U,2385:M,2556:U,2858:M,3192:M,3240:U,3263:M,3374:U,3406:M,3748:U,3822:M,3829:M,4399:U,4434:M,4474:M,4624:M,4670:U,4734:M,4756:M,6337:M,6654:M,6662:M,6679:M,6730:U,7262:M,7284:M,7346:U,7461:M,7482:U,7533:U,7537:U,7546:U,7603:M,7672:U,7680:U,7693:U,7699:U,7796:M,7825:M,7833:M,7883:M,7902:M,7983:U,7995:U,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:M,8215:M,8223:M,8254:M,8257:M,8281:M,9406:M,9414:U,9426:U,9784:M,10223:U,10258:M,10298:M,10448:U,10527:M,10558:M,10669:U,11287:M,12315:M,12771:U,12815:U,12943:U,13191:M,13794:U,13807:U,14636:M,15021:U,16514:U,17094:U,17185:U,17417:U	0,145,157,175,178,182,310,331,339,353,367,377,385,395,398,413,424,446,458,475,507,532,578,587,597,607,615,622,636,641,693,709,712,726,827,834,840,846,869,876,888,892,1138,1159,1195,1213,1221,1226,1304,1306,1315,1321,1324,1339,1343,1348,1361,1366,1370,1386,1391,1392,1393,1412,1416,1428,1437,1448,1462,1467,1480,1484,1489,1496,1508,1510,1523,1525,1717,1719,1766,1784,1850,1857,1866,1875,1878,1886,1897,1911,1914,1917,1929,1939,1941,1960,2069,2085,2272,2291,2367,2386,2394,2398,2423,2448,2470,2539,2559,2563,2684,2702,2757,2775,3010,3028,3124,3137,3152,3177
1	11006911	11024427	1	3	0.0258641	934:U,958:U,978:M,1705:U,1724:U,1736:U,1951:U,2031:M,2041:M,2108:M,2214:M,2385:M,2556:U,2858:M,3192:M,3240:M,3263:M,3374:U,3406:M,3748:U,3822:M,3829:M,4399:U,4434:M,4474:U,4624:M,4670:U,4734:M,4756:U,6337:U,6654:M,6662:M,6679:M,6730:M,7262:U,7284:U,7346:U,7461:U,7482:U,7533:U,7537:U,7546:U,7603:M,7672:M,7680:M,7693:M,7699:M,7796:M,7825:M,7833:M,7883:M,7902:M,7983:U,7995:U,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:M,8215:M,8223:M,8254:U,8257:U,8281:U,9406:M,9414:U,9426:U,9784:U,10223:U,10258:M,10298:U,10448:M,10527:U,10558:U,10669:M,11287:U,12315:M,12771:U,12815:U,12943:U,13191:U,13794:M,13807:M,14636:U,15021:U,16514:U,17094:U,17185:M,17417:U	0,145,157,164,177,182,309,312,339,359,365,368,381,389,395,397,413,424,446,458,475,507,532,578,588,596,607,615,622,636,641,693,709,712,726,827,835,846,869,879,892,1141,1159,1195,1217,1226,1303,1307,1314,1320,1324,1339,1342,1347,1361,1366,1370,1396,1407,1411,1412,1416,1428,1437,1448,1462,1467,1480,1484,1489,1500,1502,1509,1522,1525,1717,1719,1767,1784,1850,1857,1867,1879,1886,1896,1915,1921,1930,1939,1942,1960,2072,2085,2272,2291,2367,2386,2394,2398,2423,2452,2470,2538,2541,2563,2685,2702,2757,2775,3010,3028,3124,3138,3152,3177
1	11006911	11024422	1	4	0.0200717	934:M,958:U,978:U,1705:M,1724:M,1736:M,1951:U,2031:M,2041:M,2108:M,2214:U,2385:M,2556:U,2858:M,3192:U,3240:M,3263:M,3374:M,3406:U,3748:M,3822:M,3829:M,4399:U,4434:M,4474:M,4624:M,4670:U,4734:M,4756:M,6337:U,6654:M,6662:M,6679:M,6730:U,7262:U,7284:M,7346:M,7461:U,7482:M,7533:U,7537:U,7546:U,7603:U,7672:U,7680:U,7693:U,7699:U,7796:U,7825:U,7833:U,7883:M,7902:M,7983:M,7995:M,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:U,8215:U,8223:U,8254:M,8257:M,8281:U,9406:M,9414:M,9426:M,9784:M,10223:M,10258:U,10298:U,10448:U,10527:M,10558:M,10669:M,11287:M,12315:M,12771:U,12815:U,12943:U,13191:U,13794:U,13807:U,14636:U,15021:U,16514:U,17094:M,17185:M,17417:M	0,147,161,175,178,182,310,331,339,359,365,368,381,389,395,398,413,424,446,458,475,507,532,579,590,596,607,616,626,637,641,695,708,712,726,827,834,840,846,869,876,888,892,1141,1159,1195,1213,1221,1226,1303,1308,1316,1319,1325,1339,1342,1349,1363,1366,1371,1385,1393,1414,1418,1429,1437,1457,1462,1467,1480,1504,1515,1522,1525,1711,1719,1766,1784,1853,1859,1868,1871,1879,1886,1897,1911,1914,1917,1929,1939,1942,1960,2069,2085,2272,2291,2367,2386,2394,2398,2423,2452,2470,2539,2559,2563,2685,2702,2757,2775,3010,3028,3119,3136,3138,3152,3179
1	11006911	11024422	1	5	0.0150068	934:U,958:M,978:M,1705:M,1724:M,1736:M,1951:M,2031:U,2041:U,2108:U,2214:U,2385:U,2556:M,2858:M,3192:M,3240:U,3263:M,3374:M,3406:M,3748:U,3822:M,3829:M,4399:U,4434:U,4474:M,4624:M,4670:U,4734:U,4756:M,6337:U,6654:U,6662:U,6679:U,6730:M,7262:U,7284:U,7346:M,7461:M,7482:M,7533:U,7537:U,7546:U,7603:M,7672:U,7680:U,7693:M,7699:M,7796:M,7825:M,7833:M,7883:M,7902:M,7983:M,7995:M,8058:M,8115:U,8120:U,8128:U,8131:U,8133:U,8138:U,8146:U,8153:U,8156:U,8167:U,8170:U,8173:U,8182:U,8190:U,8209:U,8215:U,8223:U,8254:M,8257:M,8281:M,9406:M,9414:U,9426:U,9784:U,10223:M,10258:U,10298:M,10448:U,10527:M,10558:M,10669:M,11287:U,12315:M,12771:U,12815:U,12943:U,13191:M,13794:U,13807:U,14636:U,15021:U,16514:U,17094:M,17185:M,17417:M	0,145,154,165,173,177,182,310,331,339,353,367,377,385,395,398,413,425,446,460,475,507,532,578,587,597,607,616,636,641,693,709,712,726,828,840,846,870,888,892,1141,1159,1194,1212,1217,1226,1303,1307,1318,1325,1339,1343,1346,1363,1366,1370,1386,1407,1411,1412,1416,1428,1437,1457,1462,1473,1487,1498,1510,1523,1525,1717,1719,1767,1784,1853,1859,1878,1886,1897,1911,1914,1917,1929,1939,1942,1960,2072,2085,2272,2291,2367,2386,2394,2398,2423,2448,2470,2539,2559,2563,2685,2702,2757,2775,3010,3028,3119,3136,3138,3152,3179
1	11006911	11024422	1	6	0.0102095	934:M,958:M,978:U,1705:U,1724:U,1736:U,1951:M,2031:M,2041:M,2108:U,2214:M,2385:M,2556:M,2858:M,3192:U,3240:M,3263:M,3374:U,3406:M,3748:M,3822:M,3829:M,4399:U,4434:M,4474:M,4624:M,4670:U,4734:M,4756:M,6337:U,6654:M,6662:M,6679:M,6730:U,7262:U,7284:M,7346:M,7461:M,7482:U,7533:U,7537:U,7546:U,7603:U,7672:M,7680:M,7693:M,7699:M,7796:M,7825:M,7833:M,7883:M,7902:M,7983:U,7995:U,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:M,8215:M,8223:M,8254:M,8257:M,8281:M,9406:M,9414:U,9426:U,9784:U,10223:M,10258:U,10298:U,10448:M,10527:M,10558:M,10669:U,11287:U,12315:U,12771:M,12815:M,12943:M,13191:U,13794:U,13807:U,14636:M,15021:M,16514:U,17094:M,17185:U,17417:M	0,147,160,178,182,309,312,339,353,364,368,379,385,395,397,413,424,446,460,475,507,532,579,590,596,607,615,622,636,641,695,708,712,726,827,834,840,846,869,876,888,892,1141,1159,1195,1213,1221,1226,1303,1308,1316,1319,1325,1339,1343,1348,1361,1366,1371,1384,1396,1407,1411,1412,1416,1428,1437,1448,1462,1467,1480,1484,1489,1496,1508,1510,1523,1525,1717,1719,1767,1784,1853,1859,1868,1871,1879,1886,1896,1914,1917,1929,1939,1941,1960,2072,2085,2273,2291,2377,2385,2394,2400,2423,2452,2470,2539,2559,2563,2684,2702,2766,2775,3010,3028,3119,3137,3152,3179
1	11006911	11024422	1	7	0.00712619	934:U,958:M,978:U,1705:M,1724:M,1736:M,1951:U,2031:M,2041:M,2108:M,2214:U,2385:U,2556:M,2858:U,3192:M,3240:M,3263:M,3374:U,3406:M,3748:M,3822:M,3829:M,4399:U,4434:M,4474:M,4624:M,4670:U,4734:U,4756:M,6337:M,6654:U,6662:U,6679:U,6730:M,7262:M,7284:U,7346:U,7461:M,7482:U,7533:U,7537:U,7546:U,7603:M,7672:U,7680:U,7693:U,7699:M,7796:M,7825:M,7833:M,7883:M,7902:M,7983:M,7995:M,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:M,8215:M,8223:M,8254:U,8257:U,8281:U,9406:M,9414:U,9426:U,9784:U,10223:M,10258:U,10298:U,10448:M,10527:U,10558:U,10669:M,11287:U,12315:M,12771:M,12815:M,12943:M,13191:U,13794:U,13807:U,14636:U,15021:M,16514:U,17094:U,17185:M,17417:M	0,145,154,178,182,310,331,339,359,365,368,381,389,395,398,413,425,446,460,475,512,532,578,588,596,607,615,622,636,641,695,708,712,726,827,834,840,846,870,888,892,1138,1159,1194,1212,1217,1226,1304,1320,1324,1339,1343,1348,1361,1366,1370,1386,1391,1411,1412,1416,1428,1437,1457,1462,1467,1480,1484,1489,1500,1502,1509,1522,1525,1717,1719,1767,1784,1853,1859,1868,1871,1879,1886,1896,1915,1921,1930,1939,1942,1960,2072,2085,2272,2291,2377,2385,2394,2400,2423,2452,2470,2539,2559,2563,2685,2702,2766,2775,3010,3028,3124,3138,3152,3179
1	11006911	11024422	1	8	0.00457981	934:M,958:U,978:U,1705:M,1724:M,1736:M,1951:M,2031:M,2041:M,2108:U,2214:U,2385:M,2556:U,2858:M,3192:M,3240:U,3263:M,3374:M,3406:U,3748:U,3822:U,3829:U,4399:U,4434:M,4474:M,4624:M,4670:U,4734:M,4756:M,6337:U,6654:M,6662:M,6679:M,6730:U,7262:M,7284:M,7346:M,7461:U,7482:U,7533:U,7537:U,7546:U,7603:M,7672:U,7680:U,7693:U,7699:U,7796:U,7825:U,7833:U,7883:M,7902:M,7983:M,7995:M,8058:M,8115:U,8120:U,8128:U,8131:U,8133:U,8138:U,8146:U,8153:U,8156:U,8167:U,8170:U,8173:U,8182:U,8190:U,8209:U,8215:U,8223:U,8254:U,8257:U,8281:U,9406:M,9414:U,9426:U,9784:U,10223:U,10258:M,10298:M,10448:U,10527:M,10558:M,10669:M,11287:U,12315:U,12771:M,12815:M,12943:U,13191:M,13794:U,13807:U,14636:U,15021:M,16514:M,17094:U,17185:U,17417:M	0,147,161,175,178,182,310,331,339,353,364,368,379,385,395,398,413,424,446,458,475,507,532,578,587,597,607,616,626,637,641,693,719,726,827,834,840,846,869,876,888,892,1141,1159,1195,1213,1221,1226,1304,1306,1319,1325,1339,1342,1347,1361,1366,1370,1386,1391,1392,1393,1414,1418,1429,1437,1457,1462,1473,1487,1509,1522,1525,1717,1719,1767,1784,1850,1857,1866,1875,1878,1886,1897,1911,1914,1917,1929,1939,1942,1960,2072,2085,2273,2291,2377,2385,2394,2398,2423,2448,2470,2539,2559,2563,2685,2702,2766,2775,3012,3028,3124,3137,3152,3179
1	11006911	11024422	1	9	0.00372547	934:U,958:M,978:U,1705:M,1724:M,1736:M,1951:U,2031:U,2041:U,2108:U,2214:U,2385:U,2556:M,2858:U,3192:U,3240:M,3263:M,3374:M,3406:U,3748:U,3822:M,3829:M,4399:U,4434:M,4474:M,4624:M,4670:U,4734:M,4756:M,6337:U,6654:M,6662:M,6679:M,6730:M,7262:M,7284:M,7346:M,7461:M,7482:M,7533:U,7537:U,7546:U,7603:M,7672:U,7680:U,7693:M,7699:M,7796:M,7825:M,7833:M,7883:M,7902:M,7983:M,7995:M,8058:M,8115:U,8120:U,8128:U,8131:U,8133:U,8138:U,8146:U,8153:U,8156:U,8167:U,8170:U,8173:U,8182:U,8190:U,8209:U,8215:U,8223:U,8254:M,8257:M,8281:M,9406:M,9414:M,9426:M,9784:U,10223:M,10258:U,10298:U,10448:U,10527:M,10558:M,10669:U,11287:M,12315:U,12771:M,12815:M,12943:M,13191:U,13794:U,13807:U,14636:U,15021:M,16514:M,17094:U,17185:M,17417:M	0,145,154,178,182,310,331,339,359,367,377,385,395,398,413,425,446,460,475,512,532,579,590,596,607,616,626,637,641,693,709,712,726,827,834,840,846,869,876,888,892,1141,1159,1195,1217,1226,1304,1306,1319,1325,1339,1343,1346,1363,1366,1370,1386,1407,1411,1412,1416,1428,1437,1457,1462,1473,1487,1498,1510,1523,1525,1711,1719,1767,1784,1853,1859,1868,1871,1879,1886,1897,1911,1914,1917,1929,1939,1941,1960,2069,2085,2273,2291,2377,2385,2394,2400,2423,2452,2470,2539,2559,2563,2685,2702,2766,2775,3012,3028,3124,3138,3152,3179
1	11006911	11024427	1	10	0.00204873	934:U,958:U,978:U,1705:U,1724:U,1736:U,1951:M,2031:M,2041:M,2108:U,2214:M,2385:U,2556:M,2858:U,3192:M,3240:M,3263:M,3374:U,3406:M,3748:U,3822:U,3829:U,4399:U,4434:M,4474:U,4624:M,4670:U,4734:M,4756:M,6337:M,6654:U,6662:U,6679:U,6730:M,7262:U,7284:U,7346:U,7461:U,7482:M,7533:U,7537:U,7546:U,7603:M,7672:U,7680:U,7693:U,7699:U,7796:U,7825:U,7833:U,7883:M,7902:M,7983:M,7995:M,8058:M,8115:M,8120:M,8128:M,8131:M,8133:M,8138:M,8146:M,8153:M,8156:M,8167:M,8170:M,8173:M,8182:M,8190:M,8209:M,8215:M,8223:M,8254:U,8257:U,8281:U,9406:M,9414:U,9426:U,9784:U,10223:U,10258:M,10298:U,10448:U,10527:M,10558:M,10669:M,11287:U,12315:U,12771:U,12815:U,12943:M,13191:U,13794:U,13807:U,14636:U,15021:M,16514:M,17094:M,17185:U,17417:U	0,145,157,175,178,182,309,312,339,353,364,368,379,385,395,397,413,425,446,460,475,512,532,578,588,596,607,615,622,636,641,693,719,726,827,835,846,869,876,888,892,1138,1159,1194,1212,1217,1226,1303,1307,1314,1320,1324,1339,1342,1349,1363,1366,1370,1386,1391,1392,1393,1414,1418,1429,1437,1457,1462,1467,1480,1484,1489,1500,1502,1509,1522,1525,1717,1719,1767,1784,1850,1857,1867,1879,1886,1897,1911,1914,1917,1929,1939,1942,1960,2072,2085,2273,2291,2367,2386,2394,2400,2423,2452,2470,2539,2559,2563,2685,2702,2766,2775,3012,3028,3119,3137,3152,3177
