pos	unmethyl	 methyl
757123	0	0
757125	0	1
757127	0	2
757128	0	2
757132	1	2
757136	2	2
757137	2	2
757139	3	2
757142	3	2
757143	4	2
757144	4	2
757147	4	2
757148	4	2
757152	5	2
757155	6	2
757166	9	11
757169	10	12
757172	10	12
757174	10	14
757178	10	15
757179	10	17
757182	10	17
757186	12	18
757187	12	18
757190	12	18
757191	12	18
757192	12	18
757194	12	18
757196	11	19
757197	10	20
757198	11	20
757199	11	20
757202	10	20
757207	10	19
757208	11	18
757209	11	18
757218	21	10
757219	21	10
757220	21	10
757221	21	10
757222	21	10
757223	23	10
757230	20	9
757231	20	8
757232	20	7
757235	16	8
757237	17	10
757238	16	11
757240	17	12
757243	17	12
757245	17	12
757246	18	12
757250	17	12
757251	18	13
757252	18	13
757254	18	12
757258	16	12
757263	16	12
757264	16	12
757266	16	12
757271	16	12
757272	16	12
757274	17	12
757280	17	15
757281	17	15
757283	17	15
757285	16	15
757287	15	15
757292	14	14
757293	12	14
757294	11	14
757295	10	14
757296	10	14
757298	9	14
757299	9	14
757301	9	14
757311	10	4
757313	10	4
757314	10	4
757315	8	4
757317	8	3
757320	7	3
757324	5	3
757325	5	3
757326	5	3
757328	5	3
757329	5	3
757330	5	3
757332	5	3
757334	5	3
757335	4	3
757336	4	3
757345	2	2
757347	2	1
757349	2	0
