pos	unmethyl	 methyl
757126	0.6	0.4
757127	0.6	0.4
757128	0.6	0.4
757129	0.6	0.4
757130	0.6	0.4
757131	0.6	0.4
757132	0.6	0.4
757135	0.6	0.4
757136	0.6	0.4
757138	0.6	0.4
757140	0.6	0.4
757141	0.6	0.4
757149	0.3	0.7
757153	0.3	0.7
757154	0.3	0.7
757156	0.3	0.7
757160	0.3	0.7
757165	0.3	0.7
757166	0.3	0.7
757168	0.3	0.7
757170	0.3	0.7
757171	0.3	0.7
757172	0.3	0.7
757176	0.3	0.7
757179	0.3	0.7
757181	0.3	0.7
757182	0.3	0.7
757184	0.3	0.7
757185	0.3	0.7
757186	0.3	0.7
757188	0.3	0.7
757191	0.3	0.7
757192	0.3	0.7
757195	0.3	0.7
757198	0.3	0.7
757199	0.3	0.7
757205	0.3	0.7
757209	0.3	0.7
757213	0.3	0.7
757214	0.3	0.7
757217	0.3	0.7
757218	0.3	0.7
757219	0.3	0.7
757220	0.3	0.7
757222	0.3	0.7
757224	0.3	0.7
757226	0.3	0.7
757229	0.3	0.7
757230	0.3	0.7
757231	0.3	0.7
757237	0.3	0.7
757238	0.3	0.7
757243	0.3	0.7
757244	0.3	0.7
757248	0.3	0.7
757249	0.3	0.7
757252	0.3	0.7
757255	0.3	0.7
757258	0.3	0.7
757259	0.3	0.7
757261	0.3	0.7
757263	0.3	0.7
757264	0.3	0.7
757268	0.3	0.7
757269	0.3	0.7
757272	0.3	0.7
757274	0.3	0.7
757276	0.3	0.7
757277	0.3	0.7
757279	0.3	0.7
757283	0.3	0.7
757285	0.3	0.7
757290	0.3	0.7
757291	0.3	0.7
757292	0.3	0.7
757293	0.3	0.7
757294	0.3	0.7
757299	0.3	0.7
757300	0.3	0.7
757302	0.3	0.7
757304	0.3	0.7
757305	0.3	0.7
757314	0.6	0.4
757322	0.5	0.5
757325	0.5	0.5
757329	0.5	0.5
757331	0.5	0.5
757332	0.5	0.5
757333	0.5	0.5
757335	0.5	0.5
757340	0.5	0.5
757346	0.5	0.5
757347	0.5	0.5
757349	0.5	0.5
