pos	unmethyl	 methyl
757121	0	0
757122	0.412495	0
757129	0.412495	0.587505
757133	0.412495	0.587505
757134	0.412495	0.587505
757138	0.412495	0.587505
757139	0.412495	0.587505
757140	0.412495	0.587505
757145	0.412495	0.587505
757149	0.412495	0.587505
757151	0.412495	0.587505
757158	0.412495	0.587505
757160	0.412495	0.587505
757161	0.412495	0.587505
757163	0.412495	0.587505
757166	0.412495	0.587505
757170	0.412495	0.587505
757174	0.412495	0.587505
757179	0.412495	0.587505
757183	0.412495	0.587505
757185	0.412495	0.587505
757193	0.412495	0.587505
757196	0.412495	0.587505
757197	0.412495	0.587505
757205	0.412495	0.587505
757213	0.412495	0.587505
757218	0.412495	0.587505
757219	0.412495	0.587505
757223	0.374531	0.625469
757224	0.374531	0.625469
757225	0.374531	0.625469
757226	0.374531	0.625469
757227	0.374531	0.625469
757232	0.355899	0.6441
757235	0.355899	0.6441
757236	0.355899	0.6441
757242	0.355899	0.6441
757247	0.355899	0.6441
757248	0.355899	0.6441
757252	0.355899	0.6441
757255	0.271194	0.728806
757258	0.271194	0.728806
757259	0.271194	0.728806
757261	0.271194	0.728806
757268	0.252791	0.747209
757273	0.252791	0.747209
757274	0.252791	0.747209
757275	0.252791	0.747209
757280	0.252791	0.747209
757282	0.252791	0.747209
757283	0.252791	0.747209
757287	0.234174	0.765826
757293	0.234174	0.765826
757296	0.234174	0.765826
757297	0.234174	0.765826
757298	0.234174	0.765826
757301	0.404077	0.595923
757309	0.391607	0.608393
757310	0.391607	0.608393
757326	0.395309	0.604691
757336	0.514831	0.485169
757337	0.514831	0.485169
757341	0.514831	0.485169
757350	0.477622	0.522378
757351	0.477622	0.522378
757355	0.477622	0.522378
757356	0.477622	0.522378
757362	0.477622	0.522378
757370	0.507768	0.492232
757376	0.507768	0.492232
757378	0.507768	0.492232
757379	0.507768	0.492232
757380	0.507768	0.492232
757381	0.507768	0.492232
757383	0.507768	0.492232
757384	0.507768	0.492232
757386	0.507768	0.492232
757388	0.507768	0.492232
757392	0.507768	0.492232
757398	0.63879	0.36121
757402	0.63879	0.36121
757405	0.63879	0.36121
757406	0.63879	0.36121
757408	0.63879	0.36121
757411	0.63879	0.36121
757417	0.63879	0.36121
757420	0.63879	0.36121
757421	0.63879	0.36121
757422	0.63879	0.36121
757424	0.63879	0.36121
757425	0.63879	0.36121
757426	0.63879	0.36121
757432	0.555114	0.444886
757437	0.555114	0.444886
757438	0.555114	0.444886
757440	0.555114	0.444886
757442	0.60429	0.39571
757443	0.60429	0.39571
757445	0.60429	0.39571
757446	0.60429	0.39571
757447	0.60429	0.39571
757449	0.60429	0.39571
757451	0.60429	0.39571
757453	0.594963	0.405037
757455	0.594963	0.405037
757460	0.594963	0.405037
757464	0.571547	0.428453
757465	0.571547	0.428453
757469	0.571547	0.428453
757473	0.571547	0.428453
757478	0.570028	0.429972
757479	0.570028	0.429972
757482	0.570028	0.429972
757483	0.570028	0.429972
757485	0.570028	0.429972
757491	0.570028	0.429972
757494	0.596644	0.403356
757495	0.596644	0.403356
757498	0.596644	0.403356
757503	0.596644	0.403356
757506	0.596644	0.403356
757507	0.596644	0.403356
757511	0.596644	0.403356
757517	0.596644	0.403356
757521	0.596644	0.403356
757523	0.596644	0.403356
757527	0.596644	0.403356
757536	0.596644	0.403356
757538	0.596644	0.403356
757541	0.596644	0.403356
757543	0.596644	0.403356
757547	0.634449	0.365551
757549	0.634449	0.365551
757550	0.634449	0.365551
757555	0.634449	0.365551
757556	0.634449	0.365551
757560	0.634449	0.365551
757565	0.634449	0.365551
757566	0.634449	0.365551
757567	0.634449	0.365551
757568	0.634449	0.365551
757569	0.634449	0.365551
757571	0.634449	0.365551
757577	0.634449	0.365551
757579	0.634449	0.365551
757588	0.634449	0.365551
757590	0.634449	0.365551
757592	0.634449	0.365551
757593	0.634449	0.365551
757602	0.634449	0.365551
757609	0.634449	0.365551
757618	0	0
757620	0	0
