chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757190	1	0	3	1.875	1.875	2:M,10:U,14:M,15:M,23:M,24:M,30:U,44:M,52:U,53:U,54:U,59:M,60:U,61:U,62:U,63:M,64:M,67:U
1	757121	757190	1	1	1	0.625	0.625	2:M,10:U,14:M,15:M,23:M,24:U,30:M,44:U,52:U,53:U,54:U,59:U,60:M,61:U,62:M,63:M,64:U,67:M
1	757121	757190	1	2	1	0.625	1.33028	2:M,10:M,14:M,15:M,23:U,24:M,30:M,44:U,52:U,53:U,54:U,59:U,60:U,61:U,62:U,63:U,64:U,67:M
1	757121	757190	1	3	1	0.625	0.660706	2:U,10:M,14:U,15:U,23:M,24:M,30:U,44:M,52:M,53:M,54:M,59:M,60:M,61:M,62:M,63:M,64:M,67:U
1	757121	757190	1	4	1	0.625	1.31808	2:M,10:M,14:U,15:U,23:U,24:M,30:U,44:U,52:U,53:M,54:U,59:M,60:M,61:M,62:M,63:M,64:M,67:M
1	757122	757191	1	5	1	0.833333	0.833333	1:M,9:U,13:M,14:M,22:M,23:U,29:M,43:M,51:M,52:M,53:M,58:M,59:M,60:M,61:M,62:M,63:U,66:M,69:U
1	757122	757191	1	7	1	0.833333	0.833333	1:M,9:U,13:U,14:U,22:M,23:M,29:U,43:U,51:U,52:U,53:M,58:U,59:U,60:U,61:U,62:U,63:U,66:U,69:U
1	757122	757191	1	8	1	0.833333	0.859635	1:U,9:M,13:M,14:M,22:M,23:U,29:M,43:M,51:M,52:M,53:M,58:U,59:U,60:U,61:U,62:M,63:M,66:U,69:U
1	757125	757197	1	23	2	1.25	2.74865	6:M,10:M,11:U,19:U,20:U,26:M,40:M,48:M,49:M,50:U,55:U,56:M,57:M,58:M,59:M,60:M,63:U,66:M,67:M,69:U
1	757128	757197	1	30	2	1.66667	1.66667	3:U,7:M,8:U,16:U,17:U,23:M,37:U,45:U,46:M,47:U,52:U,53:U,54:U,55:M,56:M,57:M,60:U,63:M,64:M,66:M
1	757190	757259	1	226	1	1	1	1:U,2:U,4:M,8:U,12:M,13:M,14:M,18:U,25:M,34:M,35:M,36:M,37:M,39:U,40:U,41:U,43:U,44:U,48:U,53:U,54:U,55:U,57:U,58:U,59:U,60:U,65:M,68:U
