pos	unmethyl	 methyl
757131	0.3	0.7
757144	0.4	0.6
757149	0.4	0.6
757152	0.4	0.6
757154	0.4	0.6
757167	0.7	0.3
757170	0.7	0.3
757171	0.7	0.3
757173	0.7	0.3
757180	0.7	0.3
757196	0.5	0.5
757197	0.5	0.5
757198	0.5	0.5
757214	0.6	0.4
757217	0.6	0.4
757227	0.5	0.5
757232	0.5	0.5
757241	0.5	0.5
757248	0.5	0.5
757253	0.5	0.5
757254	0.5	0.5
757261	0.5	0.5
757266	0.5	0.5
757285	0.4	0.6
757290	0.4	0.6
757298	0.4	0.6
757302	0.4	0.6
757333	0.4	0.6
757334	0.4	0.6
757336	0.4	0.6
757337	0.4	0.6
757338	0.4	0.6
757359	0.8	0.2
757362	0.8	0.2
757366	0.8	0.2
757388	0.4	0.6
757397	0.4	0.6
757406	0.4	0.6
757409	0.4	0.6
757412	0.4	0.6
757425	0.6	0.4
757428	0.6	0.4
757430	0.6	0.4
757433	0.6	0.4
757434	0.6	0.4
757443	0.6	0.4
757453	0.6	0.4
757463	0.3	0.7
757466	0.3	0.7
757472	0.3	0.7
757474	0.3	0.7
757479	0.3	0.7
757489	0.5	0.5
757496	0.5	0.5
757515	0.5	0.5
757521	0.5	0.5
757535	0.5	0.5
757543	0.5	0.5
757547	0.5	0.5
757554	0.5	0.5
757559	0.5	0.5
757561	0.5	0.5
757566	0.5	0.5
757569	0.5	0.5
757570	0.5	0.5
757575	0.5	0.5
757576	0.5	0.5
757585	0.5	0.5
757606	0.6	0.4
757615	0.6	0.4
757616	0.6	0.4
