pos	unmethyl	 methyl
11007845	0	1
11007869	1	0
11007889	0.184695	0.815306
11008616	1	0
11008635	1	0
11008647	1	0
11008862	0.662711	0.337289
11008942	0.615844	0.384157
11008952	0.615844	0.384157
11009019	0.402941	0.597059
11009125	1	0
11009296	0.340374	0.659626
11009467	0.240507	0.759493
11009769	0.240908	0.759092
11010103	0	1
11010151	1	0
11010174	0.720314	0.279686
11010285	0.384217	0.615783
11010317	0.346282	0.653719
11010659	0.593675	0.406325
11010733	1	0
11010740	1	0
11011310	0.579121	0.42088
11011345	1	0
11011385	1	0
11011535	0	1
11011581	0.816994	0.183006
11011645	0.812967	0.187034
11011667	0.187034	0.812967
11013248	1	0
11013565	0.578796	0.421204
11013573	0.578796	0.421204
11013590	0.69219	0.30781
11013641	0.69219	0.30781
11014173	0.544802	0.455198
11014195	0	1
11014257	0.365074	0.634927
11014372	1	0
11014393	0.678799	0.321201
11014444	0	1
11014448	0	1
11014457	0	1
11014514	0.360923	0.639078
11014583	0.738759	0.261241
11014591	0.738759	0.261241
11014604	0.738759	0.261241
11014610	0.738759	0.261241
11014707	0	1
11014736	0.711659	0.288341
11014744	0.711659	0.288341
11014794	1	0
11014813	1	0
11014894	0.248075	0.751926
11014906	0.248075	0.751926
11014969	0.751926	0.248075
11015026	0.6826	0.3174
11015031	0.6826	0.3174
11015039	0.6826	0.3174
11015042	0.6826	0.3174
11015044	0.6826	0.3174
11015049	0.6826	0.3174
11015057	0.6826	0.3174
11015064	0.6826	0.3174
11015067	0.6826	0.3174
11015078	0.672685	0.327315
11015081	0.672685	0.327315
11015084	0.672685	0.327315
11015093	0.672685	0.327315
11015101	0.672685	0.327315
11015120	0.672685	0.327315
11015126	0.672685	0.327315
11015134	0.672685	0.327315
11015165	0.193658	0.806342
11015168	0.193658	0.806342
11015192	0.113068	0.886933
11016317	0.757912	0.242089
11016325	0.757912	0.242089
11016337	0.707346	0.292654
11016695	0	1
11017134	0.127376	0.872624
11017169	1	0
11017209	0	1
11017359	0.659128	0.340872
11017438	0.141573	0.858427
11017469	0	1
11017580	0.377872	0.622129
11018198	0.775695	0.224305
11019226	0.195328	0.804672
11019682	0.706938	0.293062
11019726	0.680447	0.319553
11019854	1	0
11020102	0	1
11020705	0.57834	0.42166
11020718	0.687469	0.312531
11021547	0.0784035	0.921597
11021932	1	0
11023425	1	0
11024005	0	1
11024096	1	0
11024328	0	1
11024537	0.757226	0.242774
11024641	0.776752	0.223248
11024678	0.223248	0.776752
11025875	1	0
11025996	0.980009	0.0199912
11026099	1	0
11026120	0	1
11026387	0.311934	0.688066
11026655	1	0
11027297	0	1
11027340	1	0
11028057	1	0
11028079	1	0
11028754	0	1
11030340	1	0
11030354	1	0
11030435	0.19197	0.808031
11030469	1	0
11030542	0	1
11031391	0.897094	0.102906
11031594	0.559673	0.440327
11032839	1	0
11032883	0.340396	0.659605
11033451	0.678453	0.321547
11033959	0.605708	0.394292
11035670	1	0
11035672	1	0
11036520	0.519792	0.480208
11036570	0	1
11036580	0	1
11036589	0	1
11036625	0	1
11036643	0	1
11037539	0.420575	0.579425
11038264	0.277882	0.722118
11038278	0.277882	0.722118
11038288	0.277882	0.722118
11038798	1	0
11038854	1	0
11039157	0.194916	0.805084
11040462	0.300693	0.699307
11040513	0	1
11040623	0	1
11040641	0	1
11040646	0	1
11041435	0	1
11042731	0	1
11043384	0	1
11044237	0.595433	0.404567
11045214	1	0
