chr	start	end	cid	pid	abundance	methylpat	regions
3	11007430	11007534	2	1	2.25	*	
3	11007830	11007930	3	1	1	16:M,40:M,60:M	
3	11008422	11008672	4	1	0.0857143	195:U,214:U,226:U	0,
3	11008725	11008825	5	1	1	*	
3	11009013	11009142	6	1	0.0833333	7:U,113:U	8,
3	11008858	11009142	6	2	0.0654397	5:M,85:M,95:M,162:M,268:U	0,
3	11009269	11009560	7	1	0.0520833	28:U,199:M	3,
3	11009161	11009560	7	2	0.0404762	136:M,307:M	0,
3	11009664	11009792	8	1	2.25	106:U	
3	11010024	11010138	9	1	2.25	80:M	
3	11010146	11010377	10	1	6	6:M,29:M,140:M,172:M	
3	11010649	11010773	11	1	0.0666667	11:U,85:M,92:M	3,
3	11010592	11010773	11	2	0.0357143	68:M,142:M,149:M	0,10,
3	11010592	11010773	11	3	0.0299824	68:M,142:U,149:M	0,
3	11011082	11011796	12	1	0.0216198	229:M,264:U,304:M,454:M,500:M,564:M,586:U	0,26,22,21,12,29,38,
3	11011082	11011796	12	2	0.0106383	229:M,264:U,304:M,454:M,500:M,564:M,586:M	0,26,22,21,12,29,37,
3	11012692	11013111	13	1	26	*	
3	11013222	11013441	14	1	10	27:M	
3	11013515	11013779	15	1	7	51:M,59:M,76:M,127:M	
3	11013812	11013912	16	1	1	*	
3	11013939	11014056	17	1	2.25	*	
3	11014146	11015319	18	1	0.0459065	28:M,50:U,112:U,227:M,248:M,299:M,303:M,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:M,881:M,886:M,894:M,897:M,899:M,904:M,912:M,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,16,41,15,35,33,23,50,62,67,73,78,82,98,100,102,105,108,113,118,123,130,144,147,163,175,184,187,190,196,198,200,207,212,217,220,225,229,230,233,239,241,245,248,257,
3	11014146	11015319	18	2	0.0236354	28:M,50:U,112:U,227:M,248:M,299:M,303:U,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:M,881:M,886:M,894:U,897:U,899:U,904:U,912:U,919:U,922:U,933:U,936:U,939:U,948:U,956:U,975:U,981:U,989:U,1020:U,1023:U,1047:M	2,16,41,15,31,25,62,67,73,78,82,98,100,102,105,108,113,118,123,130,144,147,163,175,184,209,218,221,231,235,257,
3	11014146	11015319	18	3	0.0142857	28:M,50:U,112:U,227:M,248:M,299:M,303:M,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:U,881:M,886:M,894:M,897:M,899:M,904:M,912:M,919:M,922:U,933:U,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,16,41,15,35,33,23,50,62,67,73,78,82,98,100,102,105,108,113,118,123,130,144,147,181,189,203,233,239,241,245,248,257,
3	11014146	11015319	18	4	0.0136986	28:M,50:U,112:U,227:M,248:M,299:M,303:U,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:M,881:M,886:M,894:M,897:M,899:M,904:M,912:U,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,16,41,15,31,25,62,67,73,78,82,98,100,102,105,108,113,118,123,130,144,147,163,175,184,187,190,193,216,225,229,230,233,239,241,245,248,257,
3	11014146	11015319	18	5	0.0128205	28:M,50:U,112:M,227:M,248:M,299:M,303:M,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:M,881:M,886:M,894:U,897:M,899:U,904:M,912:M,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,4,41,15,35,33,23,50,62,67,73,78,82,98,100,102,105,108,113,118,123,130,144,147,163,175,184,194,220,225,229,230,233,239,241,245,248,257,
3	11014146	11015319	18	6	0.0121951	28:M,50:U,112:U,227:M,248:M,299:M,303:U,312:M,369:M,438:M,446:M,459:U,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:M,881:M,886:M,894:M,897:M,899:M,904:U,912:U,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,16,41,15,31,25,62,67,73,80,100,102,105,108,113,118,123,130,144,147,163,175,184,187,195,225,229,230,233,239,241,245,248,257,
3	11014139	11015319	18	7	0.0120482	35:M,57:M,119:U,234:M,255:M,306:M,310:M,319:U,376:M,445:M,453:M,466:M,472:M,569:M,598:M,606:M,656:M,569:M,598:M,606:M,656:M,675:M,756:M,768:M,831:M,888:M,893:M,901:M,904:M,906:M,911:M,919:M,926:M,929:M,940:M,943:M,946:M,955:M,963:U,982:M,988:M,996:M,1027:M,1030:M,1054:U	0,16,41,15,35,36,14,48,67,73,78,82,98,100,102,105,108,113,118,123,130,144,147,163,175,184,187,190,196,198,206,242,252,256,
3	11014146	11015319	18	8	0.0108455	28:M,50:U,112:M,227:M,248:M,299:M,303:M,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:U,749:M,761:M,824:M,881:U,886:M,894:M,897:M,899:M,904:M,912:M,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:U,1020:M,1023:M,1047:M	2,4,41,15,35,33,23,50,62,67,73,78,82,98,100,102,105,108,113,118,125,132,147,163,175,183,207,222,248,257,
3	11014146	11015319	18	9	0.0102898	28:M,50:U,112:U,227:M,248:M,299:M,303:U,312:M,369:M,438:M,446:M,459:U,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:M,761:M,824:U,881:M,886:M,894:U,897:M,899:M,904:M,912:M,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,16,41,15,31,25,62,67,73,80,100,102,105,108,113,118,123,130,144,147,181,199,217,220,225,229,230,233,239,241,245,248,257,
3	11014139	11015319	18	10	0.00877467	35:M,57:M,119:U,234:M,255:M,306:M,310:U,319:M,376:U,445:M,453:M,466:M,472:M,569:M,598:M,606:M,656:M,569:M,598:M,606:M,656:M,675:M,756:U,768:U,831:M,888:M,893:M,901:M,904:M,906:M,911:M,919:M,926:M,929:M,940:M,943:M,946:M,955:M,963:M,982:M,988:U,996:M,1027:M,1030:M,1054:M	0,16,41,15,31,25,66,82,98,100,102,105,108,113,118,123,130,162,175,184,187,190,196,198,200,227,245,248,257,
3	11014146	11015319	18	11	0.00870243	28:M,50:U,112:M,227:M,248:M,299:M,303:M,312:U,369:M,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:U,668:M,749:M,761:M,824:M,881:M,886:M,894:U,897:U,899:U,904:U,912:U,919:U,922:U,933:U,936:U,939:U,948:U,956:U,975:U,981:U,989:U,1020:U,1023:U,1047:U	2,4,41,15,35,36,14,48,67,73,78,82,98,100,102,105,108,113,142,144,147,163,175,184,209,218,221,231,235,256,
3	11014146	11015319	18	12	0.0083418	28:M,50:U,112:U,227:M,248:M,299:M,303:M,312:M,369:U,438:M,446:M,459:M,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:M,749:U,761:U,824:M,881:U,886:M,894:M,897:M,899:M,904:M,912:M,919:M,922:M,933:M,936:M,939:M,948:M,956:M,975:M,981:M,989:M,1020:M,1023:M,1047:M	2,16,41,15,35,33,23,66,82,98,100,102,105,108,113,118,123,130,162,175,183,207,212,217,220,225,229,230,233,239,241,245,248,257,
3	11014139	11015319	18	13	0.0071681	35:M,57:M,119:U,234:M,255:M,306:M,310:M,319:M,376:M,445:U,453:M,466:M,472:M,569:M,598:M,606:M,656:U,675:M,756:U,768:U,831:M,888:M,893:M,901:M,904:U,906:M,911:M,919:M,926:M,929:M,940:M,943:M,946:M,955:M,963:M,982:M,988:M,996:M,1027:M,1030:U,1054:U	0,16,41,15,35,33,23,50,62,67,79,98,100,102,105,108,117,142,162,175,184,187,204,220,225,229,232,256,
3	11014146	11015319	18	14	0.00657895	28:M,50:U,112:M,227:M,248:M,299:M,303:U,312:M,369:M,438:M,446:M,459:U,465:M,562:M,591:M,599:M,649:M,562:M,591:M,599:M,649:M,668:U,749:M,761:M,824:M,881:M,886:M,894:M,897:M,899:M,904:M,912:M,919:M,922:M,933:M,936:M,939:U,948:M,956:M,975:M,981:M,989:U,1020:M,1023:M,1047:M	2,4,41,15,31,25,62,67,73,80,100,102,105,108,113,118,125,132,147,163,175,184,187,190,196,224,248,257,
3	11014146	11015319	18	15	0.00645656	28:M,50:U,112:U,227:M,248:M,299:M,303:M,312:M,369:M,438:M,446:M,459:M,465:M,562:M,591:U,599:M,649:M,668:M,749:M,761:M,824:M,881:M,886:M,894:U,897:U,899:U,904:U,912:U,919:U,922:U,933:U,936:U,939:U,948:U,956:U,975:U,981:U,989:U,1020:M,1023:M,1047:U	2,16,41,15,35,33,23,50,62,67,73,78,82,98,100,122,130,144,147,163,175,184,209,218,221,252,256,
