chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	11006918	11007840	1	0	178	153	149.958	*
1	11008937	11009036	1	375	1	1	0	5:M,15:U,82:M
1	11014442	11014541	1	1411	1	1	0	2:U,6:U,15:U,72:M
1	11015023	11015122	1	1512	1	1	1	3:U,8:M,16:U,19:M,21:U,26:U,34:U,41:U,44:M,55:U,58:M,61:U,70:M,78:M,97:U
1	11015026	11015125	1	1513	1	0.666667	0.666667	0:U,5:M,13:M,16:U,18:M,23:U,31:M,38:M,41:U,52:U,55:U,58:U,67:M,75:U,94:U
1	11015026	11015125	1	1514	1	0.666667	0.666667	0:U,5:M,13:U,16:M,18:M,23:U,31:U,38:M,41:U,52:M,55:M,58:U,67:M,75:M,94:U
1	11016314	11016413	1	1748	1	1	0.0112165	3:U,11:U,23:U
1	11007747	11007851	1	153	4	2.66667	4.31408	98:M
1	11007749	11007857	1	154	4	3.66667	2.58658	96:U
1	11008949	11009048	1	379	1	1	0.444444	3:U,70:M
1	11014458	11014581	1	1416	3	3	7.8019	56:M
1	11015121	11015220	1	1534	1	1	1	5:M,13:U,44:M,47:U,71:M
1	11015110	11015209	1	1531	1	1	0	10:U,16:U,24:M,55:M,58:M,82:U
1	11015108	11015207	1	1530	1	1	1	12:U,18:U,26:M,57:U,60:M,84:M
1	11015097	11015196	1	1527	1	0.666667	0.666667	4:U,23:U,29:M,37:M,68:U,71:U,95:U
1	11015065	11015164	1	1520	1	1	1	2:U,13:U,16:U,19:U,28:M,36:U,55:U,61:M,69:U
1	11016324	11016423	1	1750	1	1	0.414036	1:U,13:U
1	11007772	11007871	1	160	1	1	1.22303	73:M,97:U
1	11007812	11007920	1	170	2	2	2	33:M,57:M,77:U
1	11007833	11007932	1	175	1	1	1	12:M,36:M,56:M
1	11007773	11007872	1	161	1	1	1.25753	72:U,96:M
1	11007775	11007874	1	162	1	1	1.08561	70:U,94:U
1	11008957	11009105	1	381	5	5	5	62:M
1	11014518	11014617	1	1424	1	1	1	65:M,73:U,86:M,92:M
1	11014530	11014629	1	1425	1	1	1	53:M,61:M,74:U,80:M
1	11014540	11014639	1	1426	1	1	1	43:U,51:U,64:M,70:U
1	11014544	11014656	1	1427	3	3	3	39:U,47:U,60:U,66:M
1	11014552	11014651	1	1429	1	1	1.68708	31:U,39:U,52:U,58:U
1	11014568	11014667	1	1431	1	1	1	15:M,23:U,36:M,42:U
1	11015176	11015291	1	1539	2	2	2.22111	16:M
1	11015132	11015231	1	1535	1	1	1	2:M,33:M,36:M,60:U
1	11015196	11016305	1	1541	197	184	184	*
1	11015162	11015261	1	1538	1	1	0.24388	3:M,6:M,30:M
1	11015161	11015260	1	1537	1	1	0.485139	4:U,7:U,31:M
1	11015158	11015257	1	1536	1	1	1	7:U,10:M,34:U
1	11016332	11016434	1	1751	3	3	0.771516	5:U
1	11007869	11007968	1	179	1	1	1.12	0:U,20:M
1	11007822	11007925	1	173	2	2	1.24749	23:M,47:U,67:U
