chr	pos	Cov	Meth
1	11007844	17	7
1	11007868	16	11
1	11007888	21	13
1	11008615	18	13
1	11008634	22	15
1	11008646	23	15
1	11008861	21	15
1	11008941	21	5
1	11008951	21	6
1	11009018	22	21
1	11009124	23	6
1	11009295	24	14
1	11009466	21	16
1	11009768	23	13
1	11010102	20	10
1	11010150	16	7
1	11010173	11	3
1	11010284	20	8
1	11010316	24	4
1	11010658	22	13
1	11010732	23	8
1	11010739	23	10
1	11011309	22	7
1	11011344	25	17
1	11011384	24	8
1	11011534	19	7
1	11011580	13	11
1	11011644	22	6
1	11011666	26	19
1	11013247	20	15
1	11013564	22	17
1	11013572	21	15
1	11013589	19	13
1	11013640	23	7
1	11014172	19	7
1	11014194	17	13
1	11014256	25	14
1	11014371	16	5
1	11014392	17	12
1	11014443	22	17
1	11014447	21	16
1	11014456	25	18
1	11014513	27	16
1	11014582	20	10
1	11014590	19	9
1	11014603	19	10
1	11014609	20	10
1	11014706	22	6
1	11014735	23	15
1	11014743	22	14
1	11014793	24	10
1	11014812	23	8
1	11014893	22	7
1	11014905	19	5
1	11014968	21	16
1	11015025	21	8
1	11015030	24	11
1	11015038	22	10
1	11015041	23	11
1	11015043	24	12
1	11015048	23	11
1	11015056	22	11
1	11015063	20	10
1	11015066	18	10
1	11015077	20	13
1	11015080	21	14
1	11015083	21	14
1	11015092	19	12
1	11015100	22	13
1	11015119	23	15
1	11015125	23	15
1	11015133	22	12
1	11015164	23	12
1	11015167	23	12
1	11015191	19	6
1	11016316	18	11
1	11016324	18	11
1	11016336	17	11
1	11016694	32	19
1	11017133	21	12
1	11017168	17	7
1	11017208	12	6
1	11017358	17	7
1	11017437	22	16
1	11017468	20	6
1	11017579	24	12
1	11018197	20	9
1	11019225	22	3
1	11019681	14	5
1	11019725	9	3
1	11019853	15	9
1	11020101	20	2
1	11020704	18	7
1	11020717	15	8
1	11021546	17	8
1	11021931	29	22
1	11023424	18	6
1	11024004	25	8
1	11024095	13	12
1	11024327	22	11
