pos	unmethyl	 methyl
757129	0.274776	0.280581
757132	0.530631	0.469369
757135	0.530631	0.469369
757138	0.530631	0.469369
757141	0.530631	0.469369
757142	0.530631	0.469369
757143	0.530631	0.469369
757147	0.530631	0.469369
757151	0.530631	0.469369
757156	0.530631	0.469369
757158	0.530631	0.469369
757160	0.530631	0.469369
757162	0.530631	0.469369
757163	0.530631	0.469369
757169	0.530631	0.469369
757170	0.530631	0.469369
757175	0.530631	0.469369
757176	0.530631	0.469369
757183	0.536436	0.463564
757186	0.536436	0.463564
757187	0.536436	0.463564
757189	0.536436	0.463564
757193	0.536436	0.463564
757195	0.536436	0.463564
757196	0.536436	0.463564
757199	0.500464	0.499536
757200	0.500464	0.499536
757201	0.500464	0.499536
757203	0.500464	0.499536
757207	0.513644	0.486355
757208	0.513644	0.486355
757210	0.513644	0.486355
757214	0.513644	0.486355
757221	0.659011	0.340989
757223	0.659011	0.340989
757226	0.659011	0.340989
757230	0.659011	0.340989
757233	0.659011	0.340989
757234	0.659011	0.340989
757236	0.659011	0.340989
757237	0.659011	0.340989
757239	0.659011	0.340989
757242	0.718248	0.281752
757243	0.718248	0.281752
757245	0.718248	0.281752
757246	0.718248	0.281752
757248	0.718248	0.281752
757250	0.718248	0.281752
757251	0.718248	0.281752
757252	0.718248	0.281752
757253	0.718248	0.281752
757254	0.718248	0.281752
757255	0.718248	0.281752
757256	0.718248	0.281752
757257	0.718248	0.281752
757261	0.844025	0.155975
757262	0.844025	0.155975
757264	0.844025	0.155975
757268	0.844025	0.155975
757270	0.844025	0.155975
757273	0.844025	0.155975
757277	0.844025	0.155975
757279	0.844025	0.155975
757283	0.908965	0.0910352
757285	0.908965	0.0910352
757287	0.908965	0.0910352
757292	0.908965	0.0910352
757293	0.908965	0.0910352
757295	0.908965	0.0910352
757297	0.908965	0.0910352
757300	0.908965	0.0910352
757301	0.908965	0.0910352
757306	0.908965	0.0910352
757307	0.908965	0.0910352
757308	0.908965	0.0910352
757311	0.908965	0.0910352
757313	0.908965	0.0910352
757314	0.908965	0.0910352
757316	0.908965	0.0910352
757317	0.908965	0.0910352
757320	0.908965	0.0910352
757322	0.908965	0.0910352
757324	0.908965	0.0910352
757325	0.908965	0.0910352
757326	0.908965	0.0910352
757328	0.908965	0.0910352
757330	0.908965	0.0910352
757332	0.908965	0.0910352
757340	0.0910352	0.908965
757343	0.0910352	0.908965
757345	0.0910352	0.908965
757346	0.0910352	0.908965
757349	0	0.908965
