pos	unmethyl	 methyl
757134	0.65	0.35
757147	0.7	0.3
757157	1	0
757159	1	0
757163	1	0
757166	1	0
757177	0.5	0.5
757179	0.5	0.5
757192	0	1
757194	0	1
757210	0.85	0.15
757215	0.85	0.15
757218	0.85	0.15
757234	0.5	0.5
757236	0.5	0.5
757247	0.5	0.5
757255	0.5	0.5
757256	0.5	0.5
757259	0.5	0.5
757266	0.5	0.5
757277	0.3	0.7
757290	0	1
757291	0	1
757299	0	1
757303	0	1
757310	0	1
757318	0	1
757327	0	1
757328	0	1
757331	0	1
757335	0	1
757348	0.15	0.85
757352	0.15	0.85
757362	0.15	0.85
757365	0.15	0.85
757373	0.15	0.85
757375	0.15	0.85
757376	0.15	0.85
757377	0.15	0.85
757379	0.15	0.85
757389	0.15	0.85
757396	0.15	0.85
757397	0.15	0.85
757406	0.15	0.85
757443	0	1
757452	0	1
757468	0.15	0.85
757470	0.15	0.85
757473	0.15	0.85
757477	0.15	0.85
757478	0.15	0.85
757480	0.15	0.85
757482	0.15	0.85
757483	0.15	0.85
757485	0.15	0.85
757486	0.15	0.85
757488	0.15	0.85
757496	0.15	0.85
757499	0.15	0.85
757513	1	0
757530	0.35	0.65
757535	0.35	0.65
757536	0.35	0.65
757545	0.35	0.65
757546	0.35	0.65
757553	0.35	0.65
757555	0.35	0.65
757570	0.5	0.5
757572	0.5	0.5
757589	0.5	0.5
757590	0.5	0.5
757591	0.5	0.5
757601	0.35	0.65
757602	0.35	0.65
757603	0.35	0.65
757612	0.35	0.65
757613	0.35	0.65
