pos	unmethyl	 methyl
757122	4	0
757127	5	0
757130	5	0
757133	7	0
757135	8	0
757136	9	0
757138	9	0
757140	9	0
757142	10	0
757145	10	0
757146	12	0
757147	13	0
757152	18	0
757154	18	0
757156	19	0
757157	21	0
757163	26	0
757165	26	0
757166	26	0
757169	26	0
757171	26	0
757172	26	0
757173	26	0
757174	26	0
757176	27	0
757178	27	0
757179	27	0
757180	27	0
757182	23	0
757194	6	16
757195	6	17
757199	5	18
757203	4	19
757208	4	19
757209	4	20
757211	4	20
757212	3	19
757213	3	20
757215	3	20
757216	3	19
757217	3	18
757218	3	17
757219	3	17
757221	3	18
757224	2	16
757226	2	17
757227	2	17
757228	2	18
757229	2	18
757230	2	18
757231	2	19
757233	2	20
757234	2	20
757235	2	20
757236	2	21
757243	3	23
757244	3	23
757247	4	24
757248	4	23
757251	4	24
757252	4	23
757253	4	22
757260	6	26
757263	6	26
757264	6	25
757270	7	21
757272	6	21
757277	7	19
757281	10	19
757283	10	19
757285	10	18
757287	10	18
757290	10	21
757291	10	20
757292	10	20
757293	10	19
757302	9	16
757303	8	16
757308	7	15
757311	7	14
757312	7	14
757313	7	14
757316	7	12
757320	5	8
757321	5	8
757322	5	8
757326	4	6
757327	4	6
757337	3	6
757338	2	5
757341	0	4
757343	0	4
757344	0	4
757347	0	4
