chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
0	757122	757199	1	read0	6	4.66667	4.83586	1:U,2:U,3:U,5:U,6:U,8:U,10:U,12:U,14:U,15:U,16:U,18:U,20:U,21:U,22:U,23:U,27:U,29:U,31:U,37:U,39:U,40:U,41:U,42:U,48:U,53:U,55:U,57:U,58:U,59:U,62:U,63:U,68:U,69:U
0	757125	757189	1	read1	3	2.66667	2.66667	0:M,2:M,3:M,5:M,7:M,9:M,11:M,12:M,13:M,15:M,17:M,18:M,19:M,20:M,24:M,26:M,28:M,34:M,36:M,37:M,38:M,39:M,45:M,50:M,52:M,54:M,55:M,56:M,59:M,60:M
0	757145	757238	1	read12	6	5	5	0:U,4:U,6:U,8:U,14:U,16:U,17:U,18:U,19:U,25:U,30:U,32:U,34:U,35:U,36:U,39:U,40:U,45:U,46:U,56:M,58:M,63:M,64:M,68:M,70:M,71:M,72:M,73:M,75:M,79:M,81:M,82:M,84:M,86:M,91:M,93:M
0	757152	757235	1	read16	2	2	2	1:U,7:U,9:U,10:U,11:U,12:U,18:U,23:U,25:U,27:U,28:U,29:U,32:U,33:U,38:U,39:U,49:U,51:U,56:U,57:U,61:U,63:U,64:U,65:U,66:U,68:U,72:U,74:U,75:U,77:U,79:U
0	757141	757200	1	read9	2	1	0.583897	1:M,2:M,3:M,4:M,8:M,10:M,12:M,18:M,20:M,21:M,22:M,23:M,29:M,34:M,36:M,38:M,39:M,40:M,43:M,44:M,49:M,50:M
0	757189	757248	1	read31	1	0.666667	0.666667	1:U,2:U,12:M,14:M,19:M,20:M,24:M,26:M,27:M,28:M,29:M,31:M,35:M,37:M,38:M,40:M,42:M,47:M,49:M,51:M,53:M,54:M,55:M,56:M
0	757189	757249	1	read32	2	1.66667	1.66667	1:U,2:U,12:U,14:U,19:U,20:U,24:U,26:U,27:U,28:U,29:U,31:U,35:U,37:U,38:U,40:U,42:U,47:U,49:U,51:U,53:U,54:U,55:U,56:U
0	757179	757239	1	read28	2	1.66667	0.740741	0:U,1:U,2:U,5:U,6:U,11:U,12:U,22:U,24:U,29:U,30:U,34:U,36:U,37:U,38:U,39:U,41:U,45:U,47:U,48:U,50:U,52:U,57:U,59:U
0	757235	757301	1	read53	2	2	0.802469	1:M,3:M,5:M,7:M,8:M,9:M,10:M,15:M,18:M,19:M,21:M,26:M,29:M,32:M,33:M,43:M,44:M,45:M,48:M,49:M,52:M,55:M,57:M,58:M,59:M,61:M
0	757147	757206	1	read13	1	1	1	2:M,4:M,6:M,12:M,14:M,15:M,16:M,17:M,23:M,28:M,30:M,32:M,33:M,34:M,37:M,38:M,43:M,44:M,54:U,56:U
0	757145	757207	1	read11	2	1.66667	1.66667	0:M,4:M,6:M,8:M,14:M,16:M,17:M,18:M,19:M,25:M,30:M,32:M,34:M,35:M,36:M,39:M,40:M,45:M,46:M,56:M,58:M
0	757246	757315	1	read58	2	1.66667	1.62667	4:U,7:U,8:U,10:U,15:U,18:U,21:U,22:U,32:U,33:U,34:U,37:U,38:U,41:U,44:U,46:U,47:U,48:U,50:U,58:U,59:U,63:U,64:U,68:U
0	757193	757252	1	read34	2	0.8	0.8	8:M,10:M,15:M,16:M,20:M,22:M,23:M,24:M,25:M,27:M,31:M,33:M,34:M,36:M,38:M,43:M,45:M,47:M,49:M,50:M,51:M,52:M,57:M
0	757193	757252	1	read36	1	0.4	1.09391	8:U,10:U,15:U,16:U,20:U,22:U,23:U,24:U,25:U,27:U,31:U,33:U,34:U,36:U,38:U,43:U,45:U,47:U,49:U,50:U,51:U,52:U,57:U
0	757246	757322	1	read59	2	1.66667	1.52077	4:M,7:M,8:M,10:M,15:M,18:M,21:M,22:M,32:U,33:U,34:U,37:U,38:U,41:U,44:U,46:U,47:U,48:U,50:U,58:U,59:U,63:U,64:U,68:U,74:U,75:U
0	757248	757320	1	read60	2	1.66667	1.66667	2:M,5:M,6:M,8:M,13:M,16:M,19:M,20:M,30:M,31:M,32:M,35:M,36:M,39:M,42:M,44:M,45:M,46:M,48:M,56:M,57:M,61:M,62:M,66:M,72:M
0	757204	757272	1	read40	4	3	3	4:M,5:M,9:M,11:M,12:M,13:M,14:M,16:M,20:M,22:M,23:M,25:M,27:M,32:M,34:M,36:M,38:M,39:M,40:M,41:M,46:M,49:M,50:M,52:M,57:M,60:M,63:M,64:M
0	757153	757212	1	read17	1	1	1	0:M,6:M,8:M,9:M,10:M,11:M,17:M,22:M,24:M,26:M,27:M,28:M,31:M,32:M,37:M,38:M,48:U,50:U,55:U,56:U
0	757150	757247	1	read15	6	5.66667	5.66667	1:M,3:M,9:M,11:M,12:M,13:M,14:M,20:M,25:M,27:M,29:M,30:M,31:M,34:M,35:M,40:M,41:M,51:M,53:M,58:M,59:M,63:M,65:M,66:M,67:M,68:M,70:M,74:M,76:M,77:M,79:M,81:M,86:M,88:M,90:M,92:M,93:M,94:M,95:M
0	757206	757277	1	read42	4	4	2.05315	2:U,3:U,7:U,9:U,10:U,11:U,12:U,14:U,18:U,20:U,21:U,23:U,25:U,30:U,32:U,34:U,36:U,37:U,38:U,39:U,44:U,47:U,48:U,50:U,55:U,58:U,61:U,62:U
0	757259	757320	1	read63	2	1.66667	1.52155	2:U,5:U,8:U,9:U,19:U,20:U,21:U,24:U,25:U,28:U,31:U,33:U,34:U,35:U,37:U,45:U,46:U,50:U,51:U,55:U,61:U
0	757252	757311	1	read61	1	1	0.671156	1:U,2:U,4:U,9:U,12:U,15:U,16:U,26:M,27:M,28:M,31:M,32:M,35:M,38:M,40:M,41:M,42:M,44:M,52:M,53:M,57:M,58:M
0	757198	757259	1	read37	2	2	2	3:M,5:M,10:M,11:M,15:M,17:M,18:M,19:M,20:M,22:M,26:M,28:M,29:M,31:M,33:M,38:M,40:M,42:M,44:M,45:M,46:M,47:M,52:M,55:M,56:M,58:M
0	757269	757328	1	read67	2	1	1	9:U,10:U,11:U,14:U,15:U,18:U,21:U,23:U,24:U,25:U,27:U,35:U,36:U,40:U,41:U,45:U,51:U,52:U
0	757275	757334	1	read70	1	1	1	3:M,4:M,5:M,8:M,9:M,12:M,15:M,17:M,18:M,19:M,21:M,29:M,30:M,34:M,35:M,39:M,45:M,46:M,56:M
0	757230	757289	1	read51	1	1	0.308642	1:M,6:M,8:M,10:M,12:M,13:M,14:M,15:M,20:M,23:M,24:M,26:M,31:M,34:M,37:M,38:M,48:M,49:M,50:M,53:M,54:M,57:M
0	757238	757297	1	read54	1	1	0.32825	0:M,2:M,4:M,5:M,6:M,7:M,12:M,15:M,16:M,18:M,23:M,26:M,29:M,30:M,40:U,41:U,42:U,45:U,46:U,49:U,52:U,54:U,55:U,56:U,58:U
0	757220	757279	1	read48	1	1	0.811406	0:U,4:U,6:U,7:U,9:U,11:U,16:U,18:U,20:U,22:U,23:U,24:U,25:U,30:U,33:U,34:U,36:U,41:U,44:U,47:U,48:U,58:M,59:M
0	757227	757286	1	read49	1	1	1	0:U,2:U,4:U,9:U,11:U,13:U,15:U,16:U,17:U,18:U,23:U,26:U,27:U,29:U,34:U,37:U,40:U,41:U,51:U,52:U,53:U,56:U,57:U
0	757202	757261	1	read39	1	1	0.175695	1:M,6:M,7:M,11:M,13:M,14:M,15:M,16:M,18:M,22:M,24:M,25:M,27:M,29:M,34:M,36:M,38:M,40:M,41:M,42:M,43:M,48:M,51:M,52:M,54:M,59:M
0	757276	757335	1	read73	1	0.5	0.0423	2:U,3:U,4:U,7:U,8:U,11:U,14:U,16:U,17:U,18:U,20:U,28:U,29:U,33:U,34:U,38:U,44:U,45:U,55:M,59:M
0	757273	757346	1	read69	4	4	0.175975	5:U,6:U,7:U,10:U,11:U,14:U,17:U,19:U,20:U,21:U,23:U,31:U,32:U,36:U,37:U,41:U,47:U,48:U,58:U,62:U,63:U,64:U,66:U,68:U,71:U,72:U,73:U
0	757286	757345	1	read74	1	1	0.105616	1:M,4:M,6:M,7:M,8:M,10:M,18:M,19:M,23:M,24:M,28:M,34:M,35:M,45:M,49:M,50:M,51:M,53:M,55:M,58:M,59:M
0	757229	757302	1	read50	4	3	1.12469	0:U,2:U,7:U,9:U,11:U,13:U,14:U,15:U,16:U,21:U,24:U,25:U,27:U,32:U,35:U,38:U,39:U,49:U,50:U,51:U,54:U,55:U,58:U,61:U,63:U,64:U,65:U,67:U
