pos	unmethyl	 methyl
757125	0	0
757137	2	0
757141	2	0
757150	2	0
757155	2	0
757156	2	0
757170	0	3
757171	0	3
757180	0	4
757190	1	5
757191	1	6
757198	1	8
757224	9	3
757226	9	3
757233	11	3
757235	11	3
757237	11	3
757250	13	3
757255	13	3
757265	13	3
757272	13	3
757279	14	3
757281	14	3
757282	14	3
757289	15	3
757293	16	4
757305	19	6
757317	7	20
757326	7	21
757330	7	22
757334	7	22
757347	32	0
757352	32	0
757363	0	33
757367	0	34
757377	27	12
757385	28	13
757401	26	13
757427	11	28
757439	11	26
757447	11	24
757457	11	24
757458	11	24
757460	11	24
757461	11	24
757470	11	24
757485	11	22
757498	8	20
757503	8	19
757510	8	18
757512	8	17
757513	8	17
757514	8	17
757521	7	17
757525	7	16
757526	7	16
757531	7	15
757552	0	17
757564	0	15
757576	2	7
757578	2	6
757583	1	5
757584	1	5
757585	1	5
757600	3	0
757603	3	0
757605	3	0
757606	3	0
757611	3	0
757615	0	0
757620	0	0
