chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757130	1	0	19	21	19.04	*
1	757145	757149	1	28	1	0.411765	0.483333	0:M
1	757189	757193	1	85	1	1	0	0:M,1:M,4:M
1	757127	757133	1	6	11	9.23611	9.23611	4:U
1	757127	757133	1	7	3	2.52778	2.52778	4:M
1	757146	757150	1	29	2	3.5	6.39795	*
1	757130	757135	1	11	5	7.7	4.00256	1:U,4:U,5:U
1	757132	757139	1	15	3	3.73333	3.73333	2:M,3:M,4:M
1	757131	757135	1	13	1	1.4	0.100214	0:M,3:M,4:M
1	757132	757140	1	14	10	12.1333	12.1333	2:U,3:U,4:U
1	757148	757153	1	31	11	6.73077	6.21077	3:U
1	757147	757152	1	30	4	4.03846	4.03846	4:M
1	757137	757149	1	20	30	27.7941	28.56	6:U,8:U
1	757150	757155	1	34	9	6.73077	4.75436	1:U,4:U
1	757152	757156	1	38	2	1.4	1.4	2:M
1	757150	757154	1	35	1	0.538462	0.538462	1:M,4:M
1	757152	757156	1	37	4	2.8	3.02333	2:U
1	757155	757161	1	42	12	10	9.47	2:U
1	757154	757158	1	40	1	2.33333	1	0:M,3:M
1	757156	757160	1	43	1	1	1	1:M
1	757153	757158	1	39	6	5.83333	6.04667	1:U,4:U
1	757158	757171	1	46	44	31.5	37.4213	*
1	757168	757177	1	55	27	20.2308	20.2308	4:U,5:U
1	757171	757177	1	59	2	1.53846	0.854615	1:M,2:M
1	757174	757178	1	63	5	3.5	4.89656	*
1	757177	757182	1	67	2	2.8718	2.32196	2:M,3:M,4:M
1	757175	757182	1	64	16	12.5641	12.5641	4:U,5:U,6:U
1	757179	757183	1	70	1	0.777778	0.777778	0:M,1:M,2:M,4:M
1	757182	757189	1	74	11	13.0333	13.0333	1:U,3:U,6:U,7:U
1	757179	757184	1	71	10	6.61111	5.79529	0:U,1:U,2:U,4:U
1	757182	757187	1	75	2	2.4	1.59333	1:M,3:M
1	757186	757198	1	81	34	31	35.48	2:U,3:U,4:U,7:U
1	757181	757185	1	73	3	3.5	2.89765	0:U,2:U,4:U
1	757184	757188	1	78	3	2.33333	0	1:M,4:M
1	757195	757203	1	91	15	14	14	4:U
1	757198	757203	1	94	3	5.25	2.01	1:M
1	757200	757208	1	97	14	16.8	16.8	4:U,6:U,7:U
1	757201	757205	1	99	2	1.4	0.873334	3:M
1	757205	757211	1	105	8	10.5	10.5	1:U,2:U
1	757203	757208	1	101	2	3.5	0.783334	1:M,3:M,4:M
1	757208	757212	1	108	2	3.5	4.25061	*
1	757210	757215	1	111	2	2.9697	2.9697	3:M,4:M
1	757209	757215	1	109	11	9.01515	9.18818	4:U,5:U
1	757215	757219	1	117	5	2.91667	3.77667	1:U,3:U
1	757215	757219	1	118	2	1.16667	1.16667	1:M,3:M
1	757212	757218	1	114	11	10.5	9.18818	1:U,2:U,4:U,6:U
1	757219	757224	1	122	2	2.17778	1.71556	1:M,3:M
1	757216	757222	1	119	8	10.5	9.68333	0:U,2:U,4:U,6:U
1	757219	757226	1	123	12	12.9111	12.9111	1:U,3:U
1	757223	757227	1	128	4	3.5	3.65667	*
1	757224	757231	1	130	16	13.6556	13.0822	4:U,5:U
1	757224	757231	1	129	4	3.02222	3.02222	4:M,5:M
1	757228	757233	1	136	7	6.5	6.5	0:U,1:U,4:U
1	757230	757236	1	139	4	4.8	0.705555	2:M,4:M
1	757228	757232	1	137	1	1	0	0:M,1:M,4:M
1	757230	757237	1	140	14	12.8	12.8	2:U,4:U
1	757233	757237	1	145	1	1.4	0.913333	1:M
1	757234	757238	1	147	9	3.5	3.2	0:U,4:U
1	757235	757239	1	148	1	0.875	0.875	3:M
1	757235	757239	1	149	6	5.25	4.83792	3:U
1	757239	757246	1	154	17	13.0667	14.73	1:U,2:U,3:U,6:U
1	757236	757240	1	151	1	1	0	2:M,4:M
1	757239	757244	1	155	2	1.86667	1.86667	1:M,2:M,3:M
1	757236	757242	1	150	11	10	8.91375	2:U,4:U,5:U,6:U
1	757243	757254	1	160	24	24	24	2:U,4:U,7:U
1	757246	757254	1	163	2	2.75	3.28333	1:M,4:M
1	757251	757258	1	169	20	14	14.8533	*
1	757255	757263	1	173	24	17.15	17.15	4:U,7:U
1	757256	757260	1	174	2	2.8	0.906667	3:M
1	757260	757270	1	180	24	24.5	26.3897	2:U,4:U,7:U
1	757263	757267	1	183	1	1.75	0	1:M,4:M
1	757258	757262	1	177	1	0.875	0	1:M,4:M
1	757267	757276	1	188	21	17.1818	17.1818	0:U,4:U,5:U
1	757268	757275	1	190	6	6.93636	3.96515	3:M,4:M
1	757273	757281	1	197	10	9.5	16.2833	4:U
1	757273	757281	1	198	2	2	2	4:M
1	757278	757287	1	202	20	21	21.94	*
1	757284	757293	1	208	12	11.8808	9.10154	4:M,5:M
1	757284	757292	1	209	14	12.8385	12.8385	4:U,5:U
1	757290	757295	1	219	12	7	8.50056	*
1	757292	757300	1	221	11	13.0667	13.0667	4:M,5:M
1	757293	757300	1	223	7	8.86667	5.21313	3:U,4:U
1	757297	757301	1	230	2	1.75	1.75	0:M,4:M
1	757298	757305	1	232	6	5.7697	5.7697	3:U
1	757297	757301	1	229	3	2.625	0.72298	0:U,4:U
1	757298	757305	1	231	13	11.1152	8.85697	3:M
1	757302	757314	1	239	41	31.5	32.91	*
1	757311	757316	1	248	4	4.8	4.8	4:U
1	757311	757316	1	249	4	4.4	4.4	4:M
1	757313	757319	1	252	8	5.91667	5.91667	2:U,4:U
1	757316	757320	1	257	1	2.33333	1.22667	1:M
1	757313	757319	1	253	4	3.16667	3.16667	2:M,4:M
1	757316	757320	1	256	1	2.33333	2.43	1:U
1	757318	757325	1	261	8	10.675	10.2633	3:U
1	757317	757321	1	258	1	1.75	1.22667	0:M,4:M
1	757318	757325	1	260	6	8.4	6.13333	3:M
1	757317	757321	1	259	2	3.5	2.43	0:U,4:U
1	757322	757328	1	268	4	6.61111	6.61111	4:M,5:M
1	757323	757328	1	269	6	5.44444	3.53993	3:U,4:U
1	757325	757331	1	273	5	6.13333	4.70909	1:M,2:M,4:M,5:M,6:M
1	757328	757332	1	279	3	2.33333	2.33333	1:U,2:U,3:U
1	757325	757331	1	274	8	6.73333	5.3099	1:U,2:U,4:U,5:U,6:U
1	757328	757332	1	280	3	2.33333	2.33333	1:M,2:M,3:M
1	757332	757337	1	287	6	6	2.79455	1:M
1	757329	757335	1	281	6	8.20909	6.01455	0:U,1:U,2:U,4:U
1	757332	757337	1	286	4	4	4.51879	1:U
1	757329	757334	1	282	5	3.94545	3.94545	0:M,1:M,2:M,4:M
1	757334	757342	1	290	10	11.925	11.925	4:M,5:M,6:M
1	757334	757342	1	291	6	9.4	9.4	4:U,5:U,6:U
1	757339	757344	1	300	6	4.61538	1.92431	0:M,1:M,4:M
1	757341	757346	1	304	5	3.8	4.38	2:U
1	757339	757344	1	299	7	4.69231	2.34736	0:U,1:U,4:U
1	757341	757346	1	303	5	4.4	4.4	2:M
1	757343	757347	1	307	3	3.5	2.19	0:U,4:U
1	757344	757350	1	309	8	8.10909	1.46667	3:M
1	757344	757350	1	308	9	8.34545	2.19	3:U
